Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,JDT,73,8,2,3,6,2,7,1,9,3,2,4,5
2.0,REAH,64,4,2,18,0,13,5,5,8,1,10,1,5
3.0,PAN,59,7,9,16,3,3,7,2,8,14,2,3,3
4.0,AVA,49,15,0,10,4,1,7,13,1,2,10,15,1
5.0,NAT,47,2,10,9,5,6,7,6,4,13,1,10,0
6.0,VMJ,46,19,0,1,5,7,1,4,8,5,3,14,4
7.0,ENG,43,1,6,19,0,9,0,17,0,10,3,2,9
8.0,DAI,30,9,4,5,7,8,4,11,3,19,0,9,1
9.0,NES,30,14,6,8,2,4,3,20,0,6,8,20,0
10.0,2ND,30,20,0,2,7,19,0,10,2,4,5,17,0
11.0,YOG,25,10,5,11,4,11,1,8,4,17,2,6,0
12.0,CRW,22,13,2,15,1,12,6,16,2,8,1,12,4
13.0,NT,22,11,0,7,2,17,0,12,0,11,0,5,10
14.0,ICHC,22,12,0,17,0,16,0,3,3,7,2,8,4
15.0,ALV,21,5,3,4,4,18,0,19,0,9,2,13,0
16.0,BEXT,19,6,4,6,3,15,2,14,0,12,1,19,0
17.0,KZG,18,17,0,14,0,5,4,18,0,18,3,16,6
18.0,GEMI,18,3,3,20,0,10,4,15,0,15,0,18,0
19.0,N1A,15,18,0,13,1,20,0,9,9,20,0,11,1
20.0,SYTH,15,16,0,12,3,14,0,7,0,16,0,7,4
