,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 16, 2022 - 12:00 JSTStorm Point Team ENIGMA Team Nature GEMINI","Round 1 Round 1 April 16, 2022 - 12:00 JSTStorm Point Team ENIGMA Team Nature GEMINI","Round 2 Round 2 April 16, 2022 - 12:35 JSTStorm Point LFT VMJ 2nd人生始まりー Jadeite","Round 2 Round 2 April 16, 2022 - 12:35 JSTStorm Point LFT VMJ 2nd人生始まりー Jadeite","Round 3 Round 3 April 16, 2022 - 13:10 JSTStorm Point AVALON Gaming Jadeite PANTHERA","Round 3 Round 3 April 16, 2022 - 13:10 JSTStorm Point AVALON Gaming Jadeite PANTHERA","Round 4 Round 4 April 16, 2022 - 13:45 JSTWorld's Edge Jadeite PANTHERA Ichariba Chode","Round 4 Round 4 April 16, 2022 - 13:45 JSTWorld's Edge Jadeite PANTHERA Ichariba Chode","Round 5 Round 5 April 16, 2022 - 14:20 JSTWorld's Edge Revolution in Esports Affairs Herja AVALON Gaming Jadeite","Round 5 Round 5 April 16, 2022 - 14:20 JSTWorld's Edge Revolution in Esports Affairs Herja AVALON Gaming Jadeite","Round 6 Round 6 April 16, 2022 - 14:55 JSTWorld's Edge Revolution in Esports Affairs Herja Team ENIGMA PANTHERA","Round 6 Round 6 April 16, 2022 - 14:55 JSTWorld's Edge Revolution in Esports Affairs Herja Team ENIGMA PANTHERA"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,JDT,73,8,2,3,6,2,7,1,9,3,2,4,5
1,2.0,REAH,64,4,2,18,0,13,5,5,8,1,10,1,5
2,3.0,PAN,59,7,9,16,3,3,7,2,8,14,2,3,3
3,4.0,AVA,49,15,0,10,4,1,7,13,1,2,10,15,1
4,5.0,NAT,47,2,10,9,5,6,7,6,4,13,1,10,0
5,6.0,VMJ,46,19,0,1,5,7,1,4,8,5,3,14,4
6,7.0,ENG,43,1,6,19,0,9,0,17,0,10,3,2,9
7,8.0,DAI,30,9,4,5,7,8,4,11,3,19,0,9,1
8,9.0,NES,30,14,6,8,2,4,3,20,0,6,8,20,0
9,10.0,2ND,30,20,0,2,7,19,0,10,2,4,5,17,0
10,11.0,YOG,25,10,5,11,4,11,1,8,4,17,2,6,0
11,12.0,CRW,22,13,2,15,1,12,6,16,2,8,1,12,4
12,13.0,NT,22,11,0,7,2,17,0,12,0,11,0,5,10
13,14.0,ICHC,22,12,0,17,0,16,0,3,3,7,2,8,4
14,15.0,ALV,21,5,3,4,4,18,0,19,0,9,2,13,0
15,16.0,BEXT,19,6,4,6,3,15,2,14,0,12,1,19,0
16,17.0,KZG,18,17,0,14,0,5,4,18,0,18,3,16,6
17,18.0,GEMI,18,3,3,20,0,10,4,15,0,15,0,18,0
18,19.0,N1A,15,18,0,13,1,20,0,9,9,20,0,11,1
19,20.0,SYTH,15,16,0,12,3,14,0,7,0,16,0,7,4
