Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,CRW,81,11,5,6,1,1,15,13,4,9,6,1,19,Finals
2.0,NES,70,2,11,14,6,14,0,15,3,10,9,2,16,Finals
3.0,VMJ,62,19,0,1,16,16,2,8,1,3,8,6,6,Finals
4.0,JDT,57,3,4,2,4,3,4,5,2,18,0,4,1,Finals
5.0,2ND,50,15,0,4,8,5,2,11,5,2,11,13,0,Finals
6.0,PAN,48,10,3,10,3,12,3,1,9,7,2,18,0,Finals
7.0,NVS,44,9,0,5,2,10,2,3,3,1,6,7,1,Finals
8.0,NAT,40,6,1,3,8,9,5,10,1,8,1,14,1,Finals
9.0,N1A,36,1,16,20,0,6,4,18,1,19,0,19,0,Finals
10.0,AXIZ,35,4,0,16,3,4,6,2,3,15,2,15,0,Finals
11.0,AVA,34,14,2,7,1,11,3,4,10,12,0,16,0,Finals
12.0,REAH,30,5,2,15,3,18,0,16,0,5,3,9,2,Finals
13.0,ENG,29,8,1,11,0,2,4,7,2,17,0,17,3,Finals
14.0,ICHC,22,7,6,8,4,20,0,19,0,6,2,10,0,Finals
15.0,NT,21,18,0,19,0,13,0,9,8,11,0,3,2,Finals
16.0,BRZ,19,16,0,12,0,8,3,12,0,4,4,8,0,Finals
17.0,KZG,13,13,4,18,0,19,0,17,3,14,3,20,1,Finals
18.0,GEMI,13,17,2,13,0,7,3,14,0,16,0,11,2,Finals
19.0,HGC,9,20,0,9,0,17,0,20,0,20,0,5,3,Finals
20.0,RDNS,9,12,0,17,0,15,0,6,1,13,1,12,0,Finals
1.0,NVS,77,5,3,1,8,1,10,4,6,4,5,4,2,Losers_Bracket
2.0,N1A,53,2,9,9,3,18,0,2,10,14,0,5,6,Losers_Bracket
3.0,RDNS,51,11,1,10,2,3,1,3,3,3,7,2,4,Losers_Bracket
4.0,ICHC,48,9,2,2,4,6,0,19,0,6,5,1,8,Losers_Bracket
5.0,AXIZ,41,19,0,11,0,5,10,6,1,1,8,8,0,Losers_Bracket
6.0,CRW,40,4,3,15,0,11,8,11,5,9,7,9,5,Losers_Bracket
7.0,HGC,38,14,6,19,0,12,0,1,7,17,0,3,4,Losers_Bracket
8.0,GEMI,36,1,10,16,0,10,3,14,1,13,6,19,0,Losers_Bracket
9.0,ETOLS,32,13,1,4,6,14,5,8,6,15,3,14,0,Losers_Bracket
10.0,NT,32,3,10,5,5,7,1,16,0,12,0,11,0,Losers_Bracket
11.0,KZG,32,7,1,18,0,4,2,15,0,2,4,6,4,Losers_Bracket
12.0,STY,27,16,3,17,0,9,3,9,2,11,2,7,9,Losers_Bracket
13.0,VS,26,8,4,8,4,8,3,12,3,7,2,18,0,Losers_Bracket
14.0,SYTH,25,6,1,12,0,2,7,18,1,10,0,13,0,Losers_Bracket
15.0,O2,24,15,1,7,7,16,0,5,7,16,0,15,0,Losers_Bracket
16.0,BEXT,23,10,1,6,5,17,1,13,0,8,5,16,3,Losers_Bracket
17.0,YOG,22,18,2,3,8,13,0,17,1,18,0,17,3,Losers_Bracket
18.0,LLGS,17,12,0,13,2,15,2,7,0,5,0,12,2,Losers_Bracket
19.0,ALV,11,17,0,14,0,19,0,10,0,19,0,10,6,Losers_Bracket
20.0,LFTSF,0,20,0,20,0,20,0,20,0,20,0,20,0,Losers_Bracket
1.0,JDT,73,8,2,3,6,2,7,1,9,3,2,4,5,Winners_Bracket
2.0,REAH,64,4,2,18,0,13,5,5,8,1,10,1,5,Winners_Bracket
3.0,PAN,59,7,9,16,3,3,7,2,8,14,2,3,3,Winners_Bracket
4.0,AVA,49,15,0,10,4,1,7,13,1,2,10,15,1,Winners_Bracket
5.0,NAT,47,2,10,9,5,6,7,6,4,13,1,10,0,Winners_Bracket
6.0,VMJ,46,19,0,1,5,7,1,4,8,5,3,14,4,Winners_Bracket
7.0,ENG,43,1,6,19,0,9,0,17,0,10,3,2,9,Winners_Bracket
8.0,DAI,30,9,4,5,7,8,4,11,3,19,0,9,1,Winners_Bracket
9.0,NES,30,14,6,8,2,4,3,20,0,6,8,20,0,Winners_Bracket
10.0,2ND,30,20,0,2,7,19,0,10,2,4,5,17,0,Winners_Bracket
11.0,YOG,25,10,5,11,4,11,1,8,4,17,2,6,0,Winners_Bracket
12.0,CRW,22,13,2,15,1,12,6,16,2,8,1,12,4,Winners_Bracket
13.0,NT,22,11,0,7,2,17,0,12,0,11,0,5,10,Winners_Bracket
14.0,ICHC,22,12,0,17,0,16,0,3,3,7,2,8,4,Winners_Bracket
15.0,ALV,21,5,3,4,4,18,0,19,0,9,2,13,0,Winners_Bracket
16.0,BEXT,19,6,4,6,3,15,2,14,0,12,1,19,0,Winners_Bracket
17.0,KZG,18,17,0,14,0,5,4,18,0,18,3,16,6,Winners_Bracket
18.0,GEMI,18,3,3,20,0,10,4,15,0,15,0,18,0,Winners_Bracket
19.0,N1A,15,18,0,13,1,20,0,9,9,20,0,11,1,Winners_Bracket
20.0,SYTH,15,16,0,12,3,14,0,7,0,16,0,7,4,Winners_Bracket
