Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Jamboree,79,2,12,2,21,9,3,1,11
2.0,Lunatics,43,9,1,3,12,8,3,4,11
3.0,DCN,40,1,11,4,1,10,1,6,5
4.0,Ace1,32,17,3,9,6,3,8,10,4
5.0,QueenSquadRoyal,30,13,0,14,0,1,13,15,2
6.0,LandMarkGondola,28,12,0,7,4,11,3,2,7
7.0,NANB,26,3,6,1,1,18,0,20,0
8.0,InTheSky,23,4,12,6,2,14,0,18,0
9.0,MRB,21,15,0,15,0,2,9,14,0
10.0,KaisenDONDON,20,5,2,11,0,12,2,3,3
11.0,NFM,14,6,5,16,0,19,0,13,5
12.0,Yoropikumin,13,20,0,20,0,5,8,12,0
13.0,Luna Llena,13,10,2,17,0,4,0,7,1
14.0,MiJP,12,18,0,5,5,15,0,11,1
15.0,BeastMode,11,8,3,13,0,17,0,5,1
16.0,Fujii Gaming,10,7,0,12,3,13,2,19,0
17.0,NAT,10,16,0,10,1,7,2,8,0
18.0,EB,7,11,0,18,0,6,3,16,0
19.0,WYV,5,14,0,8,0,16,0,9,0
20.0,SAEKO,3,19,0,19,0,20,0,17,3
