Standings,Team.1,Total,Lobby
1.0,FC Destroy,112,Lobby 1
2.0,Dps,38,Lobby 1
3.0,CJAM,32,Lobby 1
4.0,sspZ,31,Lobby 1
5.0,Joel Mark,24,Lobby 1
6.0,WGT,20,Lobby 1
7.0,SYTH,16,Lobby 1
8.0,Japan LFT desu,15,Lobby 1
9.0,PiratesOfMirage,14,Lobby 1
10.0,FaTe Diamond,14,Lobby 1
11.0,NOVA,14,Lobby 1
12.0,Ignition,12,Lobby 1
13.0,Farley,11,Lobby 1
1.0,GW,74,Lobby 2
2.0,ORB.G,40,Lobby 2
3.0,AVA,31,Lobby 2
4.0,LapiLegends,31,Lobby 2
5.0,MBT,27,Lobby 2
6.0,FVS.Exceed,27,Lobby 2
7.0,Creatives,26,Lobby 2
8.0,NOEL,21,Lobby 2
9.0,Zelkova,18,Lobby 2
10.0,tensainogakitai,14,Lobby 2
11.0,YTB,12,Lobby 2
12.0,Sik Village,10,Lobby 2
1.0,IBSG,54,Lobby 3
2.0,FA Club FUG,49,Lobby 3
3.0,HE,47,Lobby 3
4.0,EniGma,32,Lobby 3
5.0,YaBaL,31,Lobby 3
6.0,BKMN,29,Lobby 3
7.0,SyS,27,Lobby 3
8.0,LAG,19,Lobby 3
9.0,TVN,14,Lobby 3
10.0,Next,14,Lobby 3
11.0,JDT,11,Lobby 3
12.0,Doria_VS_Gratin,8,Lobby 3
13.0,Extreme,4,Lobby 3
1.0,ARZ,45,Lobby 4
2.0,APXRS,35,Lobby 4
3.0,BEXT,31,Lobby 4
4.0,TW,31,Lobby 4
5.0,D4RK,29,Lobby 4
6.0,Rebellio,28,Lobby 4
7.0,UC,27,Lobby 4
8.0,LFT BKGK,26,Lobby 4
9.0,NBG,24,Lobby 4
10.0,Core,21,Lobby 4
11.0,Core Second,20,Lobby 4
12.0,mrg_gundan,16,Lobby 4
1.0,Jamboree,51,Lobby 5
2.0,SAEKO,47,Lobby 5
3.0,WYV,43,Lobby 5
4.0,KaisenDONDON,40,Lobby 5
5.0,NAT,38,Lobby 5
6.0,NANB,27,Lobby 5
7.0,Fujii Gaming,20,Lobby 5
8.0,BeastMode,19,Lobby 5
9.0,MRB,14,Lobby 5
10.0,EB,14,Lobby 5
11.0,REAH,13,Lobby 5
12.0,LLGS,13,Lobby 5
13.0,NEXUS,6,Lobby 5
1.0,Ace1,58,Lobby 6
2.0,Yoropikumin,40,Lobby 6
3.0,LandMarkGondola,39,Lobby 6
4.0,NFM,38,Lobby 6
5.0,MiJP,34,Lobby 6
6.0,Lunatics,27,Lobby 6
7.0,InTheSky,22,Lobby 6
8.0,QueenSquadRoyal,22,Lobby 6
9.0,DCN,17,Lobby 6
10.0,Luna Llena,12,Lobby 6
11.0,TeamRoyHage,8,Lobby 6
12.0,track,0,Lobby 6
1.0,Black,50,Lobby 7
2.0,NrTv.Vs,44,Lobby 7
3.0,TSURUGI,33,Lobby 7
4.0,ARK5,31,Lobby 7
5.0,GODOsushiTabetai,28,Lobby 7
6.0,EXiA KR,28,Lobby 7
7.0,Kingdom,24,Lobby 7
8.0,MZB,22,Lobby 7
9.0,Welfare,22,Lobby 7
10.0,OC,21,Lobby 7
11.0,ORC,21,Lobby 7
12.0,otter squad,5,Lobby 7
13.0,superYONOunion,5,Lobby 7
1.0,Marine,61,Lobby 8
2.0,Crest,40,Lobby 8
3.0,RDO,38,Lobby 8
4.0,C-VA KAG,34,Lobby 8
5.0,CPGaming,34,Lobby 8
6.0,456,32,Lobby 8
7.0,RPG,28,Lobby 8
8.0,Zenith,21,Lobby 8
9.0,R.AtR,15,Lobby 8
10.0,monkey,15,Lobby 8
11.0,uNLimit,8,Lobby 8
12.0,Solid,6,Lobby 8
