Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,GW,77,1,16,9,12,13,5,1,17,Lobby 1,Quarterfinals,,,,
2.0,FC Destroy,43,18,3,13,9,6,6,3,14,Lobby 1,Quarterfinals,,,,
3.0,NOVA,39,12,2,12,0,1,12,2,2,Lobby 1,Quarterfinals,,,,
4.0,LapiLegends,37,11,1,1,11,3,4,14,0,Lobby 1,Quarterfinals,,,,
5.0,Japan LFT desu,32,6,1,2,3,4,3,4,3,Lobby 1,Quarterfinals,,,,
6.0,SYTH,31,13,0,10,6,2,11,12,1,Lobby 1,Quarterfinals,,,,
7.0,Joel Mark,24,15,3,5,5,20,0,5,7,Lobby 1,Quarterfinals,,,,
8.0,CJAM,23,2,7,18,0,15,1,7,2,Lobby 1,Quarterfinals,,,,
9.0,AVA,22,4,7,8,3,12,3,11,0,Lobby 1,Quarterfinals,,,,
10.0,WGT,22,9,3,3,2,5,0,6,1,Lobby 1,Quarterfinals,,,,
11.0,sspZ,14,3,2,16,0,8,2,15,0,Lobby 1,Quarterfinals,,,,
12.0,Dps,13,8,3,4,1,11,0,16,1,Lobby 1,Quarterfinals,,,,
13.0,NOEL,12,20,0,15,0,10,4,9,3,Lobby 1,Quarterfinals,,,,
14.0,Creatives,12,5,3,7,2,19,0,19,0,Lobby 1,Quarterfinals,,,,
15.0,FVS.Exceed,12,7,2,6,1,9,0,18,1,Lobby 1,Quarterfinals,,,,
16.0,ORB.G,11,10,5,17,0,14,0,8,1,Lobby 1,Quarterfinals,,,,
17.0,Zelkova,7,19,0,19,0,7,4,20,0,Lobby 1,Quarterfinals,,,,
18.0,FaTe Diamond,5,17,0,11,0,17,0,17,4,Lobby 1,Quarterfinals,,,,
19.0,MBT,3,14,0,20,0,16,0,10,0,Lobby 1,Quarterfinals,,,,
20.0,TensainoGakitati,2,16,0,14,0,18,0,13,0,Lobby 1,Quarterfinals,,,,
1.0,BKMN,52,3,10,2,7,18,0,1,7,Lobby 2,Quarterfinals,,,,
2.0,UC,44,19,1,1,12,6,2,2,5,Lobby 2,Quarterfinals,,,,
3.0,FA Club FUG,38,14,3,5,9,4,8,9,6,Lobby 2,Quarterfinals,,,,
4.0,LAG,37,1,10,10,5,15,3,11,3,Lobby 2,Quarterfinals,,,,
5.0,TW,34,15,0,4,1,1,12,16,3,Lobby 2,Quarterfinals,,,,
6.0,LFT BKGK,28,18,1,16,1,7,4,3,12,Lobby 2,Quarterfinals,,,,
7.0,D4RK,25,5,3,19,0,5,4,6,7,Lobby 2,Quarterfinals,,,,
8.0,YaBaL,23,13,1,8,7,11,5,7,3,Lobby 2,Quarterfinals,,,,
9.0,IBSG,23,4,3,20,0,3,7,20,1,Lobby 2,Quarterfinals,,,,
10.0,HE,22,17,1,12,1,2,8,10,0,Lobby 2,Quarterfinals,,,,
11.0,NBG,22,2,4,7,3,13,0,8,0,Lobby 2,Quarterfinals,,,,
12.0,ARZ,21,6,8,17,0,10,2,4,1,Lobby 2,Quarterfinals,,,,
13.0,Rebellio,16,8,2,6,4,20,0,5,1,Lobby 2,Quarterfinals,,,,
14.0,BEXT,14,7,2,11,0,14,0,12,6,Lobby 2,Quarterfinals,,,,
15.0,APXRS,11,11,3,14,2,16,0,15,3,Lobby 2,Quarterfinals,,,,
16.0,TVN,10,10,2,18,0,8,3,14,0,Lobby 2,Quarterfinals,,,,
17.0,EniGma,9,16,0,3,1,12,0,17,0,Lobby 2,Quarterfinals,,,,
18.0,Next,8,12,3,9,2,17,0,18,0,Lobby 2,Quarterfinals,,,,
19.0,Core,7,6,0,20,0,9,1,13,0,Lobby 2,Quarterfinals,,,,
20.0,SyS,2,20,0,9,0,19,0,19,0,Lobby 2,Quarterfinals,,,,
1.0,Jamboree,79,2,12,2,21,9,3,1,11,Lobby 3,Quarterfinals,,,,
2.0,Lunatics,43,9,1,3,12,8,3,4,11,Lobby 3,Quarterfinals,,,,
3.0,DCN,40,1,11,4,1,10,1,6,5,Lobby 3,Quarterfinals,,,,
4.0,Ace1,32,17,3,9,6,3,8,10,4,Lobby 3,Quarterfinals,,,,
5.0,QueenSquadRoyal,30,13,0,14,0,1,13,15,2,Lobby 3,Quarterfinals,,,,
6.0,LandMarkGondola,28,12,0,7,4,11,3,2,7,Lobby 3,Quarterfinals,,,,
7.0,NANB,26,3,6,1,1,18,0,20,0,Lobby 3,Quarterfinals,,,,
8.0,InTheSky,23,4,12,6,2,14,0,18,0,Lobby 3,Quarterfinals,,,,
9.0,MRB,21,15,0,15,0,2,9,14,0,Lobby 3,Quarterfinals,,,,
10.0,KaisenDONDON,20,5,2,11,0,12,2,3,3,Lobby 3,Quarterfinals,,,,
11.0,NFM,14,6,5,16,0,19,0,13,5,Lobby 3,Quarterfinals,,,,
12.0,Yoropikumin,13,20,0,20,0,5,8,12,0,Lobby 3,Quarterfinals,,,,
13.0,Luna Llena,13,10,2,17,0,4,0,7,1,Lobby 3,Quarterfinals,,,,
14.0,MiJP,12,18,0,5,5,15,0,11,1,Lobby 3,Quarterfinals,,,,
15.0,BeastMode,11,8,3,13,0,17,0,5,1,Lobby 3,Quarterfinals,,,,
16.0,Fujii Gaming,10,7,0,12,3,13,2,19,0,Lobby 3,Quarterfinals,,,,
17.0,NAT,10,16,0,10,1,7,2,8,0,Lobby 3,Quarterfinals,,,,
18.0,EB,7,11,0,18,0,6,3,16,0,Lobby 3,Quarterfinals,,,,
19.0,WYV,5,14,0,8,0,16,0,9,0,Lobby 3,Quarterfinals,,,,
20.0,SAEKO,3,19,0,19,0,20,0,17,3,Lobby 3,Quarterfinals,,,,
1.0,456,59,3,2,3,6,4,13,1,7,Lobby 4,Quarterfinals,,,,
2.0,EXiA KR,52,6,3,19,3,2,9,3,18,Lobby 4,Quarterfinals,,,,
3.0,Marine,51,1,13,1,10,13,2,16,1,Lobby 4,Quarterfinals,,,,
4.0,Black,36,10,2,5,8,3,6,9,5,Lobby 4,Quarterfinals,,,,
5.0,TSURUGI,34,2,7,2,2,5,2,18,1,Lobby 4,Quarterfinals,,,,
6.0,ORC,29,17,0,7,4,20,0,2,13,Lobby 4,Quarterfinals,,,,
7.0,RPG,26,5,4,4,4,6,2,10,2,Lobby 4,Quarterfinals,,,,
8.0,ARK5,23,16,0,6,1,1,6,11,0,Lobby 4,Quarterfinals,,,,
9.0,GODOsushiTabetai,18,7,4,13,0,15,1,5,4,Lobby 4,Quarterfinals,,,,
10.0,RDO,18,11,3,10,2,8,1,4,2,Lobby 4,Quarterfinals,,,,
11.0,R.AtR,17,14,7,17,1,12,1,7,3,Lobby 4,Quarterfinals,,,,
12.0,NrTv.Vs,17,4,2,11,2,9,3,8,0,Lobby 4,Quarterfinals,,,,
13.0,C-VA KAG,13,15,0,9,4,11,4,13,0,Lobby 4,Quarterfinals,,,,
14.0,Kingdom,11,9,3,8,2,16,1,12,0,Lobby 4,Quarterfinals,,,,
15.0,Crest,10,8,3,15,0,7,1,19,0,Lobby 4,Quarterfinals,,,,
16.0,Welfare,9,13,0,16,2,18,0,6,3,Lobby 4,Quarterfinals,,,,
17.0,CPGaming,6,12,1,20,0,19,3,14,0,Lobby 4,Quarterfinals,,,,
18.0,MZB,5,19,0,12,2,10,0,20,0,Lobby 4,Quarterfinals,,,,
19.0,Zenith,4,20,0,14,3,17,0,17,0,Lobby 4,Quarterfinals,,,,
20.0,monkey,2,18,0,18,0,14,0,15,0,Lobby 4,Quarterfinals,,,,
1.0,LFT BKGK,79,14,0,1,14,12,3,1,6,Lobby 1,Semifinals,20.0,0.0,1.0,18.0
2.0,FC Destroy,59,2,5,12,9,9,14,6,5,Lobby 1,Semifinals,15.0,3.0,5.0,3.0
3.0,CJAM,54,12,0,2,4,2,4,4,8,Lobby 1,Semifinals,3.0,7.0,19.0,0.0
4.0,BKMN,47,13,2,3,4,3,5,3,7,Lobby 1,Semifinals,4.0,2.0,20.0,0.0
5.0,IBSG,44,8,7,7,2,8,0,5,3,Lobby 1,Semifinals,1.0,8.0,12.0,0.0
6.0,AVA,43,6,0,16,0,5,3,2,9,Lobby 1,Semifinals,6.0,4.0,4.0,3.0
7.0,GW,39,1,14,10,4,17,0,14,1,Lobby 1,Semifinals,16.0,4.0,16.0,1.0
8.0,D4RK,37,18,0,17,2,10,1,18,1,Lobby 1,Semifinals,2.0,4.0,3.0,11.0
9.0,SYTH,36,4,8,8,2,20,0,10,4,Lobby 1,Semifinals,9.0,5.0,6.0,3.0
10.0,HE,35,11,1,4,3,1,9,17,1,Lobby 1,Semifinals,10.0,1.0,18.0,0.0
11.0,LAG,32,5,3,14,4,18,0,16,3,Lobby 1,Semifinals,5.0,3.0,2.0,1.0
12.0,TW,26,3,8,11,3,13,3,19,0,Lobby 1,Semifinals,19.0,0.0,9.0,1.0
13.0,Joel Mark,26,16,0,5,3,4,6,20,0,Lobby 1,Semifinals,12.0,2.0,10.0,3.0
14.0,NOVA,23,10,2,6,4,16,0,8,0,Lobby 1,Semifinals,17.0,5.0,8.0,3.0
15.0,WGT,18,20,0,19,0,14,0,9,6,Lobby 1,Semifinals,7.0,0.0,7.0,3.0
16.0,LapiLegends,17,15,3,13,0,7,4,11,0,Lobby 1,Semifinals,14.0,3.0,17.0,0.0
17.0,Japan LFT desu,15,7,1,9,0,15,0,7,2,Lobby 1,Semifinals,8.0,0.0,13.0,0.0
18.0,UC,13,19,0,18,0,6,2,13,0,Lobby 1,Semifinals,11.0,4.0,14.0,1.0
19.0,FA Club FUG,11,17,0,20,0,19,0,12,4,Lobby 1,Semifinals,13.0,1.0,11.0,3.0
20.0,YaBaL,11,9,1,15,0,11,3,15,0,Lobby 1,Semifinals,18.0,0.0,15.0,1.0
1.0,Lunatics,86,5,10,10,4,7,5,4,23,Lobby 2,Semifinals,12.0,2.0,1.0,15.0
2.0,RPG,70,2,4,1,10,4,7,11,0,Lobby 2,Semifinals,1.0,8.0,9.0,0.0
3.0,Marine,62,4,11,9,3,5,7,1,6,Lobby 2,Semifinals,16.0,4.0,7.0,5.0
4.0,456,48,1,11,4,5,20,0,3,5,Lobby 2,Semifinals,19.0,1.0,18.0,2.0
5.0,GODOsushiTabetai,47,7,2,14,1,8,4,13,0,Lobby 2,Semifinals,2.0,14.0,6.0,7.0
6.0,Black,47,12,0,7,3,1,14,15,1,Lobby 2,Semifinals,4.0,3.0,8.0,2.0
7.0,ARK5,44,13,3,6,1,18,0,2,2,Lobby 2,Semifinals,5.0,6.0,2.0,6.0
8.0,LandMarkGondola,35,10,1,12,1,17,0,5,3,Lobby 2,Semifinals,9.0,5.0,3.0,9.0
9.0,Jamboree,31,17,1,2,7,14,3,14,6,Lobby 2,Semifinals,18.0,1.0,10.0,0.0
10.0,KaisenDONDON,30,3,6,18,0,2,5,18,1,Lobby 2,Semifinals,20.0,0.0,13.0,1.0
11.0,ORC,26,20,0,19,0,3,5,7,3,Lobby 2,Semifinals,10.0,2.0,5.0,0.0
12.0,Ace1,24,8,2,8,2,9,1,12,0,Lobby 2,Semifinals,3.0,4.0,14.0,0.0
13.0,RDO,22,19,0,3,4,12,1,9,3,Lobby 2,Semifinals,13.0,1.0,12.0,1.0
14.0,TSURUGI,20,6,1,5,6,10,0,20,0,Lobby 2,Semifinals,6.0,0.0,15.0,0.0
15.0,EXiA KR,18,15,5,16,3,16,1,6,2,Lobby 2,Semifinals,15.0,2.0,20.0,0.0
16.0,NANB,14,16,0,13,8,13,0,8,0,Lobby 2,Semifinals,11.0,1.0,16.0,0.0
17.0,InTheSky,13,18,0,15,0,19,0,17,0,Lobby 2,Semifinals,17.0,0.0,4.0,7.0
18.0,QueenSquadRoyal,13,11,0,11,0,15,2,10,1,Lobby 2,Semifinals,7.0,1.0,19.0,1.0
19.0,DCN,11,9,0,20,0,6,0,16,1,Lobby 2,Semifinals,8.0,0.0,11.0,2.0
20.0,MRB,10,14,0,17,0,11,1,19,0,Lobby 2,Semifinals,14.0,4.0,17.0,2.0
1.0,CJAM,67,1,13,4,7,18,0,2,4,Lobby 1,Finals,11.0,1.0,2.0,6.0
2.0,D4RK,59,11,0,9,1,1,11,8,3,Lobby 1,Finals,6.0,3.0,1.0,9.0
3.0,LFT BKGK,53,4,3,12,6,8,3,5,11,Lobby 1,Finals,7.0,3.0,3.0,5.0
4.0,Lunatics,50,10,4,11,8,3,5,3,5,Lobby 1,Finals,8.0,3.0,7.0,3.0
5.0,GODOsushiTabetai,42,2,3,1,7,14,2,14,3,Lobby 1,Finals,16.0,0.0,5.0,0.0
6.0,GW,41,14,2,2,6,5,1,6,2,Lobby 1,Finals,14.0,2.0,6.0,7.0
7.0,KaisenDONDON,35,5,4,6,1,12,2,11,0,Lobby 1,Finals,5.0,3.0,4.0,7.0
8.0,IBSG,35,3,9,8,1,9,1,20,0,Lobby 1,Finals,2.0,4.0,17.0,0.0
9.0,Marine,34,15,2,17,0,6,5,10,0,Lobby 1,Finals,1.0,8.0,12.0,0.0
10.0,Black,33,16,3,10,0,16,3,1,11,Lobby 1,Finals,17.0,0.0,10.0,0.0
11.0,AVA,33,8,0,15,0,10,4,4,3,Lobby 1,Finals,3.0,5.0,14.0,3.0
12.0,RPG,31,12,0,3,7,4,8,18,1,Lobby 1,Finals,19.0,0.0,8.0,0.0
13.0,FC Destroy,26,19,4,16,3,7,7,9,4,Lobby 1,Finals,18.0,0.0,18.0,3.0
14.0,456,26,9,1,13,1,19,0,16,5,Lobby 1,Finals,10.0,9.0,13.0,4.0
15.0,LandMarkGondola,26,20,0,19,0,2,4,13,4,Lobby 1,Finals,9.0,1.0,9.0,3.0
16.0,BKMN,23,13,0,7,4,17,0,7,0,Lobby 1,Finals,4.0,7.0,16.0,0.0
17.0,ARK5,21,7,9,18,0,15,1,12,2,Lobby 1,Finals,12.0,2.0,15.0,0.0
18.0,HE,21,6,1,14,2,11,2,17,0,Lobby 1,Finals,15.0,2.0,11.0,7.0
19.0,SYTH,10,17,0,5,3,13,1,15,0,Lobby 1,Finals,20.0,0.0,20.0,0.0
20.0,Jamboree,6,18,0,20,0,20,0,19,0,Lobby 1,Finals,13.0,5.0,19.0,0.0
