Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FC Destroy,77,2,15,16,0,12,0,1,21,3,5,4,2
2.0,UC,58,7,2,3,9,2,10,4,2,10,6,12,2
3.0,LFT BKGK,55,6,6,2,13,11,1,13,3,5,8,5,2
4.0,HE,49,1,7,18,0,14,4,6,1,2,7,10,3
5.0,LAG,44,9,2,1,10,6,2,10,2,7,2,13,3
6.0,Black,44,10,2,4,3,1,11,9,1,13,1,6,1
7.0,IBSG,40,11,0,9,0,5,6,17,0,4,2,1,8
8.0,RPG,37,20,0,8,0,9,2,3,7,18,0,3,10
9.0,ENG,34,3,3,5,3,8,2,14,0,14,0,9,9
10.0,Marine,32,13,0,17,0,19,0,15,5,1,9,15,3
11.0,ARZ,26,18,0,11,4,17,0,8,3,11,0,2,6
12.0,TW,25,5,5,6,5,7,3,20,0,12,0,16,1
13.0,Joel Mark,24,19,3,13,5,13,0,7,3,9,6,20,0
14.0,HIT,21,14,0,7,1,3,1,5,3,20,0,14,0
15.0,goo choki paa,20,16,0,14,0,15,1,2,1,16,0,7,4
16.0,Lunatics,19,8,0,15,3,20,1,16,3,8,7,19,0
17.0,Atum,19,4,1,10,0,10,4,11,2,17,0,8,0
18.0,ORB.G,15,15,5,19,0,16,2,12,0,6,3,17,0
19.0,Solid,14,12,3,20,0,4,1,19,0,19,0,11,3
20.0,AVA,7,17,0,12,1,18,3,18,0,15,0,18,1
