StandingsPlacements and killsPoints,Team,Total,"Round 1 Round 1 September 25, 2021 - 12:00 JSTWorld's Edge KaisenDONDON Team Solid EXiA Gaming Korea","Round 1 Round 1 September 25, 2021 - 12:00 JSTWorld's Edge KaisenDONDON Team Solid EXiA Gaming Korea","Round 2 Round 2 September 25, 2021 - 12:35 JSTWorld's Edge YaBaL KaisenDONDON Orange Curacao","Round 2 Round 2 September 25, 2021 - 12:35 JSTWorld's Edge YaBaL KaisenDONDON Orange Curacao","Round 3 Round 3 September 25, 2021 - 13:10 JSTWorld's Edge Ark5 EXiA Gaming Korea Jadeite","Round 3 Round 3 September 25, 2021 - 13:10 JSTWorld's Edge Ark5 EXiA Gaming Korea Jadeite","Round 4 Round 4 September 25, 2021 - 13:45 JSTWorld's Edge ORB GARDEN Ark5 YaBaL"
Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P
1.0,EXiA KR,42,37,99,111,0,29,1010,92
2.0,ARK5,40,92,0,92,0,112,66,29
3.0,KaisenDONDON,38,112,88,29,33,63,0,63
4.0,YaBaL,33,102,0,112,77,111,0,37
5.0,OC,29,82,0,37,55,45,22,45
6.0,C-VA KAG,28,45,33,63,66,92,33,73
7.0,Solid,28,29,33,73,33,54,33,102
8.0,ORB.G,23,111,0,102,0,82,33,112
9.0,JDT,21,54,0,45,22,37,22,111
10.0,Lixis,17,73,22,54,22,102,0,82
11.0,SyS,16,63,33,82,0,73,0,54
