,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 12:00 JSTWorld's Edge KaisenDONDON Team Solid EXiA Gaming Korea","Round 1 Round 1 September 25, 2021 - 12:00 JSTWorld's Edge KaisenDONDON Team Solid EXiA Gaming Korea","Round 2 Round 2 September 25, 2021 - 12:35 JSTWorld's Edge YaBaL KaisenDONDON Orange Curacao","Round 2 Round 2 September 25, 2021 - 12:35 JSTWorld's Edge YaBaL KaisenDONDON Orange Curacao","Round 3 Round 3 September 25, 2021 - 13:10 JSTWorld's Edge Ark5 EXiA Gaming Korea Jadeite","Round 3 Round 3 September 25, 2021 - 13:10 JSTWorld's Edge Ark5 EXiA Gaming Korea Jadeite","Round 4 Round 4 September 25, 2021 - 13:45 JSTWorld's Edge ORB GARDEN Ark5 YaBaL","Round 4 Round 4 September 25, 2021 - 13:45 JSTWorld's Edge ORB GARDEN Ark5 YaBaL"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,EXiA KR,42,3,9,11,0,2,10,9,4
1,2.0,ARK5,40,9,0,9,0,1,6,2,9
2,3.0,KaisenDONDON,38,1,8,2,3,6,0,6,0
3,4.0,YaBaL,33,10,0,1,7,11,0,3,4
4,5.0,OC,29,8,0,3,5,4,2,4,3
5,6.0,C-VA KAG,28,4,3,6,6,9,3,7,3
6,7.0,Solid,28,2,3,7,3,5,3,10,1
7,8.0,ORB.G,23,11,0,10,0,8,3,1,3
8,9.0,JDT,21,5,0,4,2,3,2,11,0
9,10.0,Lixis,17,7,2,5,2,10,0,8,2
10,11.0,SyS,16,6,3,8,0,7,0,5,1
