Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,UC,63,1,17,15,3,1,15,8,1,16,0,20,0
2.0,HE,60,15,3,13,2,16,0,2,14,2,12,7,6
3.0,ORB.G,59,14,0,7,0,7,9,1,6,14,3,1,9
4.0,ENG,55,3,4,5,10,6,1,11,4,1,9,16,0
5.0,IBSG,52,9,0,1,18,5,0,20,1,10,4,4,4
6.0,RPG,45,6,1,6,4,3,1,18,0,9,2,2,13
7.0,ARZ,41,10,4,10,3,2,16,12,0,19,0,10,2
8.0,Solid,40,4,3,14,3,10,0,3,12,7,1,9,1
9.0,LAG,37,2,7,3,0,11,4,6,1,12,4,17,0
10.0,AVA,29,18,1,11,2,8,3,7,0,5,3,5,6
11.0,Ace1,28,11,2,8,0,4,1,14,0,3,8,13,0
12.0,RUG,26,13,0,19,0,14,0,9,2,4,3,3,5
13.0,BeastMode,23,16,0,2,5,18,3,17,0,15,0,6,2
14.0,Zenith,22,8,4,16,0,9,2,4,3,6,1,18,0
15.0,D4RK,20,19,3,17,3,15,1,19,1,13,6,15,3
16.0,ARK5,20,5,4,4,0,13,0,16,0,17,0,8,4
17.0,KaisenDONDON,19,7,2,9,4,12,0,13,0,11,3,11,1
18.0,YaBaL,14,20,0,20,0,17,0,5,6,8,2,0,0
19.0,C-VA KAG,8,17,1,18,0,19,0,10,5,18,0,19,0
20.0,OC,6,12,0,12,0,20,0,15,1,20,1,14,0
