,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 2, 2021 - 12:00 JSTWorld's Edge Hybrid Eclipse RadicalPopGaming Crest Gaming","Round 1 Round 1 October 2, 2021 - 12:00 JSTWorld's Edge Hybrid Eclipse RadicalPopGaming Crest Gaming","Round 2 Round 2 October 2, 2021 - 12:35 JSTWorld's Edge Wyvern Ark5 Atum","Round 2 Round 2 October 2, 2021 - 12:35 JSTWorld's Edge Wyvern Ark5 Atum","Round 3 Round 3 October 2, 2021 - 13:10 JSTWorld's Edge Crest Gaming RadicalPopGaming Atum","Round 3 Round 3 October 2, 2021 - 13:10 JSTWorld's Edge Crest Gaming RadicalPopGaming Atum","Round 4 Round 4 October 2, 2021 - 13:45 JSTWorld's Edge EXiA Gaming Korea Joel Mark WarGamingTeam","Round 4 Round 4 October 2, 2021 - 13:45 JSTWorld's Edge EXiA Gaming Korea Joel Mark WarGamingTeam"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Crest,56,3,6,7,10,1,10,5,4
1,2.0,HE,44,1,10,11,5,5,8,15,3
2,3.0,EXiA KR,41,9,1,6,2,6,4,1,14
3,4.0,RadicalPopGaming,37,2,5,16,0,2,3,6,8
4,5.0,Atum,33,12,0,3,3,3,4,4,6
5,6.0,Joel Mark,29,6,13,18,0,13,1,2,2
6,7.0,WYV,26,11,1,1,10,14,0,13,0
7,8.0,Servelal alpha,23,16,5,9,4,12,6,7,2
8,9.0,456,23,7,3,4,3,11,5,11,2
9,10.0,ARK5,21,10,5,2,1,18,0,12,3
10,11.0,NANB,21,4,1,5,3,10,1,8,3
11,12.0,Fortuna,17,15,1,10,2,4,4,9,0
12,13.0,monkey,15,20,0,8,5,9,3,18,3
13,14.0,NAT,14,5,0,17,0,7,4,17,3
14,15.0,WGT,13,13,0,12,0,16,1,3,3
15,16.0,JDT,9,19,0,13,3,17,3,10,0
16,17.0,Scarlet Fox,7,8,2,15,1,19,0,16,1
17,18.0,Reinforce,5,14,0,19,0,8,2,20,0
18,19.0,TensainoGakitati,3,17,0,14,0,15,0,14,0
19,20.0,aim,1,18,0,20,1,20,0,19,0
