,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 2, 2021 - 16:40 JSTWorld's Edge Wyvern Radical Pop Gaming United Crew γ","Round 1 Round 1 October 2, 2021 - 16:40 JSTWorld's Edge Wyvern Radical Pop Gaming United Crew γ","Round 2 Round 2 October 2, 2021 - 17:15 JSTWorld's Edge BAKEMON Marine LFT BAKAGAKI","Round 2 Round 2 October 2, 2021 - 17:15 JSTWorld's Edge BAKEMON Marine LFT BAKAGAKI","Round 3 Round 3 October 2, 2021 - 17:50 JSTWorld's Edge BAKEMON Atum Crest Gaming","Round 3 Round 3 October 2, 2021 - 17:50 JSTWorld's Edge BAKEMON Atum Crest Gaming","Round 4 Round 4 October 2, 2021 - 18:25 JSTWorld's Edge BAKEMON Joel Mark Syth Gaming","Round 4 Round 4 October 2, 2021 - 18:25 JSTWorld's Edge BAKEMON Joel Mark Syth Gaming","Round 5 Round 5 October 2, 2021 - 19:00 JSTWorld's Edge Team Solid Radical Pop Gaming LFT BAKAGAKI","Round 5 Round 5 October 2, 2021 - 19:00 JSTWorld's Edge Team Solid Radical Pop Gaming LFT BAKAGAKI","Round 6 Round 6 October 2, 2021 - 19:35 JSTWorld's Edge United Crew γ 456 Marine","Round 6 Round 6 October 2, 2021 - 19:35 JSTWorld's Edge United Crew γ 456 Marine"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,UC,86,3,13,18,4,7,3,6,5,7,7,1,26
1,2.0,BKMN,71,11,4,1,7,1,8,1,12,19,2,12,0
2,3.0,LFT BKGK,51,14,1,3,8,5,9,13,0,3,1,7,9
3,4.0,456,47,5,9,12,8,20,0,10,1,5,3,2,6
4,5.0,Atum,40,9,1,6,3,2,12,15,0,4,3,14,0
5,6.0,WYV,40,1,11,17,0,4,0,8,4,13,1,10,2
6,7.0,RPG,34,2,2,7,4,8,1,14,0,2,3,20,0
7,8.0,EXiA KR,31,16,0,19,0,12,2,4,10,14,3,8,7
8,9.0,YaBaL,30,10,0,4,8,15,0,9,7,17,2,13,2
9,10.0,Solid,30,20,0,9,1,19,0,17,0,1,11,6,1
10,11.0,Marine,30,12,5,2,4,14,1,16,0,15,0,3,1
11,12.0,Joel Mark,28,18,2,5,1,9,1,2,6,9,1,16,0
12,13.0,Crest,26,6,3,15,0,3,4,5,1,18,0,15,2
13,14.0,SYTH,23,13,0,8,2,10,1,3,6,20,1,11,0
14,15.0,REAH,21,8,0,14,0,16,3,11,2,6,5,5,0
15,16.0,Servelal alpha,18,15,1,10,6,18,0,18,0,10,1,4,0
16,17.0,HE,17,17,1,20,0,11,3,12,0,8,9,18,0
17,18.0,ARK5,15,4,3,13,2,17,4,20,0,16,0,19,0
18,19.0,ScL,14,19,0,11,0,6,2,7,0,12,2,9,0
19,20.0,HIT,13,7,2,16,0,13,3,19,0,11,3,17,0
