Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,BKMN,77,1,9,11,0,6,8,1,13,3,7,11,4,Lobby 1
2.0,LAG,72,6,5,1,11,5,3,15,0,2,10,4,9,Lobby 1
3.0,IBSG,49,4,2,6,3,7,1,2,7,1,4,17,0,Lobby 1
4.0,MTR,48,11,3,10,2,8,4,8,0,9,5,1,13,Lobby 1
5.0,APXRS,45,5,5,9,1,14,3,7,6,5,12,16,4,Lobby 1
6.0,ScL,42,2,6,3,5,19,0,3,1,8,0,5,1,Lobby 1
7.0,456,38,13,9,18,3,16,3,5,4,18,0,2,5,Lobby 1
8.0,Serpens,38,9,3,5,5,9,0,18,1,4,4,3,5,Lobby 1
9.0,GEMI,34,19,0,4,8,3,6,11,0,17,0,7,4,Lobby 1
10.0,Servelal alpha,34,18,0,7,2,4,1,4,9,10,3,9,2,Lobby 1
11.0,SyS,34,8,0,13,0,2,11,9,0,7,4,8,0,Lobby 1
12.0,Joel Mark,31,17,0,2,9,20,0,6,4,13,0,15,4,Lobby 1
13.0,AVA,30,16,0,17,0,1,11,13,2,16,1,14,2,Lobby 1
14.0,GW,26,3,5,12,0,18,1,17,4,15,6,13,0,Lobby 1
15.0,Crest,21,20,1,8,3,13,3,14,5,11,1,19,3,Lobby 1
16.0,3DONE,16,10,9,19,0,17,0,16,0,19,0,6,2,Lobby 1
17.0,BeastMode,13,7,1,14,3,12,2,20,0,20,0,12,1,Lobby 1
18.0,YaBaL,12,14,0,15,0,11,1,10,1,6,0,10,0,Lobby 1
19.0,WYV,9,15,1,16,3,10,0,12,0,12,0,20,0,Lobby 1
20.0,REAH,4,12,0,20,0,15,0,19,0,14,0,18,1,Lobby 1
1.0,NAT,69,4,8,5,1,10,4,1,7,10,4,2,11,Lobby 2
2.0,RPG,65,5,2,1,7,3,7,4,4,5,2,4,6,Lobby 2
3.0,SYTH,60,18,0,2,16,2,7,11,1,2,3,5,1,Lobby 2
4.0,Marine,57,3,5,20,1,13,2,2,8,17,1,1,11,Lobby 2
5.0,EXiA KR,47,7,8,14,4,1,10,15,0,14,3,16,4,Lobby 2
6.0,UC,46,14,0,12,6,5,6,18,3,1,11,9,0,Lobby 2
7.0,D4RK,45,10,6,3,9,18,4,14,2,18,0,3,7,Lobby 2
8.0,JDT,44,1,7,6,0,11,4,10,0,3,3,7,2,Lobby 2
9.0,TW,35,2,2,17,3,16,0,6,9,8,6,12,0,Lobby 2
10.0,LandMarkGondola,30,17,0,19,1,7,1,3,10,6,3,8,0,Lobby 2
11.0,HE,28,8,11,10,1,8,4,17,0,12,2,13,2,Lobby 2
12.0,FA Club FUG,28,11,2,13,2,12,6,19,0,4,7,10,1,Lobby 2
13.0,Fujii Gaming,23,9,0,7,2,14,3,12,1,15,2,14,6,Lobby 2
14.0,ENG,21,12,0,11,0,4,3,7,3,16,0,6,2,Lobby 2
15.0,Zenith,17,19,3,4,3,17,0,13,3,19,0,11,1,Lobby 2
16.0,TSURUGI,17,15,0,18,0,6,0,5,3,7,3,19,0,Lobby 2
17.0,HIT,13,6,5,15,0,9,0,16,2,20,0,20,0,Lobby 2
18.0,ARZ,9,13,0,9,0,15,1,20,0,9,0,18,2,Lobby 2
19.0,Ignition,7,16,0,8,1,20,0,9,0,13,0,15,0,Lobby 2
20.0,RUG,4,20,0,16,0,19,0,8,0,11,1,17,0,Lobby 2
