Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,BKMN,57,1,10,6,2,12,0,1,17,Lobby 1,Round_1,,,,
2.0,Joel Mark,49,3,8,1,11,11,3,10,5,Lobby 1,Round_1,,,,
3.0,GW,41,8,7,9,0,4,13,4,7,Lobby 1,Round_1,,,,
4.0,APXRS,38,2,4,3,10,16,0,5,4,Lobby 1,Round_1,,,,
5.0,Serpens,36,5,4,2,2,3,5,9,3,Lobby 1,Round_1,,,,
6.0,MTR,31,9,0,8,2,1,2,2,2,Lobby 1,Round_1,,,,
7.0,REAH,22,6,0,14,1,2,7,14,0,Lobby 1,Round_1,,,,
8.0,ScL,21,10,5,7,4,9,3,8,0,Lobby 1,Round_1,,,,
9.0,3DONE,17,4,5,13,3,15,0,13,1,Lobby 1,Round_1,,,,
10.0,WYV,17,15,1,4,1,6,5,15,0,Lobby 1,Round_1,,,,
11.0,Ace1,16,7,1,17,0,13,0,3,4,Lobby 1,Round_1,,,,
12.0,PiratesOfMirage,15,12,0,5,4,8,3,11,0,Lobby 1,Round_1,,,,
13.0,Scarlet Fox,11,16,0,11,4,10,0,6,1,Lobby 1,Round_1,,,,
14.0,ORB.G,11,13,0,10,2,5,1,16,1,Lobby 1,Round_1,,,,
15.0,RuinZ,10,17,0,15,0,7,3,7,0,Lobby 1,Round_1,,,,
16.0,BEXT,7,11,1,12,0,17,0,12,3,Lobby 1,Round_1,,,,
17.0,WOW.AXIS,2,14,0,16,0,14,0,17,0,Lobby 1,Round_1,,,,
1.0,Servelal alpha,74,1,11,1,11,1,10,6,3,Lobby 2,Round_1,,,,
2.0,Crest,44,12,7,12,4,3,7,4,12,Lobby 2,Round_1,,,,
3.0,YaBaL,37,10,6,2,9,5,3,8,2,Lobby 2,Round_1,,,,
4.0,GEMI,32,2,4,18,0,14,3,3,8,Lobby 2,Round_1,,,,
5.0,IBSG,29,11,2,6,6,6,10,11,3,Lobby 2,Round_1,,,,
6.0,456,29,8,6,13,3,11,1,2,6,Lobby 2,Round_1,,,,
7.0,SyS,27,4,6,4,6,17,1,7,1,Lobby 2,Round_1,,,,
8.0,LAG,25,18,1,16,0,9,2,1,8,Lobby 2,Round_1,,,,
9.0,AVA,24,13,1,3,2,4,0,5,4,Lobby 2,Round_1,,,,
10.0,BeastMode,22,6,3,11,3,2,2,12,0,Lobby 2,Round_1,,,,
11.0,ORC,18,3,0,5,3,15,1,13,1,Lobby 2,Round_1,,,,
12.0,OC,15,7,0,9,4,8,2,9,0,Lobby 2,Round_1,,,,
13.0,Welfare,12,5,1,14,1,13,1,14,2,Lobby 2,Round_1,,,,
14.0,Reinforce,11,9,0,17,0,7,3,10,1,Lobby 2,Round_1,,,,
15.0,ARK5,9,16,0,7,0,10,3,15,0,Lobby 2,Round_1,,,,
16.0,LapiLegends,5,15,2,8,0,16,0,17,0,Lobby 2,Round_1,,,,
17.0,KIBIINA-NO-OUCHI,4,14,0,10,0,12,0,16,0,Lobby 2,Round_1,,,,
18.0,track,1,17,0,15,0,18,0,18,0,Lobby 2,Round_1,,,,
1.0,RPG,44,2,5,1,6,4,7,18,0,Lobby 3,Round_1,,,,
2.0,Ignition,40,1,9,14,3,6,3,7,6,Lobby 3,Round_1,,,,
3.0,ENG,40,6,3,3,7,2,4,5,3,Lobby 3,Round_1,,,,
4.0,RUG,34,5,5,5,6,1,2,11,0,Lobby 3,Round_1,,,,
5.0,TW,31,3,7,17,0,15,0,3,9,Lobby 3,Round_1,,,,
6.0,Fujii Gaming,30,7,5,9,3,11,0,2,7,Lobby 3,Round_1,,,,
7.0,EXiA KR,29,12,2,18,0,5,14,9,6,Lobby 3,Round_1,,,,
8.0,ARZ,27,10,1,6,2,13,1,1,5,Lobby 3,Round_1,,,,
9.0,Marine,26,15,6,8,4,3,5,13,0,Lobby 3,Round_1,,,,
10.0,TSURUGI,24,18,1,2,5,12,3,8,3,Lobby 3,Round_1,,,,
11.0,RAVENS,23,4,3,13,1,16,0,4,8,Lobby 3,Round_1,,,,
12.0,CPGaming,15,9,3,12,3,9,1,14,2,Lobby 3,Round_1,,,,
13.0,TVN,15,13,1,7,3,8,5,17,0,Lobby 3,Round_1,,,,
14.0,Solid,14,17,0,4,2,14,3,6,0,Lobby 3,Round_1,,,,
15.0,KaisenDONDON,12,11,0,10,2,10,2,10,1,Lobby 3,Round_1,,,,
16.0,C-VA KAG,11,16,1,11,4,7,0,15,1,Lobby 3,Round_1,,,,
17.0,Creatives,4,8,0,16,0,18,0,12,1,Lobby 3,Round_1,,,,
18.0,A6G,3,14,0,15,1,17,0,16,0,Lobby 3,Round_1,,,,
1.0,UC,60,3,13,14,3,9,4,1,18,Lobby 4,Round_1,,,,
2.0,FA Club FUG,46,1,8,2,7,7,5,9,0,Lobby 4,Round_1,,,,
3.0,SYTH,45,5,6,1,7,5,2,7,7,Lobby 4,Round_1,,,,
4.0,Zenith,45,8,1,6,4,1,8,2,6,Lobby 4,Round_1,,,,
5.0,D4RK,27,2,8,17,0,17,0,5,6,Lobby 4,Round_1,,,,
6.0,HE,27,17,0,3,2,2,7,15,1,Lobby 4,Round_1,,,,
7.0,LandMarkGondola,25,12,0,13,3,3,10,11,2,Lobby 4,Round_1,,,,
8.0,HIT,25,7,1,4,7,8,1,4,1,Lobby 4,Round_1,,,,
9.0,JDT,19,13,0,5,6,13,3,10,2,Lobby 4,Round_1,,,,
10.0,NAT,19,11,0,9,5,4,5,12,0,Lobby 4,Round_1,,,,
11.0,Atum,19,4,2,7,0,6,2,8,2,Lobby 4,Round_1,,,,
12.0,Farley,17,10,4,8,3,15,0,6,2,Lobby 4,Round_1,,,,
13.0,NANB,12,14,0,12,0,14,0,3,2,Lobby 4,Round_1,,,,
14.0,TeamRoyHage,10,9,1,15,0,10,3,13,0,Lobby 4,Round_1,,,,
15.0,Birthday Boy,7,6,4,16,0,16,0,17,0,Lobby 4,Round_1,,,,
16.0,Ark cha Puppy,6,16,0,10,2,12,1,16,0,Lobby 4,Round_1,,,,
17.0,WGT,4,15,0,11,0,11,0,14,0,Lobby 4,Round_1,,,,
18.0,Core Second,0,20,0,20,0,20,0,20,0,Lobby 4,Round_1,,,,
1.0,BKMN,77,1,9,11,0,6,8,1,13,Lobby 1,Semifinals,3.0,7.0,11.0,4.0
2.0,LAG,72,6,5,1,11,5,3,15,0,Lobby 1,Semifinals,2.0,10.0,4.0,9.0
3.0,IBSG,49,4,2,6,3,7,1,2,7,Lobby 1,Semifinals,1.0,4.0,17.0,0.0
