Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,LFT wax,49,45,1313,54,22,29,88,45,33,Lobby 1,Round_1,,,,
2.0,JDT,45,54,44,73,44,112,55,29,44,Lobby 1,Round_1,,,,
3.0,NrTv.Vs,38,111,0,29,1111,54,66,63,44,Lobby 1,Round_1,,,,
4.0,REAH,32,82,0,63,0,63,0,112,1212,Lobby 1,Round_1,,,,
5.0,Scarlet Fox,27,29,11,37,11,45,33,121,0,Lobby 1,Round_1,,,,
6.0,GENIUS,26,121,0,112,66,111,33,92,11,Lobby 1,Round_1,,,,
7.0,BEXT,25,112,99,111,0,92,0,131,0,Lobby 1,Round_1,,,,
8.0,Fujii Gaming,23,73,0,45,55,73,22,82,33,Lobby 1,Round_1,,,,
9.0,ORC,17,37,22,92,44,121,0,111,0,Lobby 1,Round_1,,,,
10.0,Ark cha Puppy,17,200,0,121,0,37,0,37,22,Lobby 1,Round_1,,,,
11.0,C-VA KAG,14,92,0,82,0,102,22,73,33,Lobby 1,Round_1,,,,
12.0,APEX反省会,13,102,0,102,22,82,33,102,0,Lobby 1,Round_1,,,,
13.0,EGJP,11,200,0,131,0,131,11,54,44,Lobby 1,Round_1,,,,
1.0,TSURUGI,68,112,1010,37,99,45,77,37,1111,Lobby 2,Round_1,,,,
2.0,Serpens,42,54,44,54,22,112,1111,92,33,Lobby 2,Round_1,,,,
3.0,KaisenDONDON,42,45,11,63,33,37,11,112,1010,Lobby 2,Round_1,,,,
4.0,WYV,32,102,11,112,1010,92,22,82,11,Lobby 2,Round_1,,,,
5.0,OC,32,29,44,29,44,82,11,63,0,Lobby 2,Round_1,,,,
6.0,RAVENS,22,73,0,121,0,73,55,73,77,Lobby 2,Round_1,,,,
7.0,WOW.AXIS,22,92,11,131,0,29,55,102,22,Lobby 2,Round_1,,,,
8.0,Next,22,121,0,111,0,54,55,29,22,Lobby 2,Round_1,,,,
9.0,LandMarkGondola,19,37,44,92,44,121,0,121,0,Lobby 2,Round_1,,,,
10.0,ICHC,18,82,44,73,22,102,0,54,11,Lobby 2,Round_1,,,,
11.0,LapiLegends,14,63,33,102,22,63,0,131,0,Lobby 2,Round_1,,,,
12.0,RAIZ,12,131,0,45,0,111,0,45,0,Lobby 2,Round_1,,,,
13.0,Ignition,9,111,0,82,0,131,0,111,44,Lobby 2,Round_1,,,,
14.0,SUBARU_@3,0,200,0,200,0,200,0,200,0,Lobby 2,Round_1,,,,
1.0,shes,62,92,22,73,88,112,1111,112,1212,Lobby 3,Round_1,,,,
2.0,NANB,39,54,22,37,33,29,44,45,55,Lobby 3,Round_1,,,,
3.0,SyS,38,29,66,63,33,73,22,29,33,Lobby 3,Round_1,,,,
4.0,NFM,37,63,11,112,99,102,44,73,33,Lobby 3,Round_1,,,,
5.0,RAZE,33,37,66,29,44,63,11,111,22,Lobby 3,Round_1,,,,
6.0,ScL,32,112,88,54,33,92,0,102,11,Lobby 3,Round_1,,,,
7.0,Solid,22,45,55,111,33,54,22,92,0,Lobby 3,Round_1,,,,
8.0,GEMI,20,73,33,92,0,111,0,63,88,Lobby 3,Round_1,,,,
9.0,RUG,20,111,0,45,0,37,44,82,11,Lobby 3,Round_1,,,,
10.0,YaBaL,18,121,0,131,0,45,44,37,0,Lobby 3,Round_1,,,,
11.0,BeastMode,10,200,0,82,33,121,0,54,0,Lobby 3,Round_1,,,,
12.0,Fortuna,8,102,0,102,0,82,11,131,0,Lobby 3,Round_1,,,,
13.0,EB,5,82,0,121,0,131,0,121,0,Lobby 3,Round_1,,,,
1.0,ARK5,59,112,1111,112,1212,37,22,63,0,Lobby 4,Round_1,,,,
2.0,Crest,51,63,44,63,0,112,1818,54,77,Lobby 4,Round_1,,,,
3.0,Zenith,33,29,55,45,66,54,33,131,0,Lobby 4,Round_1,,,,
4.0,BlackGorillaN,32,131,11,82,88,111,33,37,99,Lobby 4,Round_1,,,,
5.0,3DONE,32,121,0,102,11,63,33,112,1010,Lobby 4,Round_1,,,,
6.0,Fada-one Arcana,28,54,33,92,11,29,88,141,0,Lobby 4,Round_1,,,,
7.0,HIT,28,45,33,131,11,92,0,29,77,Lobby 4,Round_1,,,,
8.0,Eclat,28,73,22,29,33,45,0,45,11,Lobby 4,Round_1,,,,
9.0,EXiA KR,24,37,88,73,22,121,0,102,11,Lobby 4,Round_1,,,,
10.0,DXM,15,82,22,37,11,131,0,82,0,Lobby 4,Round_1,,,,
11.0,Reinforce,13,102,0,121,11,102,44,92,11,Lobby 4,Round_1,,,,
12.0,NAT,13,111,0,54,33,82,0,121,22,Lobby 4,Round_1,,,,
13.0,Fada-one KR,12,92,22,141,0,141,0,73,33,Lobby 4,Round_1,,,,
14.0,zeroDAMAGE,6,141,0,111,0,73,0,111,0,Lobby 4,Round_1,,,,
1.0,KaisenDONDON,66,2,8,17,0,11,1,4,10,Lobby 1,Semifinals,1.0,12.0,6.0,5.0
2.0,RAVENS,62,17,2,2,6,4,7,10,0,Lobby 1,Semifinals,14.0,0.0,1.0,18.0
3.0,TSURUGI,61,20,0,12,0,3,0,2,18,Lobby 1,Semifinals,2.0,10.0,10.0,5.0
4.0,OC,49,7,3,3,6,5,2,12,0,Lobby 1,Semifinals,5.0,5.0,3.0,7.0
5.0,Fujii Gaming,46,3,1,8,4,2,10,8,2,Lobby 1,Semifinals,17.0,0.0,5.0,5.0
6.0,BEXT,43,11,2,16,0,12,0,6,9,Lobby 1,Semifinals,10.0,7.0,2.0,9.0
7.0,REAH,41,18,0,14,3,1,12,11,2,Lobby 1,Semifinals,4.0,1.0,11.0,3.0
8.0,LFT wax,39,1,11,19,1,17,4,14,0,Lobby 1,Semifinals,8.0,6.0,14.0,1.0
9.0,GENIUS,35,14,0,1,7,10,4,9,3,Lobby 1,Semifinals,16.0,0.0,12.0,3.0
10.0,NrTv.Vs,32,19,4,4,6,13,3,18,0,Lobby 1,Semifinals,3.0,6.0,20.0,0.0
11.0,ORC,31,9,1,18,2,8,4,1,4,Lobby 1,Semifinals,9.0,0.0,9.0,0.0
12.0,WYV,26,5,7,7,3,15,1,7,1,Lobby 1,Semifinals,18.0,1.0,15.0,1.0
13.0,WOW.AXIS,26,12,2,11,2,6,4,3,5,Lobby 1,Semifinals,15.0,0.0,18.0,0.0
14.0,Next,22,6,8,9,3,9,2,15,0,Lobby 1,Semifinals,20.0,0.0,13.0,0.0
15.0,Serpens,19,8,1,5,0,18,0,13,0,Lobby 1,Semifinals,11.0,4.0,4.0,1.0
16.0,ICHC,18,15,1,13,6,14,0,19,3,Lobby 1,Semifinals,6.0,2.0,17.0,0.0
17.0,LandMarkGondola,18,13,1,6,4,16,1,5,4,Lobby 1,Semifinals,19.0,0.0,16.0,0.0
18.0,Scarlet Fox,15,4,2,20,0,19,3,20,0,Lobby 1,Semifinals,7.0,0.0,8.0,0.0
19.0,JDT,14,10,0,10,3,7,1,17,0,Lobby 1,Semifinals,12.0,2.0,19.0,0.0
20.0,Ark cha Puppy,5,16,0,15,0,20,0,16,0,Lobby 1,Semifinals,13.0,0.0,7.0,0.0
1.0,shes,71,4,12,12,3,9,6,3,8,Lobby 2,Semifinals,4.0,1.0,2.0,12.0
2.0,ScL,52,5,5,2,9,2,7,10,0,Lobby 2,Semifinals,11.0,2.0,7.0,1.0
3.0,RAZE,49,13,6,1,6,15,3,14,0,Lobby 2,Semifinals,2.0,10.0,19.0,0.0
4.0,HIT,47,15,0,5,4,16,0,15,3,Lobby 2,Semifinals,16.0,1.0,1.0,21.0
5.0,ARK5,41,14,0,18,0,7,8,4,7,Lobby 2,Semifinals,14.0,2.0,4.0,9.0
6.0,YaBaL,41,19,0,7,7,17,0,1,12,Lobby 2,Semifinals,8.0,1.0,9.0,2.0
7.0,SyS,40,8,1,3,4,3,4,8,0,Lobby 2,Semifinals,18.0,3.0,5.0,6.0
8.0,EXiA KR,38,6,0,11,5,18,3,5,3,Lobby 2,Semifinals,1.0,7.0,18.0,0.0
9.0,NFM,36,7,8,17,0,6,4,18,2,Lobby 2,Semifinals,10.0,10.0,12.0,3.0
10.0,Crest,33,3,6,8,5,19,0,9,2,Lobby 2,Semifinals,6.0,3.0,14.0,2.0
11.0,Solid,32,9,3,9,3,1,8,17,0,Lobby 2,Semifinals,15.0,0.0,15.0,0.0
12.0,NANB,32,10,0,6,0,11,2,2,6,Lobby 2,Semifinals,13.0,0.0,3.0,1.0
13.0,3DONE,31,16,3,15,2,12,3,13,4,Lobby 2,Semifinals,3.0,6.0,11.0,2.0
14.0,BlackGorillaN,30,11,4,4,3,8,1,7,0,Lobby 2,Semifinals,5.0,5.0,8.0,0.0
15.0,RUG,26,1,3,19,0,13,3,19,1,Lobby 2,Semifinals,9.0,0.0,6.0,1.0
16.0,Zenith,25,2,3,14,0,4,4,11,0,Lobby 2,Semifinals,19.0,0.0,10.0,0.0
17.0,GEMI,17,17,0,13,4,14,1,12,8,Lobby 2,Semifinals,17.0,0.0,17.0,1.0
18.0,Eclat,14,18,0,10,0,5,0,6,0,Lobby 2,Semifinals,7.0,1.0,13.0,0.0
19.0,Fada-one Arcana,11,20,1,16,3,10,0,16,0,Lobby 2,Semifinals,12.0,0.0,16.0,4.0
