Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,KaisenDONDON,66,2,8,17,0,11,1,4,10,1,12,6,5,Lobby 1
2.0,RAVENS,62,17,2,2,6,4,7,10,0,14,0,1,18,Lobby 1
3.0,TSURUGI,61,20,0,12,0,3,0,2,18,2,10,10,5,Lobby 1
4.0,OC,49,7,3,3,6,5,2,12,0,5,5,3,7,Lobby 1
5.0,Fujii Gaming,46,3,1,8,4,2,10,8,2,17,0,5,5,Lobby 1
6.0,BEXT,43,11,2,16,0,12,0,6,9,10,7,2,9,Lobby 1
7.0,REAH,41,18,0,14,3,1,12,11,2,4,1,11,3,Lobby 1
8.0,LFT wax,39,1,11,19,1,17,4,14,0,8,6,14,1,Lobby 1
9.0,GENIUS,35,14,0,1,7,10,4,9,3,16,0,12,3,Lobby 1
10.0,NrTv.Vs,32,19,4,4,6,13,3,18,0,3,6,20,0,Lobby 1
11.0,ORC,31,9,1,18,2,8,4,1,4,9,0,9,0,Lobby 1
12.0,WYV,26,5,7,7,3,15,1,7,1,18,1,15,1,Lobby 1
13.0,WOW.AXIS,26,12,2,11,2,6,4,3,5,15,0,18,0,Lobby 1
14.0,Next,22,6,8,9,3,9,2,15,0,20,0,13,0,Lobby 1
15.0,Serpens,19,8,1,5,0,18,0,13,0,11,4,4,1,Lobby 1
16.0,ICHC,18,15,1,13,6,14,0,19,3,6,2,17,0,Lobby 1
17.0,LandMarkGondola,18,13,1,6,4,16,1,5,4,19,0,16,0,Lobby 1
18.0,Scarlet Fox,15,4,2,20,0,19,3,20,0,7,0,8,0,Lobby 1
19.0,JDT,14,10,0,10,3,7,1,17,0,12,2,19,0,Lobby 1
20.0,Ark cha Puppy,5,16,0,15,0,20,0,16,0,13,0,7,0,Lobby 1
1.0,shes,71,4,12,12,3,9,6,3,8,4,1,2,12,Lobby 2
2.0,ScL,52,5,5,2,9,2,7,10,0,11,2,7,1,Lobby 2
3.0,RAZE,49,13,6,1,6,15,3,14,0,2,10,19,0,Lobby 2
4.0,HIT,47,15,0,5,4,16,0,15,3,16,1,1,21,Lobby 2
5.0,ARK5,41,14,0,18,0,7,8,4,7,14,2,4,9,Lobby 2
6.0,YaBaL,41,19,0,7,7,17,0,1,12,8,1,9,2,Lobby 2
7.0,SyS,40,8,1,3,4,3,4,8,0,18,3,5,6,Lobby 2
8.0,EXiA KR,38,6,0,11,5,18,3,5,3,1,7,18,0,Lobby 2
9.0,NFM,36,7,8,17,0,6,4,18,2,10,10,12,3,Lobby 2
10.0,Crest,33,3,6,8,5,19,0,9,2,6,3,14,2,Lobby 2
11.0,Solid,32,9,3,9,3,1,8,17,0,15,0,15,0,Lobby 2
12.0,NANB,32,10,0,6,0,11,2,2,6,13,0,3,1,Lobby 2
13.0,3DONE,31,16,3,15,2,12,3,13,4,3,6,11,2,Lobby 2
14.0,BlackGorillaN,30,11,4,4,3,8,1,7,0,5,5,8,0,Lobby 2
15.0,RUG,26,1,3,19,0,13,3,19,1,9,0,6,1,Lobby 2
16.0,Zenith,25,2,3,14,0,4,4,11,0,19,0,10,0,Lobby 2
17.0,GEMI,17,17,0,13,4,14,1,12,8,17,0,17,1,Lobby 2
18.0,Eclat,14,18,0,10,0,5,0,6,0,7,1,13,0,Lobby 2
19.0,Fada-one Arcana,11,20,1,16,3,10,0,16,0,12,0,16,4,Lobby 2
20.0,DXM,10,12,9,20,0,20,0,20,0,20,0,20,0,Lobby 2
