Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Level UP,44,54,99,112,1212,54,11,82,0
2.0,ORC,40,63,11,45,55,29,44,29,44
3.0,N1A,32,92,0,121,0,37,1111,45,66
4.0,Numa,32,121,11,102,33,112,1111,111,11
5.0,NAT,30,111,0,92,0,63,0,112,1212
6.0,Zenith,29,73,11,29,88,121,0,54,33
7.0,Serpens,28,112,88,131,0,102,33,92,0
8.0,404,26,29,66,63,44,73,0,131,0
9.0,OC,22,82,0,37,11,45,0,63,44
10.0,Fortuna,21,102,22,54,22,82,0,37,22
11.0,RAVENS,19,45,44,82,33,92,0,102,11
12.0,Fada-one Arcana,18,37,11,111,0,111,66,121,11
13.0,Crest,15,131,0,73,0,131,0,73,77
