C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,IBSG,64,3,1,8,0,2,3,2,4,1,10,4,2
2.0,Flora,64,10,3,2,4,1,7,4,4,2,8,15,0
3.0,DTN,62,1,23,4,8,14,0,5,7,16,0,19,2
4.0,FCD,60,8,7,5,3,19,0,1,16,15,1,3,7
5.0,RXC,51,16,1,9,10,10,3,12,0,3,5,2,11
6.0,UNI,40,6,3,1,7,15,2,9,0,6,2,10,3
7.0,GTS,38,2,1,7,2,11,0,3,8,10,3,17,2
8.0,ORF,34,7,3,11,4,7,5,14,2,4,5,9,0
9.0,CJAM,31,11,2,10,0,3,2,16,0,5,9,14,3
10.0,USG,30,20,0,20,0,5,6,20,0,13,0,1,7
11.0,Joel Mark,28,14,0,13,4,9,7,10,4,7,2,12,1
12.0,SYTH,28,4,1,3,6,17,4,6,0,8,0,18,0
13.0,D4RK,21,12,0,18,2,8,3,7,3,17,2,7,2
14.0,V3,20,13,2,16,1,4,5,11,0,14,0,13,3
15.0,RIG-N,19,9,1,17,0,6,10,17,0,11,2,16,0
16.0,LAG,19,19,0,6,4,18,0,19,0,9,1,5,5
17.0,APXRS,15,18,0,14,1,12,0,8,4,19,4,11,1
18.0,G8S,14,17,3,15,0,20,0,13,1,18,3,8,3
19.0,Marine,14,5,1,19,0,16,0,15,3,20,0,6,2
20.0,AVA,13,15,4,12,4,13,1,18,0,12,0,20,0
