B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RXC,73,1,6,18,0,4,12,3,7,5,8,9,10
2.0,UNI,69,6,2,1,9,1,11,18,0,4,6,3,2
3.0,BKGK,57,14,9,10,2,13,1,14,2,3,3,1,16
4.0,Flora,51,12,0,16,3,2,5,1,10,6,2,6,3
5.0,RC,46,13,2,7,7,6,2,16,3,1,9,12,3
6.0,USG,44,10,3,5,1,10,2,6,8,12,4,2,5
7.0,HE,36,3,9,9,0,19,0,4,4,8,3,10,2
8.0,Joel Mark,33,9,6,12,4,12,2,11,2,14,4,4,4
9.0,Marine,29,4,0,8,1,3,3,7,3,13,4,20,0
10.0,DTN,27,18,0,3,1,17,6,9,6,11,1,13,2
11.0,NTH,27,2,4,15,1,9,1,12,0,10,1,15,4
12.0,FL,27,5,7,20,1,18,0,8,0,2,2,8,0
13.0,SG,26,16,4,4,9,15,1,17,0,19,4,17,2
14.0,CJAM,26,8,0,13,1,5,3,5,5,9,0,7,1
15.0,IBSG,24,15,0,2,8,11,3,19,0,15,0,11,0
16.0,Ace1,19,11,2,11,3,7,1,15,0,7,2,18,2
17.0,RPG,16,20,0,14,2,8,2,20,0,20,1,5,4
18.0,LDN,16,7,0,6,2,16,2,10,2,17,1,19,1
19.0,TW,14,19,1,17,0,14,0,2,3,18,0,16,0
20.0,APXRS,5,17,0,19,0,20,0,13,0,16,3,14,0
