B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,D4RK,59,1,15,3,3,9,1,5,9,16,3,12,2
2.0,FL,59,18,0,1,10,17,3,8,8,18,0,1,12
3.0,RIG-N,59,5,5,10,4,4,3,1,7,4,10,9,0
4.0,SG,48,7,2,20,0,1,6,20,0,3,8,4,5
5.0,RC,39,16,0,17,3,5,8,10,2,1,6,10,0
6.0,HE,37,15,0,19,0,11,3,2,4,2,2,5,4
7.0,LDN,35,4,9,4,6,12,3,18,0,8,1,8,1
8.0,AVA,34,6,4,2,8,3,1,14,0,19,0,16,1
9.0,SYTH,33,2,3,5,0,8,1,3,2,5,0,11,0
10.0,V3,32,3,4,16,1,15,2,13,0,7,5,14,7
11.0,BKGK,32,12,2,9,4,2,4,16,0,13,1,7,5
12.0,FCD,31,17,4,11,5,16,3,7,9,10,3,17,1
13.0,TW,26,10,0,15,1,18,0,11,6,17,0,2,6
14.0,GTS,22,11,0,6,0,6,6,6,0,15,3,15,1
15.0,ORF,21,9,3,8,2,10,9,17,0,20,0,13,0
16.0,LAG,21,19,3,14,0,20,0,12,2,11,1,3,5
17.0,G8S,20,20,0,18,0,19,0,4,4,6,5,6,0
18.0,NTH,16,8,1,7,6,13,0,19,0,9,1,18,0
19.0,Ace1,14,14,0,12,2,14,0,9,2,12,4,20,0
20.0,RPG,13,13,1,13,0,7,0,15,0,14,2,19,3
