,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 16:00 JSTWorld's Edge CTG ibushiGin Lag Gaming Flora esports","Round 1 Round 1 December 4, 2021 - 16:00 JSTWorld's Edge CTG ibushiGin Lag Gaming Flora esports","Round 2 Round 2 December 4, 2021 - 16:35 JSTWorld's Edge RIG North Lag Gaming RxR Clover","Round 2 Round 2 December 4, 2021 - 16:35 JSTWorld's Edge RIG North Lag Gaming RxR Clover","Round 3 Round 3 December 4, 2021 - 17:10 JSTWorld's Edge Team UNITE Apexers Lag Gaming","Round 3 Round 3 December 4, 2021 - 17:10 JSTWorld's Edge Team UNITE Apexers Lag Gaming","Round 4 Round 4 December 4, 2021 - 17:45 JSTWorld's Edge Syth Gaming Lag Gaming Marine","Round 4 Round 4 December 4, 2021 - 17:45 JSTWorld's Edge Syth Gaming Lag Gaming Marine","Round 5 Round 5 December 4, 2021 - 18:20 JSTWorld's Edge Flora esports Team UNITE CTG ibushiGin","Round 5 Round 5 December 4, 2021 - 18:20 JSTWorld's Edge Flora esports Team UNITE CTG ibushiGin","Round 6 Round 6 December 4, 2021 - 18:55 JSTWorld's Edge Pro Gaming team Selector Team UNITE V3 VEGA","Round 6 Round 6 December 4, 2021 - 18:55 JSTWorld's Edge Pro Gaming team Selector Team UNITE V3 VEGA"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,LAG,73,29,1212,29,33,37,77,29,1313,92,22,200,0
1,2.0,UNI,64,170,11,121,0,112,1010,45,11,29,88,29,88
2,3.0,Flora,56,37,11,45,1111,121,0,180,0,112,99,63,77
3,4.0,RIG-N,47,121,55,112,1010,141,11,141,33,82,44,54,33
4,5.0,IBSG,47,112,88,73,22,63,22,102,0,37,66,82,0
5,6.0,V3,46,151,0,54,55,151,22,63,66,63,77,37,77
6,7.0,GTS,36,160,33,151,0,82,0,151,0,45,22,112,1010
7,8.0,FCD,29,141,33,141,66,92,55,82,22,151,66,180,0
8,9.0,ORF,29,63,11,82,0,54,44,92,77,54,0,190,22
9,10.0,USG,28,73,33,102,33,180,0,54,44,102,0,73,44
10,11.0,SYTH,28,45,44,190,0,200,0,112,44,170,0,92,11
11,12.0,RXC,27,180,0,37,99,131,11,200,11,160,55,160,33
12,13.0,DTN,26,111,33,111,33,160,88,121,33,111,22,141,22
13,14.0,G8S,23,92,11,170,0,45,55,170,0,180,0,45,55
14,15.0,RZ,21,54,11,131,0,190,0,73,77,141,22,102,0
15,16.0,APXRS,21,102,55,200,0,29,44,190,0,121,0,170,0
16,17.0,AVA,20,82,33,92,0,73,22,131,44,190,11,131,11
17,18.0,Marine,19,131,0,160,0,102,22,37,11,73,22,151,0
18,19.0,D4RK,13,200,11,180,22,170,55,160,11,131,22,111,0
19,20.0,CJAM,13,190,0,63,22,111,0,111,22,200,0,121,33
