,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 JSTWorld's Edge Crazy Raccoon Good 8 Squad RIG North","Round 1 Round 1 December 5, 2021 - 12:00 JSTWorld's Edge Crazy Raccoon Good 8 Squad RIG North","Round 2 Round 2 December 5, 2021 - 12:35 JSTWorld's Edge Pro Gaming team Selector Riddle ORTHROS FANG","Round 2 Round 2 December 5, 2021 - 12:35 JSTWorld's Edge Pro Gaming team Selector Riddle ORTHROS FANG","Round 3 Round 3 December 5, 2021 - 13:10 JSTWorld's Edge Riddle Crazy Raccoon Meteor","Round 3 Round 3 December 5, 2021 - 13:10 JSTWorld's Edge Riddle Crazy Raccoon Meteor","Round 4 Round 4 December 5, 2021 - 13:45 JSTWorld's Edge Riddle V3 VEGA RIG North","Round 4 Round 4 December 5, 2021 - 13:45 JSTWorld's Edge Riddle V3 VEGA RIG North","Round 5 Round 5 December 5, 2021 - 14:20 JSTWorld's Edge Riddle 456 A2","Round 5 Round 5 December 5, 2021 - 14:20 JSTWorld's Edge Riddle 456 A2","Round 6 Round 6 December 5, 2021 - 14:55 JSTWorld's Edge United Crew γ Meteor FAV gaming","Round 6 Round 6 December 5, 2021 - 14:55 JSTWorld's Edge United Crew γ Meteor FAV gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RID,121,92,66,29,1313,112,1818,112,1616,112,1818,180,33
1,2.0,RIG-N,54,37,1212,82,11,63,33,37,55,121,33,45,55
2,3.0,CR,45,112,88,160,0,29,1111,131,0,141,0,160,33
3,4.0,UC,45,190,0,73,22,190,0,121,99,63,77,112,88
4,5.0,FAV,45,63,99,151,33,54,44,92,44,131,55,37,22
5,6.0,MTR,43,54,22,92,0,37,11,63,44,92,33,29,66
6,7.0,GTS,42,82,11,112,1010,200,0,160,0,54,22,54,77
7,8.0,V3,41,131,44,121,11,151,44,29,55,73,44,73,55
8,9.0,A2,35,160,0,131,0,170,0,45,55,37,77,82,88
9,10.0,456,30,180,44,111,0,73,66,190,0,29,77,190,0
10,11.0,AVA,28,141,11,45,55,45,22,73,33,82,0,151,0
11,12.0,ORF,25,45,33,37,44,141,0,180,11,180,0,141,33
12,13.0,FSV,24,111,11,54,1010,82,44,111,0,190,0,111,0
13,14.0,G8S,19,29,66,170,0,92,0,141,0,200,0,121,0
14,15.0,LAG,18,200,0,63,33,102,44,200,0,111,22,102,11
15,16.0,ENG,16,102,0,190,0,131,11,82,33,102,11,92,22
16,17.0,SYTH,16,170,0,141,0,111,0,54,22,45,0,63,0
17,18.0,FCD,14,73,11,102,0,160,22,102,33,151,0,200,0
18,19.0,BKMN,7,151,0,180,0,121,0,170,0,170,0,131,44
19,20.0,D4RK,5,121,0,200,22,180,0,151,11,160,0,170,0
