,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 24, 2021 - 12:00 JSTWorld's Edge 456 REJECT Meteor","Round 1 Round 1 October 24, 2021 - 12:00 JSTWorld's Edge 456 REJECT Meteor","Round 2 Round 2 October 24, 2021 - 12:35 JSTWorld's Edge BAKAGAKI A2 LEDIAN MAGICAL","Round 2 Round 2 October 24, 2021 - 12:35 JSTWorld's Edge BAKAGAKI A2 LEDIAN MAGICAL","Round 3 Round 3 October 24, 2021 - 13:10 JSTWorld's Edge REJECT FAV gaming Team ENIGMA","Round 3 Round 3 October 24, 2021 - 13:10 JSTWorld's Edge REJECT FAV gaming Team ENIGMA","Round 4 Round 4 October 24, 2021 - 13:45 JSTWorld's Edge BAKEMON 456 Crazy Raccoon","Round 4 Round 4 October 24, 2021 - 13:45 JSTWorld's Edge BAKEMON 456 Crazy Raccoon","Round 5 Round 5 October 24, 2021 - 14:20 JSTWorld's Edge Riddle United Crew γ Northeption","Round 5 Round 5 October 24, 2021 - 14:20 JSTWorld's Edge Riddle United Crew γ Northeption","Round 6 Round 6 October 24, 2021 - 14:55 JSTWorld's Edge FENNEL LEDIAN MAGICAL 456","Round 6 Round 6 October 24, 2021 - 14:55 JSTWorld's Edge FENNEL LEDIAN MAGICAL 456"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,456,63,112,1111,170,0,102,11,29,1010,200,11,37,1010
1,2.0,RC,54,29,77,131,11,112,1515,190,0,190,22,73,44
2,3.0,A2,50,63,77,29,1313,170,0,73,11,54,44,82,44
3,4.0,FL,46,111,22,151,22,73,44,141,44,92,44,112,1010
4,5.0,RID,46,141,22,54,0,121,0,45,44,112,99,92,66
5,6.0,CR,38,92,0,180,22,54,1010,37,55,121,22,131,44
6,7.0,UC,37,160,11,63,22,180,0,63,44,29,1010,54,11
7,8.0,BKMN,37,151,11,73,33,82,11,112,77,73,22,160,22
8,9.0,NTH,37,45,22,45,33,141,22,151,33,37,33,63,22
9,10.0,MTR,33,37,66,102,0,63,11,54,88,102,0,200,0
10,11.0,FAV,32,102,33,160,11,29,1111,111,22,141,22,180,0
11,12.0,BKGK,30,180,0,112,66,151,11,170,0,151,11,45,33
12,13.0,ENG,29,121,11,92,33,37,44,160,0,45,55,141,0
13,14.0,LDN,28,131,11,37,33,111,0,102,11,180,22,29,11
14,15.0,RPG,28,54,44,111,77,45,44,200,0,82,11,190,0
15,16.0,HE,22,82,55,190,0,160,33,82,11,63,33,102,11
16,17.0,TW,18,170,0,82,33,190,0,92,55,111,0,111,44
17,18.0,FSV,18,73,22,200,0,200,0,131,44,131,55,151,11
18,19.0,SG,12,200,0,141,22,92,0,121,33,170,0,170,33
19,20.0,Ace1,10,190,0,121,33,131,44,180,0,160,0,121,0
