,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 12:00 JSTWorld's Edge D4RK Esports Syth Gaming V3 VEGA","Round 1 Round 1 November 21, 2021 - 12:00 JSTWorld's Edge D4RK Esports Syth Gaming V3 VEGA","Round 2 Round 2 November 21, 2021 - 12:35 JSTWorld's Edge FENNEL AVALON Gaming D4RK Esports","Round 2 Round 2 November 21, 2021 - 12:35 JSTWorld's Edge FENNEL AVALON Gaming D4RK Esports","Round 3 Round 3 November 21, 2021 - 13:10 JSTWorld's Edge Sengoku Gaming BAKAGAKI AVALON Gaming","Round 3 Round 3 November 21, 2021 - 13:10 JSTWorld's Edge Sengoku Gaming BAKAGAKI AVALON Gaming","Round 4 Round 4 November 21, 2021 - 13:45 JSTWorld's Edge RIG North Hybrid Eclipse Syth Gaming","Round 4 Round 4 November 21, 2021 - 13:45 JSTWorld's Edge RIG North Hybrid Eclipse Syth Gaming","Round 5 Round 5 November 21, 2021 - 14:20 JSTWorld's Edge REJECT Hybrid Eclipse Sengoku Gaming","Round 5 Round 5 November 21, 2021 - 14:20 JSTWorld's Edge REJECT Hybrid Eclipse Sengoku Gaming","Round 6 Round 6 November 21, 2021 - 14:55 JSTWorld's Edge FENNEL TEQWING Lag Gaming","Round 6 Round 6 November 21, 2021 - 14:55 JSTWorld's Edge FENNEL TEQWING Lag Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,D4RK,59,112,1515,37,33,92,11,54,99,160,33,121,22
1,2.0,FL,59,180,0,112,1010,170,33,82,88,180,0,112,1212
2,3.0,RIG-N,59,54,55,102,44,45,33,112,77,45,1010,92,0
3,4.0,SG,48,73,22,200,0,112,66,200,0,37,88,45,55
4,5.0,RC,39,160,0,170,33,54,88,102,22,112,66,102,0
5,6.0,HE,37,151,0,190,0,111,33,29,44,29,22,54,44
6,7.0,LDN,35,45,99,45,66,121,33,180,0,82,11,82,11
7,8.0,AVA,34,63,44,29,88,37,11,141,0,190,0,160,11
8,9.0,SYTH,33,29,33,54,0,82,11,37,22,54,0,111,0
9,10.0,V3,32,37,44,160,11,151,22,131,0,73,55,141,77
10,11.0,BKGK,32,121,22,92,44,29,44,160,0,131,11,73,55
11,12.0,FCD,31,170,44,111,55,160,33,73,99,102,33,170,11
12,13.0,TW,26,102,0,151,11,180,0,111,66,170,0,29,66
13,14.0,GTS,22,111,0,63,0,63,66,63,0,151,33,151,11
14,15.0,ORF,21,92,33,82,22,102,99,170,0,200,0,131,0
15,16.0,LAG,21,190,33,141,0,200,0,121,22,111,11,37,55
16,17.0,G8S,20,200,0,180,0,190,0,45,44,63,55,63,0
17,18.0,NTH,16,82,11,73,66,131,0,190,0,92,11,180,0
18,19.0,Ace1,14,141,0,121,22,141,0,92,22,121,44,200,0
19,20.0,RPG,13,131,11,131,0,73,0,151,0,141,22,190,33
