,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 17, 2021 - 12:00 JSTWorld's Edge D4RK Esports RIG North Sengoku Gaming","Round 1 Round 1 October 17, 2021 - 12:00 JSTWorld's Edge D4RK Esports RIG North Sengoku Gaming","Round 2 Round 2 October 17, 2021 - 12:35 JSTWorld's Edge Fascination Colors Destroy RIG North Sengoku Gaming","Round 2 Round 2 October 17, 2021 - 12:35 JSTWorld's Edge Fascination Colors Destroy RIG North Sengoku Gaming","Round 3 Round 3 October 17, 2021 - 13:10 JSTWorld's Edge BAKAGAKI Sengoku Gaming Pro Gaming team Selector","Round 3 Round 3 October 17, 2021 - 13:10 JSTWorld's Edge BAKAGAKI Sengoku Gaming Pro Gaming team Selector","Round 4 Round 4 October 17, 2021 - 13:45 JSTWorld's Edge BAKAGAKI Syth Gaming D4RK Esports","Round 4 Round 4 October 17, 2021 - 13:45 JSTWorld's Edge BAKAGAKI Syth Gaming D4RK Esports","Round 5 Round 5 October 17, 2021 - 14:20 JSTWorld's Edge V3 VEGA Radical Pop Gaming Lag Gaming","Round 5 Round 5 October 17, 2021 - 14:20 JSTWorld's Edge V3 VEGA Radical Pop Gaming Lag Gaming","Round 6 Round 6 October 17, 2021 - 14:55 JSTWorld's Edge V3 VEGA BAKAGAKI RIG North","Round 6 Round 6 October 17, 2021 - 14:55 JSTWorld's Edge V3 VEGA BAKAGAKI RIG North"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BKGK,72,14,3,6,3,1,10,1,11,16,3,2,5
1,2.0,V3,66,12,4,11,3,16,3,10,8,1,12,1,8
2,3.0,RIG-N,58,2,6,2,13,14,3,14,0,6,2,3,4
3,4.0,FCD,53,17,0,1,13,4,10,18,3,19,0,5,6
4,5.0,D4RK,42,1,10,8,3,20,0,3,6,12,0,15,0
5,6.0,RPG,41,16,0,4,1,7,3,5,5,2,2,11,8
6,7.0,SG,40,3,4,3,0,2,5,9,0,8,1,8,1
7,8.0,GTS,35,19,0,9,2,3,4,15,0,7,10,10,4
8,9.0,LAG,33,11,1,7,6,6,3,19,0,3,2,6,4
9,10.0,TW,27,6,6,13,0,5,2,4,3,11,2,20,0
10,11.0,HE,26,4,3,5,3,13,0,7,3,18,0,9,2
11,12.0,ORF,23,7,1,15,0,12,0,12,3,5,5,12,3
12,13.0,RC,22,5,6,15,0,17,1,11,5,17,3,18,1
13,14.0,FL,22,20,0,17,3,15,1,16,2,10,4,4,4
14,15.0,LDN,22,8,6,10,3,9,1,13,0,14,0,7,1
15,16.0,G8S,19,15,3,12,3,18,1,20,2,9,3,16,3
16,17.0,AVA,17,9,0,18,0,19,3,17,0,4,5,14,1
17,18.0,SYTH,17,18,0,19,0,10,0,2,3,13,0,17,2
18,19.0,Ace1,16,10,3,20,0,11,3,6,4,20,0,19,0
19,20.0,NTH,11,13,0,16,0,8,0,8,2,15,1,13,1
