Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,GEMI,68,4,5,2,13,5,6,11,2,10,6,3,8
2.0,STY,67,13,2,10,9,10,7,1,13,5,12,10,1
3.0,KZG,66,12,2,12,2,1,13,10,6,1,15,19,0
4.0,N1A,65,3,8,4,3,4,8,8,8,19,3,4,11
5.0,N2H,55,7,3,1,6,6,4,15,3,2,4,9,5
6.0,JDT,43,2,4,8,3,8,1,5,7,3,3,11,0
7.0,LFTSF,40,1,13,17,4,9,1,16,0,8,1,6,2
8.0,TU,39,19,0,3,0,3,5,2,4,7,0,8,2
9.0,SYTH,28,16,0,20,0,17,1,17,0,4,4,1,6
10.0,CRW,24,10,0,19,0,14,0,9,1,14,0,2,8
11.0,NT,23,11,3,16,0,7,4,19,0,9,3,5,3
12.0,VEX,22,18,0,13,0,2,3,4,4,18,0,17,0
13.0,ICHC,20,8,6,6,3,20,0,12,1,13,0,18,3
14.0,Streamer,20,14,2,11,0,12,3,6,3,16,0,15,5
15.0,NEMO,20,5,0,18,0,16,0,3,2,6,0,7,1
16.0,HGC,18,6,5,9,1,11,1,18,0,15,3,13,0
17.0,ORC,14,9,1,15,0,13,1,7,2,11,2,16,0
18.0,ETOLS,14,15,0,5,5,15,0,13,0,12,0,12,0
19.0,NVS,8,17,0,7,3,18,0,14,0,17,0,14,0
20.0,FAFAFA,6,20,0,14,5,19,0,20,0,20,0,20,0
