,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 12, 2022 - 12:00 JSTStorm Point Syth Gaming HGC KIZUNA GAMING","Round 1 Round 1 March 12, 2022 - 12:00 JSTStorm Point Syth Gaming HGC KIZUNA GAMING","Round 2 Round 2 March 12, 2022 - 12:30 JSTStorm Point KIZUNA GAMING Jadeite EVA:e","Round 2 Round 2 March 12, 2022 - 12:30 JSTStorm Point KIZUNA GAMING Jadeite EVA:e","Round 3 Round 3 March 12, 2022 - 13:00 JSTWorld's Edge Lust for Light Gaming Snow KIZUNA GAMING Team Nemophila","Round 3 Round 3 March 12, 2022 - 13:00 JSTWorld's Edge Lust for Light Gaming Snow KIZUNA GAMING Team Nemophila","Round 4 Round 4 March 12, 2022 - 13:30 JSTWorld's Edge Syth Gaming Jadeite Miyaman","Round 4 Round 4 March 12, 2022 - 13:30 JSTWorld's Edge Syth Gaming Jadeite Miyaman"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,KZG,65,3,3,1,13,2,9,5,8
1,2.0,SYTH,52,1,6,5,6,5,1,1,7
2,3.0,MIYAM,35,5,3,7,3,4,5,3,5
3,4.0,JDT,34,12,1,2,4,11,0,2,9
4,5.0,FAFAFA,29,11,9,10,8,9,6,13,0
5,6.0,LLGS,28,6,6,11,0,1,4,8,0
6,7.0,HGC,27,2,7,13,0,10,3,9,3
7,8.0,NEMO,25,9,2,4,3,3,1,4,0
8,9.0,YNI,19,4,2,12,0,8,7,11,1
9,10.0,IGG,16,10,0,8,3,7,2,10,2
10,11.0,DELL,14,13,0,6,1,6,2,7,1
11,12.0,EVA:E,14,7,0,3,2,14,0,12,0
12,13.0,3BK,13,8,3,14,0,12,1,6,2
13,14.0,REVO,5,14,0,9,0,13,0,14,0
