,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 19, 2022 - 14:00 JSTStorm Point Etoiles GEMINI BeastMode","Round 1 Round 1 March 19, 2022 - 14:00 JSTStorm Point Etoiles GEMINI BeastMode","Round 2 Round 2 March 19, 2022 - 14:30 JSTStorm Point Syth Gaming BeastMode TeamUnfair","Round 2 Round 2 March 19, 2022 - 14:30 JSTStorm Point Syth Gaming BeastMode TeamUnfair","Round 3 Round 3 March 19, 2022 - 15:00 JSTStorm Point HGC ALTAIR RUDENS Esports","Round 3 Round 3 March 19, 2022 - 15:00 JSTStorm Point HGC ALTAIR RUDENS Esports","Round 4 Round 4 March 19, 2022 - 15:30 JSTWorld's Edge HGC Orange Curacao Lust for Light Gaming Snow","Round 4 Round 4 March 19, 2022 - 15:30 JSTWorld's Edge HGC Orange Curacao Lust for Light Gaming Snow","Round 5 Round 5 March 19, 2022 - 16:00 JSTWorld's Edge Team Nature Syth Gaming RUDENS Esports","Round 5 Round 5 March 19, 2022 - 16:00 JSTWorld's Edge Team Nature Syth Gaming RUDENS Esports","Round 6 Round 6 March 19, 2022 - 16:30 JSTWorld's Edge EVA:e GEMINI Victoria Execution","Round 6 Round 6 March 19, 2022 - 16:30 JSTWorld's Edge EVA:e GEMINI Victoria Execution"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,HGC,71,10,8,14,5,1,13,1,13,4,0,19,0
1,2.0,SYTH,50,16,0,1,10,9,1,5,4,2,7,14,0
2,3.0,BeastMode,45,3,5,2,8,6,5,15,2,11,4,18,0
3,4.0,NAT,43,15,0,11,3,7,2,4,3,1,8,5,1
4,5.0,EVA:E,42,14,0,13,1,12,0,9,0,5,8,1,12
5,6.0,RDNS,42,6,0,6,4,3,5,16,1,3,8,12,3
6,7.0,GEMI,42,2,9,19,0,5,4,13,0,12,0,2,5
7,8.0,VEX,39,5,7,4,3,19,0,14,0,7,5,3,4
8,9.0,VS,37,4,7,17,1,11,4,6,7,19,0,7,6
9,10.0,ETOLS,37,1,7,7,3,18,0,8,0,9,3,10,3
10,11.0,LLGS,35,7,10,16,0,8,4,3,2,13,0,6,3
11,12.0,N2H,34,11,2,8,0,4,5,7,8,16,1,4,2
12,13.0,ALT,27,12,0,10,3,2,3,12,0,17,3,11,4
13,14.0,OC,24,18,0,12,0,10,1,2,9,14,0,17,1
14,15.0,NES,23,8,1,5,7,14,0,11,3,15,1,13,1
15,16.0,DCS,18,9,1,9,2,13,0,17,1,10,0,15,6
16,17.0,TU,16,19,0,3,2,16,0,19,0,8,0,9,3
17,18.0,REVO,14,13,0,18,0,17,0,10,1,6,4,8,1
18,19.0,GEKI,9,17,1,15,0,15,5,18,1,18,0,16,0
19,20.0,BMY,0,0,0,0,0,0,0,0,0,0,0,0,0
