Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,GEMI,66,5,6,4,3,1,7,1,17,Lobby 1
2.0,REVO,54,4,1,1,5,2,13,7,6,Lobby 1
3.0,O2,47,1,10,8,4,3,1,2,2,Lobby 1
4.0,2ND,30,12,1,2,8,9,3,4,1,Lobby 1
5.0,ORC,26,3,5,7,0,10,0,3,2,Lobby 1
6.0,Oasis,22,6,3,6,8,7,1,13,0,Lobby 1
7.0,EVA:E,20,10,0,5,3,8,2,6,4,Lobby 1
8.0,Streamer,19,2,3,11,0,6,1,11,1,Lobby 1
9.0,WG,19,8,0,3,3,5,1,10,0,Lobby 1
10.0,LFTSF,16,9,1,12,0,4,1,5,2,Lobby 1
11.0,JDT,15,13,0,9,3,11,4,8,2,Lobby 1
12.0,BeastMode,13,7,5,10,0,13,0,9,0,Lobby 1
13.0,WW,4,11,0,13,0,12,0,12,0,Lobby 1
1.0,HITBOX,51,4,2,2,6,7,1,1,13,Lobby 2
2.0,DON,36,9,0,1,7,11,0,3,7,Lobby 2
3.0,EGJP,33,3,1,5,1,1,7,12,0,Lobby 2
4.0,Zenith,31,12,0,3,7,4,6,6,2,Lobby 2
5.0,ICHC,30,1,10,11,0,12,0,7,3,Lobby 2
6.0,SYTH,30,7,3,7,3,2,7,8,0,Lobby 2
7.0,AGND,27,2,4,9,2,5,0,4,1,Lobby 2
8.0,NAT,23,6,4,8,4,8,3,5,1,Lobby 2
9.0,LLGS,23,10,1,4,0,10,0,2,4,Lobby 2
10.0,ALT,22,5,5,10,2,9,3,9,2,Lobby 2
11.0,OC,17,11,0,6,2,3,3,11,0,Lobby 2
12.0,VS,14,8,3,12,0,6,3,10,0,Lobby 2
1.0,KWZ,52,11,0,2,11,2,15,9,5,Lobby 3
2.0,N2H,41,8,0,8,3,1,9,3,6,Lobby 3
3.0,NVS,35,2,3,3,3,9,3,5,4,Lobby 3
4.0,AXIZ,35,6,5,4,2,7,1,1,4,Lobby 3
5.0,HGC,33,7,0,1,6,4,1,6,3,Lobby 3
6.0,TXG,30,1,11,9,3,11,0,12,0,Lobby 3
7.0,ETOLS,29,5,3,11,0,5,2,2,6,Lobby 3
8.0,N1A,23,9,5,6,2,10,3,7,3,Lobby 3
9.0,GEKI,19,3,2,10,0,3,0,13,0,Lobby 3
10.0,RGS,17,4,2,5,2,8,1,11,0,Lobby 3
11.0,CRW,16,13,0,7,6,13,0,8,3,Lobby 3
12.0,VEX,15,10,4,12,0,6,3,10,0,Lobby 3
13.0,ScL,10,12,0,13,0,12,0,4,2,Lobby 3
1.0,NES,65,7,3,1,13,4,6,1,11,Lobby 4
2.0,VMJ,48,5,5,12,0,2,12,2,8,Lobby 4
3.0,Trinity,38,1,2,7,1,1,4,6,1,Lobby 4
4.0,RDNS,32,9,0,3,5,8,2,3,7,Lobby 4
5.0,MIYAM,30,3,6,2,3,12,0,11,3,Lobby 4
6.0,NT,26,2,5,6,0,9,0,8,5,Lobby 4
7.0,KZG,21,4,3,13,0,3,1,5,0,Lobby 4
8.0,STY,18,8,9,8,2,13,0,10,0,Lobby 4
9.0,FAFAFA,18,10,0,5,6,10,2,9,0,Lobby 4
10.0,NEMO,18,6,0,4,2,6,0,4,0,Lobby 4
11.0,PGM,17,11,0,11,2,5,6,7,0,Lobby 4
12.0,NLG,7,12,0,10,0,7,0,13,0,Lobby 4
13.0,ART-G,6,13,0,9,1,11,0,12,0,Lobby 4
