,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 9, 2022 - 12:00 JSTWorld's Edge Ichariba Chode Miyaman Versus","Round 1 Round 1 April 9, 2022 - 12:00 JSTWorld's Edge Ichariba Chode Miyaman Versus","Round 2 Round 2 April 9, 2022 - 12:30 JSTWorld's Edge Versus NEVIS RUDENS Esports","Round 2 Round 2 April 9, 2022 - 12:30 JSTWorld's Edge Versus NEVIS RUDENS Esports","Round 3 Round 3 April 9, 2022 - 13:00 JSTStorm Point NEVIS RUDENS Esports GamingTeam Revo","Round 3 Round 3 April 9, 2022 - 13:00 JSTStorm Point NEVIS RUDENS Esports GamingTeam Revo","Round 4 Round 4 April 9, 2022 - 13:30 JSTStorm Point Versus Lust for Light Gaming Snow TeamUnfair","Round 4 Round 4 April 9, 2022 - 13:30 JSTStorm Point Versus Lust for Light Gaming Snow TeamUnfair"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,VS,63,3,5,1,9,10,4,1,12
1,2.0,RDNS,43,4,4,3,8,2,8,8,0
2,3.0,LLGS,40,6,4,5,4,5,4,2,8
3,4.0,NVS,37,14,0,2,3,1,8,11,3
4,5.0,ICHC,36,1,9,6,6,8,1,7,0
5,6.0,OP,33,5,3,10,3,9,4,4,10
6,7.0,MIYAM,28,2,6,14,0,12,5,5,2
7,8.0,REVO,24,10,2,7,5,3,4,14,0
8,9.0,TU,18,9,1,15,0,6,2,3,2
9,10.0,KZG,13,8,2,4,2,11,0,15,0
10,11.0,Trinity,12,15,0,9,1,4,0,6,0
11,12.0,OC,11,12,2,13,2,14,0,9,2
12,13.0,EVL Curse,10,7,1,12,1,7,0,13,0
13,14.0,TVN,8,13,0,8,0,13,0,10,2
14,15.0,TMB,5,11,1,11,0,15,0,12,0
