A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,LAG,62,1,8,20,0,1,8,2,6,8,1,11,3
2.0,αD,57,15,5,18,6,10,1,5,3,4,0,1,18
3.0,NTH,53,2,8,7,0,20,0,10,0,1,12,4,2
4.0,DTN,47,3,11,1,10,19,3,18,1,15,0,9,0
5.0,FL,40,9,3,14,1,14,0,14,1,2,8,6,10
6.0,ORF,38,16,1,17,4,7,5,1,6,9,1,5,0
7.0,IGZ,36,14,1,6,2,2,10,20,0,5,6,19,0
8.0,V3,35,12,1,16,0,18,2,6,10,3,7,7,1
9.0,FCD,33,8,8,19,0,12,6,17,3,16,3,8,8
10.0,CR,31,20,0,4,8,6,5,7,6,19,0,14,0
11.0,DAI,31,6,3,8,7,15,2,4,2,12,3,12,1
12.0,FSV,29,11,2,13,2,17,0,11,5,17,3,3,7
13.0,GTS,28,10,0,12,0,8,8,13,4,10,6,13,1
14.0,FAV,28,13,2,11,3,3,3,9,0,6,4,10,0
15.0,CAG,27,5,2,3,0,9,2,3,2,11,0,17,0
16.0,USG,27,4,0,2,6,5,0,8,0,14,0,18,0
17.0,RZ,23,19,1,5,1,16,0,12,2,18,0,2,5
18.0,FLCO,14,7,3,9,4,11,1,16,0,20,0,20,0
19.0,REAH,14,17,0,10,1,13,4,19,0,7,2,15,0
20.0,YOG,12,18,0,15,2,4,0,15,0,13,2,16,0
