A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,αDR,96,3,2,1,15,9,1,1,6,1,7,1,8
2.0,RIG-N,64,1,10,3,4,3,3,18,2,7,1,3,8
3.0,FSV,52,15,0,16,2,1,12,8,7,16,1,4,10
4.0,FCD,41,19,1,13,2,8,9,5,15,19,0,7,4
5.0,RC,39,17,3,7,0,20,2,10,0,7,6,2,11
6.0,UC,39,9,3,14,1,12,0,2,3,2,10,16,0
7.0,LAG,38,6,1,2,1,15,0,3,5,13,2,6,5
8.0,RPG,38,2,3,15,7,4,1,6,0,3,2,20,0
9.0,FAK,37,8,13,10,5,11,5,14,0,20,0,5,4
10.0,REAH,34,12,1,6,4,2,5,16,2,5,4,13,0
11.0,GTS,28,5,10,12,3,17,0,19,0,8,7,18,1
12.0,RXC,27,16,1,9,3,19,2,13,3,9,10,8,1
13.0,LFTW,24,10,1,11,1,5,2,11,1,4,1,9,3
14.0,UNI,23,4,0,20,0,6,3,4,5,10,0,19,0
15.0,DAI,22,13,0,5,5,7,7,17,0,14,0,15,0
16.0,YOG,20,14,0,4,0,13,1,9,6,15,3,17,0
17.0,ORF,16,11,6,18,0,14,1,7,1,12,0,10,0
18.0,FAV,12,7,4,17,0,18,0,12,0,18,0,11,3
19.0,LDN,12,20,0,8,3,10,1,20,0,17,3,14,0
20.0,AVA,6,18,0,19,0,16,1,15,0,11,0,12,2
