,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 12, 2022 - 15:00 JSTStorm Point Lag Gaming NORTHEPTION DeToNator","Round 1 Round 1 March 12, 2022 - 15:00 JSTStorm Point Lag Gaming NORTHEPTION DeToNator","Round 2 Round 2 March 12, 2022 - 15:30 JSTStorm Point DeToNator Donuts Unsold Stuff Gaming CYCLOPS athlete gaming","Round 2 Round 2 March 12, 2022 - 15:30 JSTStorm Point DeToNator Donuts Unsold Stuff Gaming CYCLOPS athlete gaming","Round 3 Round 3 March 12, 2022 - 16:00 JSTStorm Point Lag Gaming IGZIST FAV gaming","Round 3 Round 3 March 12, 2022 - 16:00 JSTStorm Point Lag Gaming IGZIST FAV gaming","Round 4 Round 4 March 12, 2022 - 16:30 JSTWorld's Edge ORTHROS FANG Lag Gaming CYCLOPS athlete gaming","Round 4 Round 4 March 12, 2022 - 16:30 JSTWorld's Edge ORTHROS FANG Lag Gaming CYCLOPS athlete gaming","Round 5 Round 5 March 12, 2022 - 17:00 JSTWorld's Edge NORTHEPTION FENNEL V3 VEGA","Round 5 Round 5 March 12, 2022 - 17:00 JSTWorld's Edge NORTHEPTION FENNEL V3 VEGA","Round 6 Round 6 March 12, 2022 - 17:30 JSTWorld's Edge esports team αD Ravens Zero FOR7","Round 6 Round 6 March 12, 2022 - 17:30 JSTWorld's Edge esports team αD Ravens Zero FOR7"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,LAG,62,1,8,20,0,1,8,2,6,8,1,11,3
1,2.0,αD,57,15,5,18,6,10,1,5,3,4,0,1,18
2,3.0,NTH,53,2,8,7,0,20,0,10,0,1,12,4,2
3,4.0,DTN,47,3,11,1,10,19,3,18,1,15,0,9,0
4,5.0,FL,40,9,3,14,1,14,0,14,1,2,8,6,10
5,6.0,ORF,38,16,1,17,4,7,5,1,6,9,1,5,0
6,7.0,IGZ,36,14,1,6,2,2,10,20,0,5,6,19,0
7,8.0,V3,35,12,1,16,0,18,2,6,10,3,7,7,1
8,9.0,FCD,33,8,8,19,0,12,6,17,3,16,3,8,8
9,10.0,CR,31,20,0,4,8,6,5,7,6,19,0,14,0
10,11.0,DAI,31,6,3,8,7,15,2,4,2,12,3,12,1
11,12.0,FSV,29,11,2,13,2,17,0,11,5,17,3,3,7
12,13.0,GTS,28,10,0,12,0,8,8,13,4,10,6,13,1
13,14.0,FAV,28,13,2,11,3,3,3,9,0,6,4,10,0
14,15.0,CAG,27,5,2,3,0,9,2,3,2,11,0,17,0
15,16.0,USG,27,4,0,2,6,5,0,8,0,14,0,18,0
16,17.0,RZ,23,19,1,5,1,16,0,12,2,18,0,2,5
17,18.0,FLCO,14,7,3,9,4,11,1,16,0,20,0,20,0
18,19.0,REAH,14,17,0,10,1,13,4,19,0,7,2,15,0
19,20.0,YOG,12,18,0,15,2,4,0,15,0,13,2,16,0
