Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
1.0,N2H,80,8,5,1,16,2,11,2,16,Lobby 1,Quarterfinals,,,,,Split_2
2.0,ICHC,41,2,4,2,6,13,0,3,5,Lobby 1,Quarterfinals,,,,,Split_2
3.0,ALT,34,7,6,11,0,9,2,1,8,Lobby 1,Quarterfinals,,,,,Split_2
4.0,ORC,34,1,9,13,1,5,4,6,0,Lobby 1,Quarterfinals,,,,,Split_2
5.0,RAID,27,3,3,6,3,11,3,7,4,Lobby 1,Quarterfinals,,,,,Split_2
6.0,DON,27,10,0,4,2,1,5,13,0,Lobby 1,Quarterfinals,,,,,Split_2
7.0,AXIZ,21,9,1,10,1,3,6,8,0,Lobby 1,Quarterfinals,,,,,Split_2
8.0,O2,19,12,0,3,3,12,0,4,2,Lobby 1,Quarterfinals,,,,,Split_2
9.0,ETOLS,17,4,3,5,1,6,0,12,0,Lobby 1,Quarterfinals,,,,,Split_2
10.0,OC,13,11,0,7,2,7,0,5,0,Lobby 1,Quarterfinals,,,,,Split_2
11.0,NoK,12,6,1,8,1,8,1,9,0,Lobby 1,Quarterfinals,,,,,Split_2
12.0,SBI,11,13,0,9,0,4,1,10,0,Lobby 1,Quarterfinals,,,,,Split_2
13.0,EGJP,10,5,1,12,0,10,1,11,0,Lobby 1,Quarterfinals,,,,,Split_2
1.0,KZG,65,3,3,1,13,2,9,5,8,Lobby 2,Quarterfinals,,,,,Split_2
2.0,SYTH,52,1,6,5,6,5,1,1,7,Lobby 2,Quarterfinals,,,,,Split_2
3.0,MIYAM,35,5,3,7,3,4,5,3,5,Lobby 2,Quarterfinals,,,,,Split_2
4.0,JDT,34,12,1,2,4,11,0,2,9,Lobby 2,Quarterfinals,,,,,Split_2
5.0,FAFAFA,29,11,9,10,8,9,6,13,0,Lobby 2,Quarterfinals,,,,,Split_2
6.0,LLGS,28,6,6,11,0,1,4,8,0,Lobby 2,Quarterfinals,,,,,Split_2
7.0,HGC,27,2,7,13,0,10,3,9,3,Lobby 2,Quarterfinals,,,,,Split_2
8.0,NEMO,25,9,2,4,3,3,1,4,0,Lobby 2,Quarterfinals,,,,,Split_2
9.0,YNI,19,4,2,12,0,8,7,11,1,Lobby 2,Quarterfinals,,,,,Split_2
10.0,IGG,16,10,0,8,3,7,2,10,2,Lobby 2,Quarterfinals,,,,,Split_2
11.0,DELL,14,13,0,6,1,6,2,7,1,Lobby 2,Quarterfinals,,,,,Split_2
12.0,EVA:E,14,7,0,3,2,14,0,12,0,Lobby 2,Quarterfinals,,,,,Split_2
13.0,3BK,13,8,3,14,0,12,1,6,2,Lobby 2,Quarterfinals,,,,,Split_2
14.0,REVO,5,14,0,9,0,13,0,14,0,Lobby 2,Quarterfinals,,,,,Split_2
1.0,CRW,44,7,5,1,12,2,3,0,0,Lobby 3,Quarterfinals,,,,,Split_2
2.0,DSG,37,13,1,13,0,1,22,0,0,Lobby 3,Quarterfinals,,,,,Split_2
3.0,Streamer,32,1,6,2,3,8,0,0,0,Lobby 3,Quarterfinals,,,,,Split_2
4.0,AGND,29,2,3,3,4,4,1,0,0,Lobby 3,Quarterfinals,,,,,Split_2
5.0,VS,25,10,5,5,10,9,2,0,0,Lobby 3,Quarterfinals,,,,,Split_2
6.0,N1A,24,3,5,7,3,5,2,0,0,Lobby 3,Quarterfinals,,,,,Split_2
7.0,VMJ,14,4,2,9,0,6,2,0,0,Lobby 3,Quarterfinals,,,,,Split_2
