,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 16, 2022 - 12:00 SGTStorm Point YiTuoshi JustEasyTeam Hakatsukasa","Round 1 Round 1 April 16, 2022 - 12:00 SGTStorm Point YiTuoshi JustEasyTeam Hakatsukasa","Round 2 Round 2 April 16, 2022 - 12:35 SGTStorm Point Horizon (Thai team) Arena Mains DNZ Young","Round 2 Round 2 April 16, 2022 - 12:35 SGTStorm Point Horizon (Thai team) Arena Mains DNZ Young","Round 3 Round 3 April 16, 2022 - 13:10 SGTStorm Point Avenger YiTuoshi OGL","Round 3 Round 3 April 16, 2022 - 13:10 SGTStorm Point Avenger YiTuoshi OGL","Round 4 Round 4 April 16, 2022 - 13:45 SGTWorld's Edge","Round 4 Round 4 April 16, 2022 - 13:45 SGTWorld's Edge","Round 5 Round 5 April 16, 2022 - 14:20 SGTWorld's Edge YiTuoshi Dynamite JustEasyTeam","Round 5 Round 5 April 16, 2022 - 14:20 SGTWorld's Edge YiTuoshi Dynamite JustEasyTeam","Round 6 Round 6 April 16, 2022 - 14:55 SGTWorld's EdgeMissing: DNZ.Young OGL JustEasyTeam","Round 6 Round 6 April 16, 2022 - 14:55 SGTWorld's EdgeMissing: DNZ.Young OGL JustEasyTeam"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,YTS,100,1,14,16,0,2,14,1,11,1,15,13,0
1,2.0,JET,65,2,1,12,3,7,2,3,11,3,5,3,9
2,3.0,DNZY,50,11,3,3,7,15,0,5,1,14,3,1,10
3,4.0,ARENA,49,14,0,2,2,9,3,2,11,7,3,5,2
4,5.0,Horizon,46,15,0,1,15,8,9,14,0,11,3,15,1
5,6.0,AVG,35,13,3,15,0,1,7,8,0,4,0,10,2
6,7.0,HAKA,33,3,4,8,0,6,3,13,1,8,6,14,3
7,8.0,Phantom,33,10,2,9,1,12,0,4,4,6,4,4,4
8,9.0,RYU,29,4,9,7,5,14,0,6,1,15,0,11,0
9,10.0,OGL,28,16,0,11,0,3,3,11,0,5,0,2,3
10,11.0,DRG,27,6,1,4,5,4,0,12,0,9,3,9,0
11,12.0,Lowkey,23,8,1,10,3,5,0,15,1,16,1,6,5
12,13.0,DYN,22,7,0,5,1,13,0,16,0,2,3,12,0
13,14.0,PWLS,19,5,4,6,2,16,1,7,1,13,0,16,0
14,15.0,ZeroTwo,18,12,0,13,0,11,5,10,1,10,0,8,3
15,16.0,Systematic,17,9,2,14,0,10,0,9,2,12,0,7,2
16,17.0,DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18.0,DESI,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,END2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
