Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,AVG,77,6,1,7,1,1,10,2,9,18,0,1,12,Finals
2.0,YTS,70,1,13,11,3,15,2,4,9,5,6,8,2,Finals
3.0,ZeroTwo,66,2,3,1,9,4,6,9,1,3,6,12,5,Finals
4.0,AIC WIBU,63,3,4,3,7,19,3,19,0,1,8,2,6,Finals
5.0,ARENA,51,5,2,2,9,2,9,18,0,11,1,17,0,Finals
6.0,RYU,41,13,0,4,1,10,2,1,14,14,0,13,0,Finals
7.0,JET,41,11,0,20,0,9,4,5,0,4,2,5,10,Finals
8.0,CHILL,39,4,5,17,0,8,1,14,2,2,9,14,4,Finals
9.0,Phantom,39,14,6,5,3,16,0,10,3,8,5,3,3,Finals
10.0,Horizon,33,8,0,6,8,5,5,8,0,15,0,10,0,Finals
11.0,Bots,29,12,3,8,1,6,5,20,0,17,0,4,9,Finals
12.0,HAKA,26,7,3,13,0,7,4,16,5,13,1,15,0,Finals
13.0,DRG,26,9,0,9,1,3,4,15,1,6,2,6,0,Finals
14.0,Systematic,22,10,9,19,0,13,1,12,0,19,1,7,4,Finals
15.0,KMF,20,15,1,16,0,14,2,7,5,10,3,19,2,Finals
16.0,DNZY,20,18,3,18,0,20,0,11,3,12,4,16,0,Finals
17.0,INX,18,19,0,10,1,11,0,3,2,9,3,20,0,Finals
18.0,OGL,16,16,1,14,3,17,0,13,0,7,5,11,0,Finals
19.0,MDYB,15,17,0,15,6,18,3,17,1,16,0,9,2,Finals
20.0,Sanity,10,20,0,12,3,12,0,6,2,20,0,18,0,Finals
1.0,MDYB,72,1,19,1,12,11,3,4,3,12,3,12,0,Losers_Bracket
2.0,DRG,68,5,5,2,5,4,2,1,6,2,10,13,0,Losers_Bracket
3.0,CHILL,53,12,0,6,6,2,3,2,4,8,0,4,11,Losers_Bracket
4.0,Sanity,43,9,1,5,6,6,1,12,0,5,3,1,6,Losers_Bracket
5.0,Bots,42,10,0,0,0,0,0,5,13,4,12,9,4,Losers_Bracket
6.0,Systematic,42,6,1,4,2,1,9,10,0,10,0,6,3,Losers_Bracket
7.0,ZeroTwo,35,7,0,12,0,5,4,7,1,1,6,11,0,Losers_Bracket
8.0,INX,33,8,1,10,0,10,0,13,0,3,3,2,6,Losers_Bracket
9.0,AIC WIBU,33,11,0,3,1,7,0,3,4,6,0,3,0,Losers_Bracket
10.0,KMF,30,4,4,11,0,9,6,6,3,13,0,7,2,Losers_Bracket
11.0,DYN,27,3,2,7,0,8,1,8,1,7,0,5,2,Losers_Bracket
12.0,Lowkey,27,2,2,9,0,3,3,11,0,11,0,8,0,Losers_Bracket
13.0,PWLS,10,13,0,8,0,12,0,9,0,9,0,10,0,Losers_Bracket
14.0,DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
15.0,DESI,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
16.0,END2,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
17.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
18.0,姐妹花,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
1.0,YTS,100,1,14,16,0,2,14,1,11,1,15,13,0,Winners_Bracket
2.0,JET,65,2,1,12,3,7,2,3,11,3,5,3,9,Winners_Bracket
3.0,DNZY,50,11,3,3,7,15,0,5,1,14,3,1,10,Winners_Bracket
4.0,ARENA,49,14,0,2,2,9,3,2,11,7,3,5,2,Winners_Bracket
5.0,Horizon,46,15,0,1,15,8,9,14,0,11,3,15,1,Winners_Bracket
6.0,AVG,35,13,3,15,0,1,7,8,0,4,0,10,2,Winners_Bracket
7.0,HAKA,33,3,4,8,0,6,3,13,1,8,6,14,3,Winners_Bracket
8.0,Phantom,33,10,2,9,1,12,0,4,4,6,4,4,4,Winners_Bracket
9.0,RYU,29,4,9,7,5,14,0,6,1,15,0,11,0,Winners_Bracket
10.0,OGL,28,16,0,11,0,3,3,11,0,5,0,2,3,Winners_Bracket
11.0,DRG,27,6,1,4,5,4,0,12,0,9,3,9,0,Winners_Bracket
12.0,Lowkey,23,8,1,10,3,5,0,15,1,16,1,6,5,Winners_Bracket
13.0,DYN,22,7,0,5,1,13,0,16,0,2,3,12,0,Winners_Bracket
14.0,PWLS,19,5,4,6,2,16,1,7,1,13,0,16,0,Winners_Bracket
15.0,ZeroTwo,18,12,0,13,0,11,5,10,1,10,0,8,3,Winners_Bracket
16.0,Systematic,17,9,2,14,0,10,0,9,2,12,0,7,2,Winners_Bracket
17.0,DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
18.0,DESI,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
19.0,END2,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
