Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,Legend
1.0,ATH,81.0,1.0,14.0,10.0,1.0,6.0,4.0,1.0,6.0,2.0,9.0,18.0,0.0,Finals,
2.0,EXO,73.0,5.0,12.0,3.0,10.0,5.0,3.0,7.0,9.0,3.0,5.0,5.0,1.0,Finals,
3.0,RNT,65.0,12.0,1.0,6.0,3.0,1.0,21.0,4.0,3.0,9.0,6.0,7.0,3.0,Finals,
4.0,BRP,58.0,4.0,0.0,20.0,0.0,3.0,4.0,11.0,4.0,18.0,0.0,2.0,23.0,Finals,
5.0,NXL,52.0,2.0,3.0,18.0,0.0,9.0,5.0,12.0,0.0,1.0,10.0,17.0,0.0,Finals,
6.0,DEWA,45.0,3.0,6.0,1.0,15.0,18.0,0.0,13.0,0.0,17.0,3.0,13.0,0.0,Finals,
7.0,DNZ,39.0,7.0,4.0,2.0,11.0,4.0,1.0,8.0,0.0,11.0,0.0,14.0,2.0,Finals,
8.0,ANT,34.0,6.0,0.0,8.0,6.0,20.0,0.0,5.0,11.0,10.0,4.0,9.0,0.0,Finals,
9.0,Horizon,32.0,15.0,0.0,17.0,0.0,16.0,3.0,9.0,11.0,4.0,5.0,8.0,3.0,Finals,
10.0,Antiaa,32.0,14.0,1.0,11.0,0.0,8.0,3.0,16.0,0.0,14.0,4.0,1.0,7.0,Finals,
11.0,ITR,31.0,20.0,0.0,9.0,2.0,12.0,0.0,3.0,7.0,7.0,5.0,15.0,2.0,Finals,
12.0,X10C,29.0,16.0,2.0,4.0,5.0,10.0,4.0,14.0,1.0,16.0,0.0,3.0,2.0,Finals,
13.0,PK,28.0,9.0,2.0,7.0,1.0,19.0,0.0,2.0,1.0,6.0,0.0,20.0,0.0,Finals,
14.0,DML,24.0,8.0,6.0,16.0,0.0,7.0,1.0,19.0,0.0,5.0,1.0,4.0,2.0,Finals,
15.0,NLN,23.0,17.0,3.0,15.0,0.0,14.0,3.0,15.0,1.0,8.0,3.0,12.0,1.0,Finals,
16.0,AVG,22.0,18.0,3.0,19.0,0.0,2.0,1.0,18.0,0.0,15.0,3.0,10.0,3.0,Finals,
17.0,SNG,22.0,13.0,2.0,13.0,3.0,15.0,0.0,10.0,2.0,12.0,1.0,6.0,2.0,Finals,
18.0,EMM,18.0,11.0,0.0,5.0,0.0,17.0,0.0,17.0,0.0,19.0,0.0,16.0,5.0,Finals,
19.0,AIC WIBU,14.0,19.0,1.0,14.0,2.0,13.0,2.0,6.0,0.0,13.0,0.0,11.0,2.0,Finals,
20.0,MON,6.0,10.0,0.0,12.0,0.0,11.0,2.0,20.0,0.0,20.0,0.0,19.0,0.0,Finals,
1.0,Phantom,81.0,7.0,0.0,1.0,16.0,10.0,0.0,2.0,11.0,4.0,0.0,2.0,14.0,Losers_Bracket,
2.0,Antiaa,61.0,1.0,8.0,9.0,2.0,1.0,15.0,12.0,1.0,5.0,1.0,13.0,2.0,Losers_Bracket,
3.0,AVG,56.0,12.0,2.0,12.0,1.0,9.0,9.0,10.0,5.0,1.0,15.0,5.0,2.0,Losers_Bracket,
4.0,RYU,50.0,3.0,3.0,6.0,1.0,2.0,2.0,7.0,1.0,7.0,1.0,1.0,5.0,Losers_Bracket,
5.0,WHIZ,38.0,10.0,3.0,11.0,0.0,3.0,1.0,1.0,10.0,14.0,0.0,15.0,0.0,Losers_Bracket,
6.0,MON,37.0,9.0,8.0,10.0,3.0,6.0,6.0,3.0,3.0,9.0,0.0,12.0,0.0,Losers_Bracket,
7.0,AIC WIBU,37.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,0.0,12.0,0.0,4.0,4.0,Losers_Bracket,
8.0,WGG,36.0,6.0,1.0,2.0,9.0,11.0,1.0,9.0,1.0,6.0,3.0,11.0,2.0,Losers_Bracket,
9.0,DEWA,36.0,5.0,6.0,14.0,0.0,5.0,2.0,13.0,3.0,2.0,3.0,7.0,0.0,Losers_Bracket,
10.0,CHILL,33.0,2.0,5.0,8.0,0.0,8.0,0.0,5.0,0.0,3.0,3.0,14.0,0.0,Losers_Bracket,
11.0,ARENA,32.0,13.0,0.0,3.0,9.0,15.0,1.0,6.0,6.0,15.0,0.0,8.0,1.0,Losers_Bracket,
12.0,MBTN,24.0,15.0,1.0,15.0,0.0,13.0,0.0,8.0,2.0,8.0,4.0,3.0,3.0,Losers_Bracket,
13.0,MYTH,19.0,11.0,0.0,13.0,0.0,7.0,0.0,15.0,0.0,11.0,3.0,6.0,6.0,Losers_Bracket,
14.0,ZeroTwo,19.0,8.0,3.0,7.0,0.0,14.0,2.0,14.0,0.0,13.0,3.0,9.0,1.0,Losers_Bracket,
15.0,DRG,13.0,14.0,0.0,5.0,0.0,12.0,0.0,11.0,0.0,10.0,2.0,10.0,0.0,Losers_Bracket,
16.0,Bots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,
17.0,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,
18.0,JET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,
19.0,OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,
20.0,YTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,
