Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Legend
1.0,AVG,77.0,6.0,1.0,7.0,1.0,1.0,10.0,2.0,9.0,18.0,0.0,1.0,12.0,Finals,Last_Chance_Qualifier_1,
2.0,YTS,70.0,1.0,13.0,11.0,3.0,15.0,2.0,4.0,9.0,5.0,6.0,8.0,2.0,Finals,Last_Chance_Qualifier_1,
3.0,ZeroTwo,66.0,2.0,3.0,1.0,9.0,4.0,6.0,9.0,1.0,3.0,6.0,12.0,5.0,Finals,Last_Chance_Qualifier_1,
4.0,AIC WIBU,63.0,3.0,4.0,3.0,7.0,19.0,3.0,19.0,0.0,1.0,8.0,2.0,6.0,Finals,Last_Chance_Qualifier_1,
5.0,ARENA,51.0,5.0,2.0,2.0,9.0,2.0,9.0,18.0,0.0,11.0,1.0,17.0,0.0,Finals,Last_Chance_Qualifier_1,
6.0,RYU,41.0,13.0,0.0,4.0,1.0,10.0,2.0,1.0,14.0,14.0,0.0,13.0,0.0,Finals,Last_Chance_Qualifier_1,
7.0,JET,41.0,11.0,0.0,20.0,0.0,9.0,4.0,5.0,0.0,4.0,2.0,5.0,10.0,Finals,Last_Chance_Qualifier_1,
8.0,CHILL,39.0,4.0,5.0,17.0,0.0,8.0,1.0,14.0,2.0,2.0,9.0,14.0,4.0,Finals,Last_Chance_Qualifier_1,
9.0,Phantom,39.0,14.0,6.0,5.0,3.0,16.0,0.0,10.0,3.0,8.0,5.0,3.0,3.0,Finals,Last_Chance_Qualifier_1,
10.0,Horizon,33.0,8.0,0.0,6.0,8.0,5.0,5.0,8.0,0.0,15.0,0.0,10.0,0.0,Finals,Last_Chance_Qualifier_1,
11.0,Bots,29.0,12.0,3.0,8.0,1.0,6.0,5.0,20.0,0.0,17.0,0.0,4.0,9.0,Finals,Last_Chance_Qualifier_1,
12.0,HAKA,26.0,7.0,3.0,13.0,0.0,7.0,4.0,16.0,5.0,13.0,1.0,15.0,0.0,Finals,Last_Chance_Qualifier_1,
13.0,DRG,26.0,9.0,0.0,9.0,1.0,3.0,4.0,15.0,1.0,6.0,2.0,6.0,0.0,Finals,Last_Chance_Qualifier_1,
14.0,Systematic,22.0,10.0,9.0,19.0,0.0,13.0,1.0,12.0,0.0,19.0,1.0,7.0,4.0,Finals,Last_Chance_Qualifier_1,
15.0,KMF,20.0,15.0,1.0,16.0,0.0,14.0,2.0,7.0,5.0,10.0,3.0,19.0,2.0,Finals,Last_Chance_Qualifier_1,
16.0,DNZY,20.0,18.0,3.0,18.0,0.0,20.0,0.0,11.0,3.0,12.0,4.0,16.0,0.0,Finals,Last_Chance_Qualifier_1,
