,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 12, 2021 - 12:00 SGTWorld's Edge Estrell SnG Reckless Lads XV","Round 1 Round 1 September 12, 2021 - 12:00 SGTWorld's Edge Estrell SnG Reckless Lads XV","Round 2 Round 2 September 12, 2021 - 12:35 SGTWorld's Edge Pavlova SnG XSpark","Round 2 Round 2 September 12, 2021 - 12:35 SGTWorld's Edge Pavlova SnG XSpark","Round 3 Round 3 September 12, 2021 - 13:10 SGTWorld's Edge Evolution BERZERKER Inferno Esport MBT.NAGA","Round 3 Round 3 September 12, 2021 - 13:10 SGTWorld's Edge Evolution BERZERKER Inferno Esport MBT.NAGA","Round 4 Round 4 September 12, 2021 - 13:45 SGTWorld's Edge Evolution BERZERKER XSpark Reckless Lads XV","Round 4 Round 4 September 12, 2021 - 13:45 SGTWorld's Edge Evolution BERZERKER XSpark Reckless Lads XV","Round 5 Round 5 September 12, 2021 - 14:20 SGTWorld's Edge Ogre 3 Golden Sage Estrell","Round 5 Round 5 September 12, 2021 - 14:20 SGTWorld's Edge Ogre 3 Golden Sage Estrell","Round 6 Round 6 September 12, 2021 - 14:55 SGTWorld's Edge Powerless Reckless Lads Genesis Ogre 3","Round 6 Round 6 September 12, 2021 - 14:55 SGTWorld's Edge Powerless Reckless Lads Genesis Ogre 3"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,O3,67,6,4,6,9,13,6,11,3,1,8,3,10
1,2.0,TX,66,11,3,3,6,4,5,2,12,4,11,14,1
2,3.0,GS,66,15,0,12,8,8,11,10,4,2,9,7,16
3,4.0,EVO BERZ,49,13,0,10,2,1,12,1,6,19,0,9,0
4,5.0,SNG,45,2,6,2,4,11,0,8,3,8,2,6,4
5,6.0,PWLS,44,19,0,4,9,17,0,9,6,16,0,1,10
6,7.0,Estrell,41,1,11,11,0,15,1,6,0,3,5,19,0
7,8.0,RL.XV,36,3,1,8,0,10,2,3,7,6,4,15,0
8,9.0,Pavlova,33,4,2,1,4,9,0,13,2,14,0,11,3
9,10.0,INF,29,14,0,13,2,2,5,7,0,9,2,12,3
10,11.0,On the Sticks,28,10,3,5,1,6,7,5,1,11,2,17,0
11,12.0,April,26,17,3,7,2,5,3,15,0,5,3,13,2
12,13.0,WGGxPK,23,12,3,14,4,16,0,4,3,17,0,4,1
13,14.0,RL.Genesis,23,9,3,18,0,7,0,19,0,10,1,2,3
14,15.0,WGG,22,5,12,9,2,19,1,17,0,18,1,18,0
15,16.0,MBTN,18,16,0,17,0,3,4,18,0,15,3,16,3
16,17.0,Antiaa,13,8,0,15,0,18,0,12,3,12,1,5,0
17,18.0,WHIZ,11,18,0,16,0,14,0,14,2,7,2,8,0
18,19.0,PG,8,7,1,19,0,12,0,16,0,13,0,10,0
19,20.0,Dimple Esport,0,0,0,0,0,0,0,0,0,0,0,0,0
