,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,O3,79,79
1,2.0,DYN,51,51
2,3.0,WGG,49,49
3,4.0,On the Sticks,35,35
4,5.0,RL.Genesis,33,33
5,6.0,AMG TW,32,32
6,7.0,Hardstuck D4,29,2
7,8.0,NonetWork,19,19
8,9.0,InfernoDSC,17,17
9,10.0,LittleMeow,13,13
10,11.0,Boink Gang,12,12
11,12.0,TooSoonParty,10,10
12,13.0,LAG,9,9
13,14.0,Team Lockdown,8,8
14,15.0,Multicultural,7,7
15,16.0,Astreaks Gaming,6,6
16,17.0,God's Geek Gang,6,6
17,18.0,R1,4,4
18,19.0,Triple Cobra,4,4
19,20.0,SmoothOperators,0,0
