,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 11, 2021 - 16:40 SGTWorld's Edge Dimple Esport WHIZ Pavlova","Round 1 Round 1 September 11, 2021 - 16:40 SGTWorld's Edge Dimple Esport WHIZ Pavlova","Round 2 Round 2 September 11, 2021 - 17:15 SGTWorld's Edge Powerless Pavlova WHIZ","Round 2 Round 2 September 11, 2021 - 17:15 SGTWorld's Edge Powerless Pavlova WHIZ","Round 3 Round 3 September 11, 2021 - 17:50 SGTWorld's Edge Powerless April uwuXuwu","Round 3 Round 3 September 11, 2021 - 17:50 SGTWorld's Edge Powerless April uwuXuwu","Round 4 Round 4 September 11, 2021 - 18:25 SGTWorld's Edge Golden Sage Estrell Reckless Lads XV","Round 4 Round 4 September 11, 2021 - 18:25 SGTWorld's Edge Golden Sage Estrell Reckless Lads XV","Round 5 Round 5 September 11, 2021 - 19:00 SGTWorld's Edge April RNG Dimple Esport","Round 5 Round 5 September 11, 2021 - 19:00 SGTWorld's Edge April RNG Dimple Esport","Round 6 Round 6 September 11, 2021 - 19:35 SGTWorld's Edge Reckless Lads XV We Are Trash Inferno Esport","Round 6 Round 6 September 11, 2021 - 19:35 SGTWorld's Edge Reckless Lads XV We Are Trash Inferno Esport"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GS,69,17,1,4,14,16,0,1,15,4,11,13,5
1,2.0,April,62,4,4,7,3,2,13,9,0,1,7,12,3
2,3.0,RL.XV,54,13,6,12,5,15,3,3,5,18,1,1,12
3,4.0,PWLS,51,8,3,1,5,1,8,7,1,5,0,15,0
4,5.0,WHIZ,44,2,5,3,8,8,8,17,4,12,0,18,0
5,6.0,SNG,43,6,7,10,9,10,0,10,0,7,3,4,7
6,7.0,Pavlova,43,3,5,2,1,4,5,12,3,11,3,10,1
7,8.0,INF,39,5,0,13,0,7,6,4,7,13,0,3,5
8,9.0,Dimple Esport,38,1,8,19,0,13,0,16,0,3,7,9,1
9,10.0,Estrell,34,7,1,20,0,9,0,2,11,10,0,5,2
10,11.0,uwuXuwu,34,10,2,5,3,3,9,5,1,9,0,16,0
11,12.0,WAT,29,12,4,11,0,18,0,14,0,8,4,2,7
12,13.0,RNG,26,20,0,6,2,14,1,15,0,2,5,11,3
13,14.0,AFxRP Skyrise,18,15,2,17,0,5,2,8,4,16,0,7,0
14,15.0,RebellioN,17,11,0,14,3,12,0,11,0,6,0,6,4
15,16.0,EVO.Supreme,13,14,0,9,0,19,0,19,1,15,7,14,0
16,17.0,DREAM,11,9,4,15,0,17,3,18,1,20,0,20,0
17,18.0,IFPD,10,16,0,16,0,6,1,6,3,19,0,17,0
18,19.0,hello nihao,5,18,0,18,0,20,0,20,0,14,0,8,2
19,20.0,Incorporated,4,19,0,8,0,11,0,13,0,17,0,20,0
