Standings,RL.XV,66,66.1,Lobby,GS,59,59.1,O3,79,79.1,TX,72,72.1,Round,Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5
2.0,April,60.0,60.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
3.0,SNG,55.0,55.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
4.0,PWLS,35.0,35.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
5.0,WHIZ,32.0,32.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
6.0,DREAM,27.0,27.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
7.0,IFPD,26.0,26.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
8.0,RebellioN,25.0,25.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
9.0,hello nihao,15.0,15.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
10.0,Incorporated,14.0,14.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
11.0,Ryze Empire HK,13.0,13.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
12.0,Team eXplicit,13.0,13.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
13.0,Vaczer Esport,12.0,12.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
14.0,SAINTS,7.0,7.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
15.0,madzJabol,6.0,6.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
16.0,EVO.Shadow,6.0,6.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
17.0,Conquerors,4.0,4.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
18.0,BOG,4.0,4.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
19.0,Team Psycho,3.0,3.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
20.0,JOKO,0.0,0.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
2.0,,,,Lobby 2,INF,50.0,50.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
3.0,,,,Lobby 2,WAT,47.0,47.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
4.0,,,,Lobby 2,EVOS,45.0,4.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
5.0,,,,Lobby 2,Estrell,34.0,34.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
6.0,,,,Lobby 2,uwuXuwu,24.0,24.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
7.0,,,,Lobby 2,AFxRP Skyrise,23.0,23.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
8.0,,,,Lobby 2,Dimple Esport,23.0,23.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
9.0,,,,Lobby 2,RNG,21.0,21.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,
