Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,WGG,71,2,11,11,5,2,11,3,9,6,5,13,0,Lobby 1
2.0,DNZ,66,12,2,9,7,5,4,1,16,11,7,5,6,Lobby 1
3.0,MDY,56,1,12,16,4,13,5,7,5,3,6,12,0,Lobby 1
4.0,TX,53,19,1,7,1,4,6,14,3,2,6,3,11,Lobby 1
5.0,GS,51,15,1,4,5,6,7,12,3,8,7,6,13,Lobby 1
6.0,WHIZ,44,6,3,1,11,15,1,11,1,13,3,8,5,Lobby 1
7.0,Warsoul Hammer,43,16,2,14,0,1,6,2,5,14,3,9,2,Lobby 1
8.0,PG,41,4,1,2,1,18,0,6,0,9,1,1,7,Lobby 1
9.0,DYN,39,5,3,19,0,3,3,4,2,15,0,2,5,Lobby 1
10.0,Pavlova,38,9,3,17,1,10,1,9,5,1,5,4,0,Lobby 1
11.0,SNG,29,10,2,3,5,9,3,10,2,19,0,10,2,Lobby 1
12.0,AMG TW,28,14,2,5,10,12,0,8,0,18,3,7,2,Lobby 1
13.0,Estrell,24,17,3,13,0,14,3,5,4,4,2,14,0,Lobby 1
14.0,PWLS,21,3,3,6,4,16,0,17,2,10,0,16,0,Lobby 1
15.0,WGGxPK,16,13,1,18,0,8,4,15,0,5,1,11,1,Lobby 1
16.0,MBTN,12,11,1,15,2,7,1,16,1,17,0,17,2,Lobby 1
17.0,April,11,7,3,10,0,17,0,13,0,12,1,18,0,Lobby 1
18.0,HeadHunters,7,8,0,8,1,11,0,18,0,16,0,15,0,Lobby 1
19.0,BTCxWGG,4,18,0,12,0,19,0,19,0,7,0,19,0,Lobby 1
20.0,NaresuanSniper,0,20,0,20,0,20,0,20,0,20,0,20,0,Lobby 1
