Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,TX,58,16,6,10,4,1,15,7,16,Lobby 1
2.0,April,56,3,18,1,15,17,0,8,2,Lobby 1
3.0,WAT,44,1,6,8,2,11,0,1,9,Lobby 1
4.0,IFPD,41,18,0,6,9,2,4,3,9,Lobby 1
5.0,StrawberryJam,32,2,8,14,0,9,2,2,1,Lobby 1
6.0,RL.IXiA,30,14,0,7,4,4,9,5,4,Lobby 1
7.0,INF,29,5,7,2,3,18,2,14,3,Lobby 1
8.0,NaresuanSniper,28,17,0,4,10,3,4,10,0,Lobby 1
9.0,Pavlova,24,7,0,9,3,5,3,4,4,Lobby 1
10.0,OGL,22,4,2,11,0,6,9,13,1,Lobby 1
11.0,SkarptSinne,17,12,0,3,0,10,1,6,3,Lobby 1
12.0,LAG,16,9,5,15,1,12,5,11,0,Lobby 1
13.0,Astreaks Gaming,9,6,0,5,1,13,0,18,0,Lobby 1
14.0,a搞耍小隊,8,8,2,20,1,19,0,16,3,Lobby 1
15.0,Fogyo City,7,13,1,12,1,7,0,20,0,Lobby 1
16.0,Losin Control,6,10,0,13,1,20,0,12,1,Lobby 1
17.0,JOKO,5,11,0,17,0,15,0,17,3,Lobby 1
18.0,TEAM MIRACLE,5,20,0,18,1,8,1,15,0,Lobby 1
19.0,FLRV,4,15,0,16,0,16,0,9,1,Lobby 1
20.0,Team Shinigami,2,19,0,19,0,14,1,19,0,Lobby 1
1.0,MDY,76,3,7,6,13,1,12,3,15,Lobby 2
2.0,MBTN,47,1,10,3,16,14,0,14,0,Lobby 2
3.0,4Thumbs1Arm,34,12,0,9,3,2,3,1,4,Lobby 2
4.0,HeadHunters,31,2,10,7,1,11,3,12,3,Lobby 2
5.0,60 Hurtz,30,9,4,1,2,4,1,10,2,Lobby 2
6.0,BOG,26,6,8,2,0,9,0,9,2,Lobby 2
7.0,SNG,23,7,3,5,4,6,6,17,0,Lobby 2
8.0,Warsoul Hammer,22,16,3,18,0,12,3,4,10,Lobby 2
9.0,RJININ,22,15,3,8,1,3,8,16,0,Lobby 2
10.0,NMLS,21,20,0,16,3,8,7,7,6,Lobby 2
11.0,PWLS,21,17,0,12,6,10,2,2,1,Lobby 2
12.0,EVOS,20,4,1,10,0,5,6,8,0,Lobby 2
13.0,Antiaa,15,13,1,4,1,15,1,5,1,Lobby 2
14.0,AU REVENGE,11,5,6,19,0,17,0,18,1,Lobby 2
15.0,RebellioN,9,11,0,11,3,18,0,11,3,Lobby 2
16.0,Kopi,8,10,0,15,1,13,0,6,0,Lobby 2
17.0,Elegants,6,8,0,20,0,7,0,13,0,Lobby 2
18.0,GOD OF DREAM,2,14,0,17,0,19,0,15,0,Lobby 2
19.0,NRD,1,18,0,13,0,16,0,20,0,Lobby 2
20.0,INF,1,19,0,14,0,20,0,20,0,Lobby 2
1.0,GS,70,2,15,19,0,1,18,3,9,Lobby 3
2.0,WGGxPK,57,1,11,1,7,2,6,16,0,Lobby 3
3.0,Multicultural,40,13,0,3,5,4,4,1,6,Lobby 3
4.0,DYN,36,4,4,2,9,11,4,8,2,Lobby 3
5.0,DSG,31,3,7,12,1,12,6,5,4,Lobby 3
6.0,QE.NY,25,7,5,8,9,18,0,12,5,Lobby 3
7.0,EVO.Shadow,20,8,4,17,2,10,0,9,8,Lobby 3
8.0,September,20,10,3,5,3,15,1,6,3,Lobby 3
9.0,PG,20,5,1,11,4,9,0,4,3,Lobby 3
10.0,Keep it 100,19,9,0,6,3,3,1,7,0,Lobby 3
11.0,South Cartel,18,12,0,16,0,6,1,2,4,Lobby 3
12.0,OC,16,19,0,18,0,7,8,15,4,Lobby 3
13.0,The Desi Boys,13,17,0,7,4,14,5,18,0,Lobby 3
14.0,DESI,12,15,2,15,0,8,1,10,3,Lobby 3
15.0,END,12,16,0,4,4,17,0,11,2,Lobby 3
16.0,IRATCHAIMAZE,10,6,3,10,1,16,0,19,1,Lobby 3
17.0,Nostalgic,8,11,0,14,0,5,1,14,0,Lobby 3
18.0,Easy AF!,7,14,0,9,3,19,0,13,0,Lobby 3
19.0,tXt,2,18,0,13,0,13,0,17,0,Lobby 3
20.0,RL.XV,0,20,0,20,0,20,0,20,0,Lobby 3
1.0,DNZ,50,3,5,9,6,8,8,2,11,Lobby 4
2.0,Estrell,48,7,4,2,9,2,3,3,4,Lobby 4
3.0,AMG TW,44,10,4,7,6,1,13,9,2,Lobby 4
4.0,WHIZ,42,6,6,1,9,12,7,14,3,Lobby 4
5.0,WGG,40,2,16,10,3,15,3,6,3,Lobby 4
6.0,DREAM,37,1,14,8,4,16,2,7,0,Lobby 4
7.0,Hardstuck D4,36,11,0,19,0,7,5,1,15,Lobby 4
8.0,BTCxWGG,22,5,0,15,3,10,0,4,7,Lobby 4
9.0,EVO BERZ,18,19,1,6,4,18,0,5,6,Lobby 4
10.0,SLK,17,9,0,5,3,6,0,8,3,Lobby 4
11.0,Teriyaki Boyz,17,16,0,3,1,4,2,10,0,Lobby 4
12.0,Quentiam,16,14,4,18,3,11,5,12,1,Lobby 4
13.0,Vaczer Esport,14,4,0,4,3,13,0,19,0,Lobby 4
14.0,Triple Threat OG,13,15,0,14,0,3,4,18,0,Lobby 4
15.0,Boink Gang,10,8,0,11,1,5,1,11,0,Lobby 4
16.0,Yang baca jelek,9,12,7,16,1,20,0,20,0,Lobby 4
17.0,Exusiai,6,13,0,12,0,9,1,13,0,Lobby 4
18.0,Team Psycho,2,17,0,13,1,19,0,16,0,Lobby 4
19.0,Happy To Be Here,1,20,0,20,0,14,0,17,0,Lobby 4
20.0,Rogue_One,1,18,0,17,0,17,0,15,0,Lobby 4
