,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 12:00 SGTWorld's Edge MBT.NAGA HeadHunters 4Thumbs1Arm","Round 1 Round 1 September 25, 2021 - 12:00 SGTWorld's Edge MBT.NAGA HeadHunters 4Thumbs1Arm","Round 2 Round 2 September 25, 2021 - 12:35 SGTWorld's Edge 4Thumbs1ArmMissing: mtb.naga HeadHunters","Round 2 Round 2 September 25, 2021 - 12:35 SGTWorld's Edge 4Thumbs1ArmMissing: mtb.naga HeadHunters","Round 3 Round 3 September 25, 2021 - 13:10 SGTWorld's Edge HeadHunters 4Thumbs1Arm The Kopi Clan","Round 3 Round 3 September 25, 2021 - 13:10 SGTWorld's Edge HeadHunters 4Thumbs1Arm The Kopi Clan","Round 4 Round 4 September 25, 2021 - 13:45 SGTWorld's EdgeMissing: mbt.aga Warsoul Hammer 60 Hurtz","Round 4 Round 4 September 25, 2021 - 13:45 SGTWorld's EdgeMissing: mbt.aga Warsoul Hammer 60 Hurtz"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,MBTN,78,112,1010,29,66,45,1313,112,1111
1,2.0,HeadHunters,53,29,66,37,99,112,99,131,0
2,3.0,4Thumbs1Arm,49,37,55,112,88,29,77,141,0
3,4.0,Warsoul Hammer,42,63,22,63,22,54,44,29,1515
4,5.0,60 Hurtz,22,45,0,45,11,111,0,37,33
5,6.0,PWLS,17,73,88,121,11,92,0,121,11
6,7.0,Kopi,17,54,0,102,0,37,0,111,33
7,8.0,RJININ,15,92,11,54,33,121,22,102,0
8,9.0,INF,14,82,0,73,44,102,0,73,0
9,10.0,Elegants,12,131,0,141,0,63,11,54,22
10,11.0,Conquerors,12,102,0,82,22,73,0,63,0
11,12.0,Informal Squad,9,121,22,111,0,82,11,82,0
12,13.0,GOB Valhalla,9,141,0,131,0,141,0,45,11
13,14.0,Speed,7,111,0,92,11,131,0,92,0
