Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,HOPE,57,1,7,1,13,9,4,9,5
2.0,INF,47,9,2,2,7,2,9,6,6
3.0,Hardstuck D4,46,3,6,6,2,5,0,1,12
4.0,PWLS,44,2,8,8,7,8,0,3,9
5.0,South Cartel,35,5,3,4,1,7,4,2,6
6.0,Inferno DRT,25,6,0,7,6,4,5,10,1
7.0,team garong,25,4,2,10,0,1,3,11,0
8.0,iON,20,11,4,13,0,3,5,13,1
9.0,Hardstucks,16,10,1,11,3,6,0,4,1
10.0,Noobs UwU,15,14,0,3,0,12,3,7,0
11.0,Losin Control,11,8,1,9,0,10,3,12,0
12.0,Team eXplicit,11,7,1,14,0,11,3,8,0
13.0,Teriyaki Boyz,10,12,0,5,0,13,0,5,0
14.0,Saint,4,13,0,12,0,14,0,14,0
