Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AMG TW,58,2,19,14,9,12,10,7,6
2.0,SNG,47,15,6,4,2,3,6,1,8
3.0,PWLS,40,6,7,1,11,13,1,10,3
4.0,FTW,37,1,2,2,4,7,1,4,1
5.0,EVO BERZ,35,4,2,9,7,16,0,2,10
6.0,StrawberryJam,30,16,0,17,0,1,11,8,5
7.0,OPCxBondowane,29,13,3,3,5,5,4,12,4
8.0,QE.NY,29,8,0,5,3,2,3,5,4
9.0,AUxFF,26,3,7,8,3,8,2,14,2
10.0,South Cartel,21,20,0,19,3,4,8,6,2
11.0,HeadHunters,18,7,5,16,0,6,3,15,3
12.0,Hardstucks,11,5,6,20,0,20,1,19,0
13.0,OGL,11,10,0,18,0,18,0,3,2
14.0,EVOLUTION BLACK,10,9,0,6,1,19,0,9,2
15.0,Freedom,9,17,0,11,2,9,3,13,0
16.0,Team Vicity,9,11,0,7,3,10,0,20,0
17.0,Triple Cobra,6,12,2,13,1,14,0,18,0
18.0,September,5,19,0,12,0,15,0,11,2
19.0,AM Ravens,3,14,0,10,0,17,0,16,0
20.0,Team Mint,2,18,0,15,0,11,0,17,0
