Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,WGGxPK,67,12,1,1,15,8,3,17,0,15,2,4,25,Lobby 1
2.0,TX,66,6,7,6,1,16,3,1,15,1,9,15,0,Lobby 1
3.0,RL.XV,62,1,18,17,4,7,7,4,7,12,4,14,0,Lobby 1
4.0,DNZ,41,7,7,4,3,4,10,19,0,8,2,11,3,Lobby 1
5.0,LAG,41,2,3,7,1,3,1,3,1,5,0,5,1,Lobby 1
6.0,INF,40,14,0,14,0,12,1,11,3,3,9,1,4,Lobby 1
7.0,IFPD,39,17,0,3,8,20,0,6,4,6,1,3,6,Lobby 1
8.0,HOPE,38,5,0,2,7,5,4,16,0,11,5,10,2,Lobby 1
9.0,PG,37,3,0,5,4,13,3,10,5,4,4,8,0,Lobby 1
10.0,MBTN,36,4,10,18,0,9,0,2,4,10,3,13,0,Lobby 1
11.0,R.Harmony,34,19,0,16,1,1,10,12,0,13,0,6,6,Lobby 1
12.0,WHIZ,34,10,2,10,3,6,3,14,0,2,5,7,1,Lobby 1
13.0,RL.Genesis,23,9,0,8,0,2,4,7,0,9,0,12,0,Lobby 1
14.0,Soosmar slayer,17,18,0,11,1,10,0,5,4,7,2,16,0,Lobby 1
15.0,OC,16,8,2,15,0,17,0,9,0,17,0,2,0,Lobby 1
16.0,RNG,14,13,0,12,5,11,0,13,0,14,0,9,2,Lobby 1
17.0,NMLS,13,16,0,9,0,15,0,8,8,16,0,17,0,Lobby 1
18.0,Hardstuck D4,7,11,5,13,0,18,0,18,0,20,0,20,0,Lobby 1
19.0,Bocah bar bar,6,15,3,19,0,14,0,15,0,18,0,20,0,Lobby 1
20.0,AHO,0,20,0,20,0,20,0,20,0,20,0,20,0,Lobby 1
1.0,MDY,114,15,3,1,21,2,8,1,11,1,12,6,10,Lobby 2
2.0,WAT,88,1,11,6,6,1,4,2,4,10,1,1,12,Lobby 2
3.0,AMG TW,70,6,8,3,10,3,21,8,7,17,0,10,3,Lobby 2
4.0,Estrell,44,3,4,8,1,4,3,11,1,6,2,2,6,Lobby 2
5.0,SNG,41,5,13,14,0,8,0,3,3,8,9,16,0,Lobby 2
6.0,PWLS,39,16,0,13,3,6,5,7,6,4,1,3,5,Lobby 2
7.0,AU Skyrise,36,4,1,4,4,7,0,4,7,13,0,8,3,Lobby 2
8.0,Job Seekers,34,7,0,12,0,9,3,5,0,2,11,11,0,Lobby 2
9.0,QE.NY,33,2,7,11,0,13,3,6,1,11,0,4,2,Lobby 2
10.0,EVO BERZ,31,5,13,17,0,15,0,15,4,5,0,7,1,Lobby 2
11.0,FTW,29,8,2,2,3,5,2,16,3,9,1,15,0,Lobby 2
12.0,BOG,25,9,0,5,2,18,0,14,0,3,7,9,0,Lobby 2
13.0,StrawberryJam,18,13,2,18,0,12,1,12,1,18,0,5,7,Lobby 2
14.0,South Cartel,15,14,1,16,0,17,0,13,0,7,5,14,3,Lobby 2
15.0,RJININ,14,11,2,9,0,10,0,9,3,14,0,13,0,Lobby 2
16.0,DNT,13,19,0,7,3,14,1,19,1,16,3,18,1,Lobby 2
17.0,Sigma Gamers,6,17,0,10,0,16,0,10,0,12,0,12,0,Lobby 2
18.0,Sunda Gaming,5,18,0,15,0,11,3,17,0,19,0,19,0,Lobby 2
19.0,AUxFF,5,10,0,19,0,19,0,18,0,15,2,17,0,Lobby 2
20.0,OPCxBondowane,0,20,0,20,0,20,0,20,0,20,0,20,0,Lobby 2
