Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,MDY,114,15,3,1,21,2,8,1,11,1,12,6,10
2.0,WAT,88,1,11,6,6,1,4,2,4,10,1,1,12
3.0,AMG TW,70,6,8,3,10,3,21,8,7,17,0,10,3
4.0,Estrell,44,3,4,8,1,4,3,11,1,6,2,2,6
5.0,SNG,41,5,13,14,0,8,0,3,3,8,9,16,0
6.0,PWLS,39,16,0,13,3,6,5,7,6,4,1,3,5
7.0,AU Skyrise,36,4,1,4,4,7,0,4,7,13,0,8,3
8.0,Job Seekers,34,7,0,12,0,9,3,5,0,2,11,11,0
9.0,QE.NY,33,2,7,11,0,13,3,6,1,11,0,4,2
10.0,EVO BERZ,31,5,13,17,0,15,0,15,4,5,0,7,1
11.0,FTW,29,8,2,2,3,5,2,16,3,9,1,15,0
12.0,BOG,25,9,0,5,2,18,0,14,0,3,7,9,0
13.0,StrawberryJam,18,13,2,18,0,12,1,12,1,18,0,5,7
14.0,South Cartel,15,14,1,16,0,17,0,13,0,7,5,14,3
15.0,RJININ,14,11,2,9,0,10,0,9,3,14,0,13,0
16.0,DNT,13,19,0,7,3,14,1,19,1,16,3,18,1
17.0,Sigma Gamers,6,17,0,10,0,16,0,10,0,12,0,12,0
18.0,Sunda Gaming,5,18,0,15,0,11,3,17,0,19,0,19,0
19.0,AUxFF,5,10,0,19,0,19,0,18,0,15,2,17,0
20.0,OPCxBondowane,0,20,0,20,0,20,0,20,0,20,0,20,0
