Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,TX,106,6,10,1,18,1.0,17.0,1.0,22.0,Lobby 1,Round_1,,,,
2.0,RL.XV,49,1,17,4,6,6.0,4.0,10.0,0.0,Lobby 1,Round_1,,,,
3.0,TEAM MIRACLE,31,4,1,2,3,2.0,1.0,7.0,0.0,Lobby 1,Round_1,,,,
4.0,Quentiam,27,11,0,5,4,4.0,6.0,3.0,0.0,Lobby 1,Round_1,,,,
5.0,RNG,22,3,0,3,1,8.0,3.0,8.0,0.0,Lobby 1,Round_1,,,,
6.0,INF,20,7,2,6,0,11.0,1.0,4.0,5.0,Lobby 1,Round_1,,,,
7.0,Kushaholics,18,9,0,7,0,3.0,0.0,5.0,2.0,Lobby 1,Round_1,,,,
8.0,AHO,18,8,0,10,0,5.0,0.0,2.0,1.0,Lobby 1,Round_1,,,,
9.0,Nitrogen Oxide,15,2,0,11,0,7.0,0.0,9.0,0.0,Lobby 1,Round_1,,,,
10.0,GOD OF DREAM,9,10,0,9,0,10.0,0.0,6.0,0.0,Lobby 1,Round_1,,,,
11.0,Lags Fault,9,5,0,8,0,9.0,0.0,11.0,0.0,Lobby 1,Round_1,,,,
1.0,MBTN,35,3,6,1,10,,,,,Lobby 2,Round_1,,,,
2.0,WHIZ,30,2,10,4,6,,,,,Lobby 2,Round_1,,,,
3.0,Hardstuck D4,30,1,3,2,6,,,,,Lobby 2,Round_1,,,,
4.0,TEAR,11,8,2,3,0,,,,,Lobby 2,Round_1,,,,
5.0,Prey,10,4,1,5,0,,,,,Lobby 2,Round_1,,,,
6.0,Aim Assist,9,5,1,7,1,,,,,Lobby 2,Round_1,,,,
7.0,Pavlova,7,9,4,12,0,,,,,Lobby 2,Round_1,,,,
8.0,Vulgar Cobras,7,7,2,10,0,,,,,Lobby 2,Round_1,,,,
9.0,OC,6,12,0,8,3,,,,,Lobby 2,Round_1,,,,
10.0,Soosmar slayer,6,10,0,6,1,,,,,Lobby 2,Round_1,,,,
11.0,DYN,4,11,0,9,1,,,,,Lobby 2,Round_1,,,,
12.0,3 amigos,4,6,0,11,0,,,,,Lobby 2,Round_1,,,,
1.0,WGGxPK,102,1,15,1,15,4.0,14.0,1.0,17.0,Lobby 3,Round_1,,,,
2.0,HOPE,48,2,11,3,9,2.0,1.0,9.0,0.0,Lobby 3,Round_1,,,,
3.0,HEHEHE,29,5,1,6,2,3.0,5.0,4.0,2.0,Lobby 3,Round_1,,,,
4.0,Bocah bar bar,29,8,0,2,0,9.0,2.0,3.0,7.0,Lobby 3,Round_1,,,,
5.0,"Etc, Etc",23,6,0,8,0,1.0,4.0,8.0,0.0,Lobby 3,Round_1,,,,
6.0,LAG,22,7,0,5,3,10.0,0.0,2.0,1.0,Lobby 3,Round_1,,,,
7.0,NMLS,17,3,5,11,1,11.0,1.0,11.0,0.0,Lobby 3,Round_1,,,,
8.0,Team eXplicit,15,4,0,7,0,6.0,0.0,5.0,0.0,Lobby 3,Round_1,,,,
9.0,DREAM,14,10,0,4,0,8.0,3.0,10.0,0.0,Lobby 3,Round_1,,,,
10.0,Nice Try,13,11,0,10,0,5.0,1.0,7.0,2.0,Lobby 3,Round_1,,,,
11.0,SkarptSinne,11,9,0,9,0,7.0,0.0,6.0,1.0,Lobby 3,Round_1,,,,
1.0,DNZ,77,1,8,1,16,9.0,0.0,1.0,15.0,Lobby 4,Round_1,,,,
2.0,RL.Genesis,49,10,0,3,0,1.0,16.0,2.0,3.0,Lobby 4,Round_1,,,,
3.0,IFPD,37,4,8,6,0,3.0,7.0,5.0,3.0,Lobby 4,Round_1,,,,
4.0,Suspicious Fools,35,2,7,7,0,2.0,2.0,8.0,3.0,Lobby 4,Round_1,,,,
5.0,PG,32,3,2,2,6,8.0,4.0,10.0,0.0,Lobby 4,Round_1,,,,
6.0,R.Harmony,22,11,0,5,3,7.0,0.0,3.0,4.0,Lobby 4,Round_1,,,,
7.0,Masters Please,18,9,2,10,3,5.0,0.0,4.0,0.0,Lobby 4,Round_1,,,,
8.0,67 Richter,14,6,0,8,1,4.0,1.0,9.0,0.0,Lobby 4,Round_1,,,,
9.0,off boys,12,7,0,9,0,11.0,0.0,7.0,3.0,Lobby 4,Round_1,,,,
10.0,Kardinals,12,5,2,11,0,10.0,0.0,6.0,0.0,Lobby 4,Round_1,,,,
11.0,Teriyaki Boyz,11,8,0,4,0,6.0,0.0,11.0,0.0,Lobby 4,Round_1,,,,
1.0,Estrell,53,8,6,2,11,9.0,0.0,1.0,11.0,Lobby 5,Round_1,,,,
2.0,Sigma Gamers,52,1,10,5,5,1.0,7.0,10.0,0.0,Lobby 5,Round_1,,,,
3.0,ANgun,41,9,0,1,11,7.0,6.0,8.0,5.0,Lobby 5,Round_1,,,,
4.0,AU Skyrise,32,5,3,6,0,2.0,5.0,7.0,5.0,Lobby 5,Round_1,,,,
5.0,BOG,28,2,5,10,0,3.0,4.0,11.0,0.0,Lobby 5,Round_1,,,,
6.0,Exusiai,26,3,2,7,3,5.0,3.0,5.0,0.0,Lobby 5,Round_1,,,,
7.0,HAM,25,4,4,9,0,6.0,0.0,3.0,4.0,Lobby 5,Round_1,,,,
8.0,BTCxWGG,23,11,0,3,2,8.0,3.0,4.0,3.0,Lobby 5,Round_1,,,,
9.0,Speed,18,10,0,4,0,10.0,0.0,2.0,0.0,Lobby 5,Round_1,,,,
10.0,KINDOG,13,6,0,8,0,4.0,1.0,9.0,0.0,Lobby 5,Round_1,,,,
11.0,WINGS,8,7,0,11,0,11.0,0.0,6.0,0.0,Lobby 5,Round_1,,,,
1.0,MDY,70,1,11,1,9,3.0,8.0,3.0,4.0,Lobby 6,Round_1,,,,
2.0,WAT,69,2,14,5,6,8.0,9.0,1.0,13.0,Lobby 6,Round_1,,,,
3.0,DNT,44,3,2,3,6,4.0,6.0,8.0,9.0,Lobby 6,Round_1,,,,
4.0,RJININ,28,5,1,8,2,1.0,4.0,6.0,0.0,Lobby 6,Round_1,,,,
5.0,Job Seekers,23,11,0,2,5,11.0,0.0,4.0,2.0,Lobby 6,Round_1,,,,
6.0,Antiaa,21,6,0,4,0,2.0,3.0,12.0,0.0,Lobby 6,Round_1,,,,
7.0,60 Hurtz,20,4,1,7,0,12.0,0.0,2.0,1.0,Lobby 6,Round_1,,,,
8.0,Sunda Gaming,11,8,0,6,2,9.0,0.0,10.0,0.0,Lobby 6,Round_1,,,,
9.0,Team Shinigami,11,7,0,10,0,7.0,0.0,11.0,2.0,Lobby 6,Round_1,,,,
10.0,RebellioN,11,9,0,9,0,6.0,0.0,5.0,0.0,Lobby 6,Round_1,,,,
11.0,SW1PE,10,20,0,20,0,5.0,3.0,7.0,0.0,Lobby 6,Round_1,,,,
12.0,clanGH0ST,8,10,0,11,0,10.0,0.0,9.0,1.0,Lobby 6,Round_1,,,,
1.0,StrawberryJam,54,6,2,7,1,3.0,6.0,1.0,20.0,Lobby 7,Round_1,,,,
2.0,PWLS,43,3,1,1,8,7.0,9.0,7.0,0.0,Lobby 7,Round_1,,,,
3.0,EVO BERZ,37,1,11,10,4,4.0,1.0,8.0,0.0,Lobby 7,Round_1,,,,
4.0,OGL,36,5,3,8,2,1.0,8.0,4.0,0.0,Lobby 7,Round_1,,,,
5.0,Team Vicity,24,7,3,3,0,2.0,0.0,10.0,0.0,Lobby 7,Round_1,,,,
6.0,South Cartel,23,2,4,4,0,11.0,1.0,9.0,1.0,Lobby 7,Round_1,,,,
7.0,Freedom,20,8,1,2,5,10.0,0.0,11.0,0.0,Lobby 7,Round_1,,,,
8.0,Triple Cobra,20,4,2,11,0,6.0,0.0,2.0,0.0,Lobby 7,Round_1,,,,
9.0,AUxFF,19,9,1,5,0,5.0,4.0,6.0,1.0,Lobby 7,Round_1,,,,
10.0,EVOLUTION BLACK,18,10,0,9,1,8.0,0.0,3.0,4.0,Lobby 7,Round_1,,,,
11.0,Y105,17,11,0,6,4,9.0,1.0,5.0,2.0,Lobby 7,Round_1,,,,
1.0,AMG TW,96,1,26,8,3,1.0,15.0,1.0,14.0,Lobby 8,Round_1,,,,
2.0,SNG,54,10,0,1,17,3.0,7.0,7.0,6.0,Lobby 8,Round_1,,,,
3.0,QE.NY,32,11,0,3,5,4.0,3.0,5.0,7.0,Lobby 8,Round_1,,,,
4.0,HeadHunters,30,9,0,5,0,2.0,5.0,2.0,1.0,Lobby 8,Round_1,,,,
5.0,FTW,20,4,0,2,4,11.0,0.0,12.0,0.0,Lobby 8,Round_1,,,,
6.0,AM Ravens,20,2,0,4,0,5.0,0.0,9.0,0.0,Lobby 8,Round_1,,,,
7.0,OPCxBondowane,19,12,4,7,1,8.0,0.0,4.0,3.0,Lobby 8,Round_1,,,,
8.0,September,18,3,0,11,0,6.0,3.0,8.0,2.0,Lobby 8,Round_1,,,,
9.0,Team Mint,14,5,0,9,1,7.0,0.0,6.0,1.0,Lobby 8,Round_1,,,,
10.0,Hardstucks,11,12,0,12,0,9.0,0.0,3.0,0.0,Lobby 8,Round_1,,,,
11.0,Wkey,10,8,0,10,1,10.0,2.0,11.0,0.0,Lobby 8,Round_1,,,,
12.0,APEXD Bang Bang (missing),10,7,0,6,1,12.0,0.0,10.0,0.0,Lobby 8,Round_1,,,,
1.0,WHIZ,68,1,14,12,3,1.0,17.0,6.0,6.0,Lobby 1,Quarterfinals,,,,
2.0,TX,52,13,3,2,26,13.0,6.0,10.0,4.0,Lobby 1,Quarterfinals,,,,
3.0,RL.XV,40,4,19,5,4,8.0,5.0,13.0,0.0,Lobby 1,Quarterfinals,,,,
4.0,MBTN,38,16,1,7,0,2.0,9.0,3.0,9.0,Lobby 1,Quarterfinals,,,,
5.0,Hardstuck D4,37,17,0,8,3,15.0,1.0,1.0,18.0,Lobby 1,Quarterfinals,,,,
6.0,OC,32,9,0,1,10,7.0,3.0,11.0,1.0,Lobby 1,Quarterfinals,,,,
7.0,AHO,27,8,4,4,3,4.0,6.0,12.0,1.0,Lobby 1,Quarterfinals,,,,
8.0,RNG,23,3,4,14,0,16.0,0.0,8.0,9.0,Lobby 1,Quarterfinals,,,,
9.0,INF,18,10,0,6,1,3.0,3.0,9.0,0.0,Lobby 1,Quarterfinals,,,,
10.0,Soosmar slayer,17,19,0,13,0,5.0,2.0,2.0,1.0,Lobby 1,Quarterfinals,,,,
11.0,Nitrogen Oxide,17,7,0,3,0,6.0,1.0,7.0,0.0,Lobby 1,Quarterfinals,,,,
12.0,Pavlova,16,2,5,17,0,11.0,0.0,15.0,0.0,Lobby 1,Quarterfinals,,,,
13.0,Prey,11,18,3,9,1,14.0,0.0,5.0,0.0,Lobby 1,Quarterfinals,,,,
14.0,TEAR,9,12,0,16,0,12.0,0.0,4.0,2.0,Lobby 1,Quarterfinals,,,,
15.0,Lags Fault,8,5,0,10,0,10.0,0.0,17.0,0.0,Lobby 1,Quarterfinals,,,,
16.0,Quentiam,5,15,0,19,0,9.0,2.0,18.0,0.0,Lobby 1,Quarterfinals,,,,
17.0,Kushaholics,5,6,0,11,0,17.0,0.0,14.0,0.0,Lobby 1,Quarterfinals,,,,
18.0,Aim Assist,4,11,2,15,0,19.0,0.0,20.0,0.0,Lobby 1,Quarterfinals,,,,
