C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
1.0,BRGR,85,4,6,2,7,6,10,3,3,1,8,2,6,Round 10,,,,,,Split_1
2.0,STK,81,10,0,1,16,1,18,1,6,13,0,10,0,Round 10,,,,,,Split_1
3.0,NXL,70,1,14,16,1,3,3,11,4,14,0,1,15,Round 10,,,,,,Split_1
4.0,WAT,39,12,1,11,3,7,0,4,4,3,11,15,2,Round 10,,,,,,Split_1
5.0,PK,37,8,1,8,3,2,6,9,5,8,2,7,0,Round 10,,,,,,Split_1
6.0,ITR,36,5,9,6,2,13,3,13,2,7,7,13,0,Round 10,,,,,,Split_1
7.0,FW,35,14,5,17,0,15,4,10,0,2,7,9,4,Round 10,,,,,,Split_1
8.0,EXO,31,11,3,18,0,9,0,2,12,11,0,11,2,Round 10,,,,,,Split_1
9.0,MON,31,3,4,12,0,4,2,16,0,12,2,3,2,Round 10,,,,,,Split_1
10.0,MDY.W,30,18,0,10,2,18,0,5,6,9,10,12,3,Round 10,,,,,,Split_1
11.0,DML,30,2,2,14,1,17,0,12,3,10,1,5,6,Round 10,,,,,,Split_1
12.0,ATH,23,16,0,3,2,10,0,14,0,17,0,4,6,Round 10,,,,,,Split_1
13.0,BWS,22,17,0,7,3,5,1,6,3,15,2,8,0,Round 10,,,,,,Split_1
14.0,MBTN,22,7,2,5,4,14,0,17,0,4,0,14,2,Round 10,,,,,,Split_1
15.0,SNG,22,6,2,4,3,8,0,15,1,16,2,6,0,Round 10,,,,,,Split_1
16.0,MYTH,14,13,2,9,1,12,0,8,1,6,1,17,0,Round 10,,,,,,Split_1
17.0,DNN,14,9,0,15,0,11,0,7,2,5,1,16,0,Round 10,,,,,,Split_1
18.0,WGG,5,15,0,13,2,16,1,18,0,18,0,18,0,Round 10,,,,,,Split_1
19.0,DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 10,,,,,,Split_1
20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 10,,,,,,Split_1
,STK,58,3,11,13,0,5,4,12,1,2,5,3,8,Round 11,1.0,,,,,Split_1
,FA,54,20,0,1,9,11,4,16,0,6,4,1,9,Round 11,2.0,,,,,Split_1
,RIG,53,17,3,5,15,14,7,19,0,12,3,2,10,Round 11,3.0,,,,,Split_1
,SNG,53,5,6,4,6,1,8,9,2,7,1,6,1,Round 11,4.0,,,,,Split_1
,EXO,44,13,0,12,2,10,3,1,12,8,1,4,3,Round 11,5.0,,,,,Split_1
,NXL,43,11,4,2,7,12,1,7,4,11,0,5,8,Round 11,6.0,,,,,Split_1
,ANT,39,1,5,10,5,7,3,8,5,16,1,14,0,Round 11,7.0,,,,,Split_1
,EMM,38,18,0,20,0,2,12,5,4,9,6,13,0,Round 11,8.0,,,,,Split_1
,LU,35,2,10,7,0,17,2,11,7,19,0,10,1,Round 11,9.0,,,,,Split_1
,NLN,35,19,0,18,3,9,5,13,3,1,7,12,1,Round 11,10.0,,,,,Split_1
,OC,34,16,0,14,0,6,6,2,3,5,7,14,0,Round 11,11.0,,,,,Split_1
,DNZ,30,9,0,17,0,8,6,17,0,3,12,11,0,Round 11,12.0,,,,,Split_1
,FW,25,12,4,9,0,18,0,4,6,15,6,20,0,Round 11,13.0,,,,,Split_1
,BWS,25,4,3,16,0,15,0,3,7,14,1,19,0,Round 11,14.0,,,,,Split_1
,DML,25,10,1,3,4,3,0,14,1,10,0,17,0,Round 11,15.0,,,,,Split_1
,Antiaa,24,7,2,11,1,19,0,20,2,4,1,8,7,Round 11,16.0,,,,,Split_1
,ATH,18,15,3,8,4,13,1,18,0,17,0,7,3,Round 11,17.0,,,,,Split_1
,MBTN,14,8,4,6,1,16,0,6,1,18,0,16,0,Round 11,18.0,,,,,Split_1
,DNN,11,14,0,19,0,4,0,10,0,20,0,18,3,Round 11,19.0,,,,,Split_1
,DYN,11,6,0,15,0,20,0,15,0,13,0,9,3,Round 11,20.0,,,,,Split_1
,BRGR,91,2,10,9,3,8,2,1,10,3,10,1,12,Round 12,,1.0,,,,Split_1
