,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 14:20 SGTWorld's Edge Infinity Paradox Cengkambara Dream Team","Round 1 Round 1 October 23, 2021 - 14:20 SGTWorld's Edge Infinity Paradox Cengkambara Dream Team","Round 2 Round 2 October 23, 2021 - 14:55 SGTWorld's Edge Infinity Paradox Cengkambara Dream Team","Round 2 Round 2 October 23, 2021 - 14:55 SGTWorld's Edge Infinity Paradox Cengkambara Dream Team","Round 3 Round 3 October 23, 2021 - 15:30 SGTWorld's Edge Infinity Paradox Dream eSports IN Sigma Gamers","Round 3 Round 3 October 23, 2021 - 15:30 SGTWorld's Edge Infinity Paradox Dream eSports IN Sigma Gamers","Round 4 Round 4 October 23, 2021 - 16:05 SGTWorld's Edge Dream Team RNG Infinity Paradox","Round 4 Round 4 October 23, 2021 - 16:05 SGTWorld's Edge Dream Team RNG Infinity Paradox","Round 5 Round 5 October 23, 2021 - 16:40 SGTWorld's Edge LIQUID HYDRO Infinity Paradox Dream Team","Round 5 Round 5 October 23, 2021 - 16:40 SGTWorld's Edge LIQUID HYDRO Infinity Paradox Dream Team","Round 6 Round 6 October 23, 2021 - 17:15 SGTWorld's Edge R.Harmony 4ChineseHorseman Dream eSports IN","Round 6 Round 6 October 23, 2021 - 17:15 SGTWorld's Edge R.Harmony 4ChineseHorseman Dream eSports IN"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,IFPD,125,1,14,1,10,1,18,3,7,2,7,8,15
1,2.0,R.Harmony,71,7,4,8,6,4,8,4,6,20,0,1,20
2,3.0,DREAM,69,3,10,3,7,18,0,1,12,3,6,15,0
3,4.0,LH,52,11,3,5,10,5,2,7,0,1,9,14,3
4,5.0,CKB,43,2,3,2,2,16,6,11,0,6,10,17,0
5,6.0,4ChineseHorseman,41,5,8,10,0,10,4,18,3,7,0,2,6
6,7.0,RNG,31,6,0,15,3,8,1,2,8,13,3,18,0
7,8.0,DESI,31,19,0,14,2,2,4,5,2,15,0,3,1
8,9.0,BOG,29,14,1,6,1,15,1,9,3,5,6,6,3
9,10.0,END,29,9,5,7,3,14,2,16,2,4,1,7,2
10,11.0,DYN,23,10,0,9,0,7,2,6,5,11,0,5,1
11,12.0,Juiced,21,13,1,13,2,11,1,19,3,17,0,4,6
12,13.0,LNW,18,4,2,11,3,12,3,8,0,19,0,12,0
13,14.0,Scythe,16,15,4,19,2,6,4,20,0,10,0,19,0
14,15.0,SuperiorSoySauce,13,17,0,12,2,19,0,12,0,14,8,20,0
15,16.0,Omnity,13,16,0,4,1,20,0,10,2,18,0,10,1
16,17.0,Sigma Gamers,13,20,1,20,0,3,2,17,0,12,0,9,0
17,18.0,Another Support,12,8,0,17,1,9,0,13,0,8,3,13,0
18,19.0,Inferno DRT,10,12,0,16,3,17,0,15,0,16,3,11,1
19,20.0,SLK,8,18,0,18,0,13,0,14,0,9,4,16,0
