,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 12:00 SGTWorld's Edge Infinity Paradox Emmanuel Cengkambara","Round 1 Round 1 November 21, 2021 - 12:00 SGTWorld's Edge Infinity Paradox Emmanuel Cengkambara","Round 2 Round 2 November 21, 2021 - 12:35 SGTWorld's Edge Evolution Supreme Infinity Paradox Multicultural","Round 2 Round 2 November 21, 2021 - 12:35 SGTWorld's Edge Evolution Supreme Infinity Paradox Multicultural","Round 3 Round 3 November 21, 2021 - 13:10 SGTWorld's Edge BOSS GOLD Emmanuel Dream eSports IN","Round 3 Round 3 November 21, 2021 - 13:10 SGTWorld's Edge BOSS GOLD Emmanuel Dream eSports IN","Round 4 Round 4 November 21, 2021 - 13:45 SGTWorld's Edge 姐妹花 OGL HpyRogKut","Round 4 Round 4 November 21, 2021 - 13:45 SGTWorld's Edge 姐妹花 OGL HpyRogKut","Round 5 Round 5 November 21, 2021 - 14:20 SGTWorld's Edge MDY White Lowkey (Filipino team) Antiaa","Round 5 Round 5 November 21, 2021 - 14:20 SGTWorld's Edge MDY White Lowkey (Filipino team) Antiaa","Round 6 Round 6 November 21, 2021 - 14:55 SGTWorld's Edge MDY White OGL Emmanuel","Round 6 Round 6 November 21, 2021 - 14:55 SGTWorld's Edge MDY White OGL Emmanuel"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,MDY.W,82,6,4,15,7,7,2,13,3,1,16,1,18
1,2.0,EMM,75,2,15,8,5,2,15,12,3,13,1,3,7
2,3.0,IFPD,55,1,11,2,12,18,0,17,2,6,0,4,1
3,4.0,姐妹花,53,5,3,14,2,10,6,1,16,8,0,10,3
4,5.0,Lowkey,51,8,2,5,3,6,6,6,9,2,9,12,0
5,6.0,EVO.Supreme,42,17,0,1,11,8,0,4,1,12,2,8,6
6,7.0,LH,39,4,2,4,6,12,1,10,6,10,4,11,4
7,8.0,Antiaa,35,9,3,10,3,11,1,14,4,3,6,9,3
8,9.0,OGL,35,15,0,9,0,19,0,2,1,4,2,2,6
9,10.0,BOG,31,16,3,7,1,1,3,5,0,11,3,13,0
10,11.0,HpyRogKut,30,14,0,6,3,4,2,3,3,18,3,15,2
11,12.0,Multicultural,25,10,5,3,3,5,2,15,0,14,0,18,0
12,13.0,CKB,22,3,2,11,1,16,0,9,3,16,0,5,2
13,14.0,DESI,18,12,0,12,0,3,0,11,0,9,1,6,2
14,15.0,GOB-ARH,17,11,0,18,0,14,7,7,5,17,0,16,0
15,16.0,DREAM,17,13,1,16,0,15,3,19,0,5,6,14,0
16,17.0,NANYANG,14,19,0,13,1,9,2,18,0,7,2,7,0
17,18.0,Just Send It,13,7,6,17,0,13,0,16,2,15,0,17,0
18,19.0,Sigma Gamers,2,18,0,19,0,17,0,8,0,19,0,19,0
19,20.0,MXT,0,20,0,20,0,20,0,20,0,20,0,20,0
