,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge","Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Antiaa,68,63,44,37,77,112,1010,112,1313
1,2.0,HpyRogKut,40,29,33,112,1010,82,33,121,0
2,3.0,LH,39,112,1010,131,11,29,22,54,0
3,4.0,DYN,35,45,55,63,11,73,66,73,99
4,5.0,Inferno DRT,33,37,33,29,33,92,22,45,22
5,6.0,Multicultural,30,73,88,73,0,102,33,92,99
6,7.0,Sigma Gamers,28,131,0,54,1313,111,22,63,44
7,8.0,GOD OF DREAM,17,82,0,151,0,37,44,111,22
8,9.0,Chima,17,54,0,92,11,45,33,102,0
9,10.0,LAG,17,92,0,45,0,121,0,29,0
10,11.0,Sayu Supermacy,15,121,0,82,22,63,0,37,0
11,12.0,Informal Squad,9,111,0,141,0,54,11,82,0
12,13.0,eSports Academy,7,141,0,102,0,141,0,141,22
13,14.0,B.Headed,5,102,0,111,0,131,0,131,0
14,15.0,Wingbow,3,200,0,121,0,151,0,151,0
15,16.0,Phantom Trigger,0,200,0,200,0,200,0,200,0
