,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression
,Unnamed: 0_level_1,Team,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total
,Unnamed: 0_level_2,Team,1,2,3,4,5,6,7,8,9
0,1.0,DF,13,22,45,49,56,59,66,66,87
1,2.0,RIG,21,32,34,41,63,67,77,99,114
2,3.0,BRGR,13,24,28,30,49,72,75,78,79
3,5.0,STK,12,15,24,42,47,60,65,66,68
4,4.0,EXO,20,21,25,33,49,49,66,69,74
5,8.0,KAK,28,28,28,42,48,49,55,56,59
6,6.0,ITR,3,15,23,33,35,35,43,57,66
7,7.0,RET,11,17,20,26,30,35,37,54,62
8,10.0,OC,1,23,29,29,29,35,44,50,50
9,9.0,BRP,5,6,22,40,43,45,45,46,54
