,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 16, 2022 - 12:00 SGTWorld's Edge Kakkoii EXO Clan Rage Entertainment Team","Round 1 Round 1 January 16, 2022 - 12:00 SGTWorld's Edge Kakkoii EXO Clan Rage Entertainment Team","Round 2 Round 2 January 16, 2022 - 12:35 SGTWorld's Edge Overclock Esport ATHXHVY DreamFire","Round 2 Round 2 January 16, 2022 - 12:35 SGTWorld's Edge Overclock Esport ATHXHVY DreamFire","Round 3 Round 3 January 16, 2022 - 13:10 SGTWorld's Edge DreamFire BRP We Are Trash","Round 3 Round 3 January 16, 2022 - 13:10 SGTWorld's Edge DreamFire BRP We Are Trash","Round 4 Round 4 January 16, 2022 - 13:45 SGTWorld's Edge BRP Sutoraiku Kakkoii","Round 4 Round 4 January 16, 2022 - 13:45 SGTWorld's Edge BRP Sutoraiku Kakkoii","Round 5 Round 5 January 16, 2022 - 14:20 SGTWorld's Edge Team Burger Reignite We Are Trash","Round 5 Round 5 January 16, 2022 - 14:20 SGTWorld's Edge Team Burger Reignite We Are Trash","Round 6 Round 6 January 16, 2022 - 15:25 SGTWorld's Edge Team Burger XSpark SutoraikuMatch Points Eligible","Round 6 Round 6 January 16, 2022 - 15:25 SGTWorld's Edge Team Burger XSpark SutoraikuMatch Points Eligible","Round 7 Round 7 January 16, 2022 - 16:00 SGTWorld's Edge We Are Trash EXO Clan ReigniteMatch Points Eligible","Round 7 Round 7 January 16, 2022 - 16:00 SGTWorld's Edge We Are Trash EXO Clan ReigniteMatch Points Eligible","Round 8 Round 8 January 16, 2022 - 16:35 SGTWorld's Edge Rage Entertainment Team Reignite Primis KomandaMatch Points Eligible","Round 8 Round 8 January 16, 2022 - 16:35 SGTWorld's Edge Rage Entertainment Team Reignite Primis KomandaMatch Points Eligible","Round 9 Round 9 January 16, 2022 - 17:15 SGTWorld's Edge DreamFire Reignite Rage Entertainment TeamMatch Points Eligible","Round 9 Round 9 January 16, 2022 - 17:15 SGTWorld's Edge DreamFire Reignite Rage Entertainment TeamMatch Points Eligible",MP #
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,MP #
0,1.0,DF,87,10,4,3,2,1,11,7,1,5,3,13,2,5,3,17,0,1,9,5
1,2.0,RIG,114,4,6,5,7,9,0,4,2,2,13,6,1,3,3,2,13,2,6,5
2,3.0,BRGR,79,7,2,4,6,5,0,11,1,1,7,1,11,7,0,12,2,15,0,6
3,4.0,EXO,74,2,2,11,0,12,3,10,6,8,14,18,0,2,8,10,1,6,2,7
4,5.0,STK,68,9,6,7,0,4,4,2,9,15,4,3,6,8,3,15,0,12,1,6
5,6.0,ITR,66,17,0,6,9,6,5,6,7,9,0,20,0,4,3,5,10,8,7,8
6,7.0,RET,62,3,4,9,4,8,1,5,2,10,2,8,3,14,1,1,5,3,1,8
7,8.0,KAK,59,1,16,16,0,20,0,3,7,4,1,15,0,13,5,11,0,9,1,7
8,9.0,BRP,54,5,1,15,0,2,7,1,6,14,2,16,2,18,0,13,0,5,4,9
9,10.0,OC,50,18,1,1,10,7,3,19,0,17,0,5,2,6,6,6,3,17,0,8
10,11.0,WAT,49,8,2,10,0,3,4,18,0,3,2,11,1,1,9,16,0,19,0,-
11,12.0,ATH,48,19,0,2,3,13,3,14,0,13,1,10,1,16,1,19,0,4,14,-
12,13.0,MDY,43,6,4,18,1,17,3,9,4,11,0,17,0,10,7,4,7,14,2,-
13,14.0,PK,42,13,0,14,8,14,0,8,1,18,1,4,6,20,0,3,3,10,2,-
14,15.0,TX,32,12,4,19,0,18,0,12,4,19,2,2,8,11,1,18,1,18,0,-
15,16.0,GS,32,16,2,12,1,19,5,15,0,12,1,7,5,19,1,7,4,13,3,-
16,17.0,STB,31,14,0,13,2,10,3,13,4,6,4,12,4,15,2,20,0,11,1,-
17,18.0,M2M,22,15,1,8,2,11,0,16,0,20,0,9,0,12,1,8,4,20,0,-
18,19.0,WGG,13,11,1,17,0,16,1,20,0,16,0,14,0,9,0,9,2,7,0,-
19,20.0,O3,8,20,0,20,0,15,2,17,0,7,1,19,0,17,0,14,0,16,0,-
