C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
1.0,DF,96,20,0,9,4,2,15,1,14,1,19,5,5,Round 10,,,,,
2.0,BRGR,70,7,4,1,14,10,4,18,0,10,7,1,10,Round 10,,,,,
3.0,MDY,55,10,10,13,0,1,12,2,4,20,0,8,3,Round 10,,,,,
4.0,BRP,49,2,11,6,1,11,0,6,1,3,7,7,3,Round 10,,,,,
5.0,LU,47,3,4,11,5,7,5,3,10,11,0,6,1,Round 10,,,,,
6.0,ITR,46,4,0,2,5,17,0,8,1,6,4,2,8,Round 10,,,,,
7.0,404,41,5,2,3,6,5,6,9,0,7,0,3,0,Round 10,,,,,
8.0,WGG,40,18,0,18,0,3,2,5,7,4,5,11,9,Round 10,,,,,
9.0,PG,40,8,5,4,3,15,0,13,2,2,8,13,3,Round 10,,,,,
10.0,MON,28,11,4,10,1,14,0,16,5,16,3,4,6,Round 10,,,,,
11.0,DML,23,1,6,12,0,16,0,19,0,9,1,15,0,Round 10,,,,,
12.0,WHIZ,21,6,6,19,0,8,0,11,3,8,0,9,2,Round 10,,,,,
13.0,SNG,20,14,3,16,3,4,5,14,0,18,0,10,0,Round 10,,,,,
14.0,INF,20,9,0,17,0,6,3,4,2,5,0,17,1,Round 10,,,,,
15.0,O3,17,13,0,8,5,18,0,7,0,14,5,18,0,Round 10,,,,,
16.0,RL.XV,16,19,0,5,1,12,3,15,4,17,0,14,1,Round 10,,,,,
17.0,PWLS,14,15,0,7,3,13,0,10,2,15,0,12,0,Round 10,,,,,
18.0,STB,7,16,0,14,2,19,0,12,2,12,0,19,0,Round 10,,,,,
19.0,MBTN,6,12,0,15,0,9,0,17,0,13,1,20,0,Round 10,,,,,
20.0,Magic,4,17,1,20,1,20,0,20,0,19,0,16,2,Round 10,,,,,
,GS,65,5,3,4,5,1,19,5,4,16,2,5,3,Round 11,1.0,,,,
,404,64,7,3,3,5,15,1,2,9,2,9,8,6,Round 11,2.0,,,,
,PHN,57,1,13,5,2,12,5,14,3,15,3,2,3,Round 11,3.0,,,,
,WAT,57,6,5,7,4,5,1,1,13,7,4,9,3,Round 11,4.0,,,,
,BRGR,47,16,0,2,5,2,7,10,2,3,6,20,0,Round 11,5.0,,,,
,RIG,44,10,1,11,3,14,1,19,0,6,5,1,15,Round 11,6.0,,,,
,LU,41,11,1,18,0,4,6,7,4,1,6,12,2,Round 11,7.0,,,,
,SNG,36,17,0,1,6,10,0,16,0,11,11,10,2,Round 11,8.0,,,,
,M2M,36,15,3,16,1,3,2,4,2,5,5,6,3,Round 11,9.0,,,,
,PWLS,32,3,10,20,0,16,0,17,5,4,2,11,2,Round 11,10.0,,,,
,O3,31,4,7,15,0,11,8,6,5,18,1,19,0,Round 11,11.0,,,,
,Estrell,29,20,0,6,6,17,2,12,3,8,1,4,6,Round 11,12.0,,,,
