C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,STB,77,3,10,19,1,7,7,12,1,2,8,1,18
2.0,ITR,52,5,3,6,2,4,6,4,6,3,1,7,7
3.0,LU,50,17,0,5,7,2,7,2,9,15,4,20,0
4.0,DF,48,1,19,20,1,18,0,19,2,14,0,3,6
5.0,BRP,48,4,3,1,8,6,2,13,0,4,5,8,2
6.0,BRGR,46,2,10,3,7,5,3,16,0,6,3,17,0
7.0,SNG,45,6,1,18,3,17,3,1,11,12,1,2,1
8.0,404,40,7,4,7,1,11,1,14,5,1,8,12,0
9.0,PG,39,12,1,2,6,13,2,9,3,5,6,10,2
10.0,MBTN,37,11,0,4,6,3,9,7,0,18,0,5,2
11.0,RL.XV,35,10,2,17,0,1,12,20,0,17,0,13,6
12.0,PWLS,27,9,1,13,0,20,0,6,6,8,3,4,4
13.0,MON,25,18,0,9,4,16,0,3,6,9,4,18,0
14.0,WGG,23,13,0,15,0,12,4,10,1,7,1,6,6
15.0,DML,16,8,5,10,2,8,0,8,0,20,0,14,0
16.0,Magic,16,19,0,12,1,9,1,5,3,19,1,9,1
17.0,MDY,15,14,0,14,0,19,0,18,1,11,7,15,3
18.0,INF,15,15,0,8,4,15,0,15,0,10,0,11,3
19.0,WHIZ,8,16,0,16,2,14,0,17,1,13,3,19,0
20.0,O3,8,20,0,11,1,10,0,11,1,16,1,16,1
