B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RIG,65,15,0,19,2,2,7,1,6,2,7,3,5
2.0,LU,61,3,12,10,0,14,2,3,6,5,1,1,7
3.0,BRGR,59,10,1,1,12,13,0,4,3,1,8,18,3
4.0,NXL,49,12,1,6,3,1,15,11,7,10,3,14,0
5.0,O3,40,16,3,3,7,16,3,6,10,8,5,16,0
6.0,PHN,39,9,6,12,5,6,6,2,7,20,0,19,0
7.0,DML,37,8,3,2,3,11,4,7,0,3,5,20,0
8.0,SNG,36,2,6,18,0,12,0,18,0,4,6,4,4
9.0,WAT,32,1,8,17,0,15,0,16,4,19,0,6,4
10.0,EVO BERZ,31,19,0,4,6,4,5,8,0,12,2,17,5
11.0,Estrell,28,11,0,8,2,9,4,9,0,6,3,5,5
12.0,Magic,26,17,0,7,4,18,0,20,0,9,3,2,5
13.0,PWLS,26,7,7,11,1,8,1,14,0,11,0,10,7
14.0,GS,24,6,3,14,4,17,1,15,6,16,1,8,2
15.0,Xenomorph,21,5,0,13,0,3,3,12,0,15,3,13,0
16.0,Pavlova,19,14,0,16,1,19,0,5,3,7,4,11,2
17.0,M2M,19,18,0,5,4,5,2,19,0,17,0,15,4
18.0,404,19,4,3,9,1,7,0,17,0,14,0,7,1
19.0,INF,17,13,2,15,0,10,0,10,3,13,0,9,3
20.0,MBTN,9,20,0,20,0,20,0,13,3,18,3,12,1
