,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings
,Team,Team.1,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
0,1.0,RIG,51,12,7,12,12,5,3
1,2.0,EXO,44,1,12,9,3,7,12
2,3.0,BRGR,39,12,3,7,4,9,4
3,4.0,DF,33,3,5,3,1,12,9
4,5.0,ATH,30,2,4,12,2,9,1
5,6.0,LU,29,4,7,9,2,4,3
6,7.0,STK,28,1,3,5,7,12,0
7,8.0,ITR,26,2,9,7,3,3,2
8,9.0,PK,25,2,2,4,12,2,3
9,10.0,MDY,25,9,0,1,1,7,7
10,11.0,404,22,7,2,0,1,3,9
11,12.0,KAK,20,3,5,2,3,2,5
12,13.0,O3,20,9,0,4,5,1,1
13,14.0,BRP,19,2,4,1,4,5,3
14,15.0,WAT,19,1,1,2,7,3,5
15,16.0,WGG,19,5,1,2,9,2,0
16,17.0,GS,19,4,1,1,0,1,12
17,18.0,TX,18,1,9,1,2,3,2
18,19.0,RET,17,1,2,1,9,2,2
19,20.0,STB,17,2,12,1,1,0,1
20,21.0,NXL,15,0,0,5,5,4,1
21,22.0,SNG,14,5,3,2,1,1,2
22,23.0,PHN,11,0,0,3,1,0,7
23,24.0,RL.XV,10,3,1,0,2,0,4
24,25.0,DNZ,9,2,3,3,0,0,1
25,26.0,WHIZ,9,7,0,0,1,1,0
26,27.0,PG,8,1,2,0,2,2,1
27,28.0,M2M,8,1,2,0,2,1,2
28,29.0,MON,7,1,1,2,0,2,1
29,30.0,DML,7,0,1,3,1,1,1
30,31.0,Estrell,6,0,1,1,3,0,1
31,32.0,EVO BERZ,6,1,1,2,0,1,1
32,33.0,PWLS,4,0,1,1,0,0,2
33,34.0,AMG TW,4,3,0,0,0,1,0
34,35.0,INF,3,1,0,0,1,1,0
35,36.0,Pavlova,2,0,1,0,0,1,0
36,37.0,Magic,2,0,0,1,1,0,0
37,38.0,MBTN,2,0,2,0,0,0,0
38,39.0,Xenomorph,1,0,0,1,0,0,0
39,40.0,Azure,0,0,0,0,0,0,0
