,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge Reignite XSpark EXO Clan","Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge Reignite XSpark EXO Clan","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge Sutoraiku We Are Trash NXL WOLFPACK","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge Sutoraiku We Are Trash NXL WOLFPACK","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge ATHXHVY Reignite Sutoraiku","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge ATHXHVY Reignite Sutoraiku","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge We Are Trash Reignite Pavlova","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge We Are Trash Reignite Pavlova","Round 5 Round 5 December 4, 2021 - 14:20 SGTWorld's Edge EXO Clan XSpark ATHXHVY","Round 5 Round 5 December 4, 2021 - 14:20 SGTWorld's Edge EXO Clan XSpark ATHXHVY","Round 6 Round 6 December 4, 2021 - 14:55 SGTWorld's Edge NXL WOLFPACK ATHXHVY Sutoraiku","Round 6 Round 6 December 4, 2021 - 14:55 SGTWorld's Edge NXL WOLFPACK ATHXHVY Sutoraiku"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,STK,71,141,66,112,1717,37,99,82,22,111,0,37,77
1,2.0,ATH,69,121,0,45,44,112,99,92,0,37,1010,29,1010
2,3.0,EXO,67,37,1010,92,55,180,0,63,77,112,1212,54,55
3,4.0,RIG,66,112,1010,73,55,29,22,29,77,190,0,45,44
4,5.0,NXL,63,170,0,37,55,54,99,73,1212,63,11,112,77
5,6.0,TX,48,29,77,141,0,63,55,151,44,29,99,200,0
6,7.0,WAT,43,63,0,29,1010,190,0,112,77,141,0,160,11
7,8.0,KAK,29,160,33,82,0,45,77,170,11,151,66,151,33
8,9.0,RET,29,102,0,63,22,111,22,121,0,73,88,190,77
9,10.0,PK,27,131,0,131,0,151,0,54,33,54,77,63,33
10,11.0,Pavlova,27,54,22,102,22,102,44,37,22,160,0,170,22
11,12.0,M2M,25,190,0,54,66,170,33,45,33,121,0,111,22
12,13.0,GS,22,82,88,170,0,121,0,102,33,200,0,73,33
13,14.0,EVO BERZ,21,45,55,121,0,82,0,131,0,45,0,92,0
14,15.0,AMG TW,14,92,0,151,0,141,0,141,22,102,33,82,0
15,16.0,PHN,13,200,0,200,0,131,77,190,44,180,0,131,0
16,17.0,DNZ,11,151,55,190,0,160,0,200,0,131,0,102,22
17,18.0,Azure,11,180,0,111,0,92,0,111,33,92,0,141,11
18,19.0,Xenomorph,8,73,44,160,0,200,0,160,0,170,0,121,0
19,20.0,Estrell,8,111,22,180,0,73,0,180,0,82,0,180,0
