,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 16:00 SGTWorld's Edge Team Burger Sutoraiku AFTERMATH Gaming Taiwan","Round 1 Round 1 October 16, 2021 - 16:00 SGTWorld's Edge Team Burger Sutoraiku AFTERMATH Gaming Taiwan","Round 2 Round 2 October 16, 2021 - 16:35 SGTWorld's Edge 404 Not Found Primis Komanda Ogre 3","Round 2 Round 2 October 16, 2021 - 16:35 SGTWorld's Edge 404 Not Found Primis Komanda Ogre 3","Round 3 Round 3 October 16, 2021 - 17:10 SGTWorld's Edge Team Burger 404 Not Found Lightning Unicorn","Round 3 Round 3 October 16, 2021 - 17:10 SGTWorld's Edge Team Burger 404 Not Found Lightning Unicorn","Round 4 Round 4 October 16, 2021 - 17:45 SGTWorld's Edge Ogre 3 404 Not Found SnG","Round 4 Round 4 October 16, 2021 - 17:45 SGTWorld's Edge Ogre 3 404 Not Found SnG","Round 5 Round 5 October 16, 2021 - 18:20 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 5 Round 5 October 16, 2021 - 18:20 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 6 Round 6 October 16, 2021 - 18:55 SGTWorld's Edge Team Burger Inferno Esport DNZ","Round 6 Round 6 October 16, 2021 - 18:55 SGTWorld's Edge Team Burger Inferno Esport DNZ"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BRGR,92,112,88,54,0,112,1212,54,0,29,66,112,1313
1,2.0,O3,65,82,22,37,77,190,0,112,1717,92,1212,54,0
2,3.0,404,56,121,0,112,99,29,11,29,33,37,11,73,11
3,4.0,SNG,42,141,0,45,22,180,0,37,11,112,88,63,33
4,5.0,AMG TW,36,37,55,63,77,151,0,82,0,180,33,121,77
5,6.0,KAK,36,54,44,92,22,111,33,45,77,111,44,111,22
6,7.0,LU,36,102,33,111,11,37,77,92,55,151,0,82,55
7,8.0,DNZ,34,170,33,73,77,141,44,180,0,170,0,37,99
8,9.0,ATH,32,131,0,170,11,45,99,111,11,45,77,92,0
9,10.0,PK,30,45,77,29,22,160,0,190,33,141,22,151,0
10,11.0,EXO,30,73,55,82,55,131,44,73,22,63,0,180,22
11,12.0,TX,25,63,33,190,0,121,33,63,66,190,0,45,11
12,13.0,INF,25,180,0,102,0,92,22,121,11,73,11,29,44
13,14.0,RET,24,160,0,141,44,73,11,131,33,82,44,102,33
14,15.0,STK,23,29,33,121,11,82,44,160,11,121,0,131,0
15,16.0,Magic,19,151,77,180,11,170,0,141,0,102,44,160,33
16,17.0,StrawberryJam,17,111,0,151,0,63,44,151,44,200,0,141,22
17,18.0,MBTN,15,190,11,131,44,54,11,102,22,160,0,170,0
18,19.0,PWLS,12,92,22,160,11,200,0,200,0,54,33,190,0
19,20.0,DML,4,200,0,200,0,102,11,170,0,131,0,200,0
