,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 12:00 SGTWorld's Edge We Are Trash SnG Lightning Unicorn","Round 1 Round 1 October 30, 2021 - 12:00 SGTWorld's Edge We Are Trash SnG Lightning Unicorn","Round 2 Round 2 October 30, 2021 - 12:35 SGTWorld's Edge Team Burger DML Ogre 3","Round 2 Round 2 October 30, 2021 - 12:35 SGTWorld's Edge Team Burger DML Ogre 3","Round 3 Round 3 October 30, 2021 - 13:10 SGTWorld's Edge NXL WOLFPACK Reignite Xenomorph","Round 3 Round 3 October 30, 2021 - 13:10 SGTWorld's Edge NXL WOLFPACK Reignite Xenomorph","Round 4 Round 4 October 30, 2021 - 13:45 SGTWorld's Edge Reignite Perihelion Lightning Unicorn","Round 4 Round 4 October 30, 2021 - 13:45 SGTWorld's Edge Reignite Perihelion Lightning Unicorn","Round 5 Round 5 October 30, 2021 - 14:20 SGTWorld's Edge Team Burger Reignite DML","Round 5 Round 5 October 30, 2021 - 14:20 SGTWorld's Edge Team Burger Reignite DML","Round 6 Round 6 October 30, 2021 - 14:55 SGTWorld's Edge Lightning Unicorn Magic Esport Reignite","Round 6 Round 6 October 30, 2021 - 14:55 SGTWorld's Edge Lightning Unicorn Magic Esport Reignite"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG,65,151,0,190,22,29,77,112,66,29,77,37,55
1,2.0,LU,61,37,1212,102,0,141,22,37,66,54,11,112,77
2,3.0,BRGR,59,102,11,112,1212,131,0,45,33,112,88,180,33
3,4.0,NXL,49,121,11,63,33,112,1515,111,77,102,33,141,0
4,5.0,O3,40,160,33,37,77,160,33,63,1010,82,55,160,0
5,6.0,PHN,39,92,66,121,55,63,66,29,77,200,0,190,0
6,7.0,DML,37,82,33,29,33,111,44,73,0,37,55,200,0
7,8.0,SNG,36,29,66,180,0,121,0,180,0,45,66,45,44
8,9.0,WAT,32,112,88,170,0,151,0,160,44,190,0,63,44
9,10.0,EVO BERZ,31,190,0,45,66,45,55,82,0,121,22,170,55
10,11.0,Estrell,28,111,0,82,22,92,44,92,0,63,33,54,55
11,12.0,Magic,26,170,0,73,44,180,0,200,0,92,33,29,55
12,13.0,PWLS,26,73,77,111,11,82,11,141,0,111,0,102,77
13,14.0,GS,24,63,33,141,44,170,11,151,66,160,11,82,22
14,15.0,Xenomorph,21,54,0,131,0,37,33,121,0,151,33,131,0
15,16.0,Pavlova,19,141,0,160,11,190,0,54,33,73,44,111,22
16,17.0,M2M,19,180,0,54,44,54,22,190,0,170,0,151,44
17,18.0,404,19,45,33,92,11,73,0,170,0,141,0,73,11
18,19.0,INF,17,131,22,151,0,102,0,102,33,131,0,92,33
19,20.0,MBTN,9,200,0,200,0,200,0,131,33,180,33,121,11
