,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 12:00 SGTWorld's Edge Estrell Reckless Lads XV Method2Madness","Round 1 Round 1 November 20, 2021 - 12:00 SGTWorld's Edge Estrell Reckless Lads XV Method2Madness","Round 2 Round 2 November 20, 2021 - 12:35 SGTWorld's Edge Inside The Ring Reignite Xenomorph","Round 2 Round 2 November 20, 2021 - 12:35 SGTWorld's Edge Inside The Ring Reignite Xenomorph","Round 3 Round 3 November 20, 2021 - 13:10 SGTWorld's Edge DreamFire BRP MBF","Round 3 Round 3 November 20, 2021 - 13:10 SGTWorld's Edge DreamFire BRP MBF","Round 4 Round 4 November 20, 2021 - 13:45 SGTWorld's Edge NXL WOLFPACK Estrell Reignite","Round 4 Round 4 November 20, 2021 - 13:45 SGTWorld's Edge NXL WOLFPACK Estrell Reignite","Round 5 Round 5 November 20, 2021 - 14:20 SGTWorld's Edge Reignite StinkyB MBF","Round 5 Round 5 November 20, 2021 - 14:20 SGTWorld's Edge Reignite StinkyB MBF","Round 6 Round 6 November 20, 2021 - 14:55 SGTWorld's Edge We Are Trash WHIZ MBF","Round 6 Round 6 November 20, 2021 - 14:55 SGTWorld's Edge We Are Trash WHIZ MBF"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG,75,82,44,29,1313,131,55,37,88,112,77,73,44
1,2.0,MBF,53,190,0,102,55,37,66,111,55,37,66,37,77
2,3.0,WAT,52,121,33,54,44,111,11,45,33,82,33,112,1313
3,4.0,NXL,47,111,44,92,66,180,0,112,1414,190,33,121,44
4,5.0,BRP,47,45,33,45,0,29,88,190,0,45,88,63,11
5,6.0,Estrell,43,112,1111,121,0,92,0,29,33,111,22,102,0
6,7.0,ITR,40,73,0,112,99,63,11,63,0,63,11,151,44
7,8.0,PG,38,151,0,73,55,54,77,82,22,54,33,54,33
8,9.0,M2M,36,37,1010,63,33,190,0,92,22,73,55,190,11
9,10.0,RL.XV,32,29,99,170,0,121,0,200,0,121,11,45,66
10,11.0,WHIZ,32,170,0,151,0,73,11,73,22,102,66,29,55
11,12.0,MDY,31,92,33,111,22,45,55,102,55,170,0,82,44
12,13.0,STB,31,54,22,180,0,160,33,141,0,29,88,92,22
13,14.0,DF,29,131,22,160,0,112,1010,121,22,151,0,160,0
14,15.0,PHN,23,102,22,131,0,170,33,54,88,92,11,170,0
15,16.0,MON,13,160,0,82,33,102,33,160,0,160,0,111,22
16,17.0,EVO BERZ,13,141,0,141,0,82,22,170,33,141,11,141,11
17,18.0,Xenomorph,13,200,0,37,44,151,0,151,0,180,0,200,0
18,19.0,Pavlova,9,63,55,200,0,141,0,180,0,200,0,180,0
19,20.0,GS,8,180,0,190,0,200,11,131,0,131,11,131,33
